date,dxy
1985-01-31,139.0623
1985-02-28,145.1828
1985-03-31,138.0416
1985-04-30,138.5926
1985-05-31,137.637
1985-06-30,136.0706
1985-07-31,129.8125
1985-08-31,130.9901
1985-09-30,125.6024
1985-10-31,123.5172
1985-11-30,120.5484
1985-12-31,120.1155
1986-01-31,118.5119
1986-02-28,113.6627
1986-03-31,114.0194
1986-04-30,108.4014
1986-05-31,113.0405
1986-06-30,108.8562
1986-07-31,105.7445
1986-08-31,105.2143
1986-09-30,105.3153
1986-10-31,108.0315
1986-11-30,105.9482
1986-12-31,104.0285
1987-01-31,100.7167
1987-02-28,100.1421
1987-03-31,97.215
1987-04-30,96.401
1987-05-31,97.7714
1987-06-30,98.2825
1987-07-31,99.5724
1987-08-31,96.6803
1987-09-30,98.0353
1987-10-31,94.2983
1987-11-30,90.7084
1987-12-31,86.7087
1988-01-31,90.0553
1988-02-29,90.0649
1988-03-31,87.5322
1988-04-30,87.9404
1988-05-31,88.9839
1988-06-30,92.5257
1988-07-31,93.2583
1988-08-31,94.8793
1988-09-30,93.8293
1988-10-31,90.1479
1988-11-30,87.4363
1988-12-31,89.0457
1989-01-31,91.745
1989-02-28,90.8016
1989-03-31,93.296
1989-04-30,92.9974
1989-05-31,97.583
1989-06-30,97.5504
1989-07-31,93.6028
1989-08-31,96.9841
1989-09-30,94.5714
1989-10-31,94.8221
1989-11-30,93.8116
1989-12-31,92.1973
1990-01-31,92.3441
1990-02-28,93.215
1990-03-31,94.4002
1990-04-30,94.2117
1990-05-31,93.398
1990-06-30,92.0909
1990-07-31,88.6981
1990-08-31,87.9281
1990-09-30,86.9195
1990-10-31,84.5614
1990-11-30,84.9262
1990-12-31,85.3782
1991-01-31,84.0369
1991-02-28,85.2172
1991-03-31,90.6321
1991-04-30,90.0887
1991-05-31,90.9992
1991-06-30,92.5918
1991-07-31,91.2174
1991-08-31,90.9433
1991-09-30,88.0862
1991-10-31,87.7238
1991-11-30,87.0921
1991-12-31,84.1496
1992-01-31,86.5415
1992-02-29,88.0975
1992-03-31,89.2253
1992-04-30,89.3241
1992-05-31,87.2515
1992-06-30,84.9416
1992-07-31,84.1145
1992-08-31,81.8608
1992-09-30,83.9517
1992-10-31,88.1263
1992-11-30,90.8709
1992-12-31,91.3742
1993-01-31,91.5771
1993-02-28,90.9603
1993-03-31,89.3831
1993-04-30,87.7656
1993-05-31,86.8859
1993-06-30,89.3492
1993-07-31,89.9627
1993-08-31,89.804
1993-09-30,89.7868
1993-10-31,90.8021
1993-11-30,91.9711
1993-12-31,92.492
1994-01-31,91.3088
1994-02-28,90.2957
1994-03-31,89.8155
1994-04-30,89.3418
1994-05-31,89.8269
1994-06-30,87.1415
1994-07-31,87.6312
1994-08-31,87.2981
1994-09-30,85.7119
1994-10-31,84.3366
1994-11-30,86.7294
1994-12-31,87.129
1995-01-31,86.8324
1995-02-28,85.0448
1995-03-31,81.4678
1995-04-30,80.1784
1995-05-31,80.9097
1995-06-30,80.5655
1995-07-31,81.0703
1995-08-31,84.447
1995-09-30,83.9326
1995-10-31,84.1289
1995-11-30,85.213
1995-12-31,85.2587
1996-01-31,87.4318
1996-02-29,86.4289
1996-03-31,86.6871
1996-04-30,87.0609
1996-05-31,87.5508
1996-06-30,87.6389
1996-07-31,86.4925
1996-08-31,86.8052
1996-09-30,87.9824
1996-10-31,87.4656
1996-11-30,87.7464
1996-12-31,88.4869
1997-01-31,91.6567
1997-02-28,92.8091
1997-03-31,93.1875
1997-04-30,95.4034
1997-05-31,92.534
1997-06-30,92.587
1997-07-31,95.1516
1997-08-31,95.2904
1997-09-30,94.551
1997-10-31,93.8666
1997-11-30,96.3094
1997-12-31,97.9869
1998-01-31,98.597
1998-02-28,97.3987
1998-03-31,99.0531
1998-04-30,98.1488
1998-05-31,99.8518
1998-06-30,100.3247
1998-07-31,101.9395
1998-08-31,102.0295
1998-09-30,98.3854
1998-10-31,94.9459
1998-11-30,96.8244
1998-12-31,94.6153
1999-01-31,95.5986
1999-02-28,97.5416
1999-03-31,97.9586
1999-04-30,97.9107
1999-05-31,98.9952
1999-06-30,99.5093
1999-07-31,97.4715
1999-08-31,96.6989
1999-09-30,95.2235
1999-10-31,95.2186
1999-11-30,96.4454
1999-12-31,95.8081
2000-01-31,98.1875
2000-02-29,99.3725
2000-03-31,98.0581
2000-04-30,101.8348
2000-05-31,101.685
2000-06-30,99.941
