date,reer
1994-01-31,88.65
1994-02-28,88.16
1994-03-31,88.26
1994-04-30,88.18
1994-05-31,87.42
1994-06-30,87.11
1994-07-31,85.93
1994-08-31,85.7
1994-09-30,84.73
1994-10-31,84.05
1994-11-30,84.24
1994-12-31,86.09
1995-01-31,88.0
1995-02-28,87.22
1995-03-31,86.0
1995-04-30,82.59
1995-05-31,82.15
1995-06-30,82.2
1995-07-31,82.17
1995-08-31,84.22
1995-09-30,85.2
1995-10-31,85.2
1995-11-30,86.16
1995-12-31,86.34
1996-01-31,86.78
1996-02-29,86.76
1996-03-31,86.81
1996-04-30,86.65
1996-05-31,86.76
1996-06-30,87.06
1996-07-31,87.11
1996-08-31,86.49
1996-09-30,86.81
1996-10-31,87.35
1996-11-30,86.95
1996-12-31,87.46
1997-01-31,88.2
1997-02-28,89.7
1997-03-31,90.55
1997-04-30,90.76
1997-05-31,89.46
1997-06-30,89.15
1997-07-31,90.1
1997-08-31,91.63
1997-09-30,91.78
1997-10-31,92.24
1997-11-30,93.77
1997-12-31,96.74
1998-01-31,99.13
1998-02-28,97.63
1998-03-31,97.23
1998-04-30,97.05
1998-05-31,97.75
1998-06-30,99.89
1998-07-31,100.33
1998-08-31,102.08
1998-09-30,100.34
1998-10-31,97.36
1998-11-30,97.04
1998-12-31,96.14
1999-01-31,96.19
1999-02-28,97.21
1999-03-31,98.42
1999-04-30,98.1
1999-05-31,97.86
1999-06-30,98.42
1999-07-31,98.73
1999-08-31,97.62
1999-09-30,96.98
1999-10-31,96.58
1999-11-30,96.78
1999-12-31,96.69
2000-01-31,96.5
2000-02-29,97.9
2000-03-31,98.49
2000-04-30,98.96
2000-05-31,101.3
2000-06-30,100.52
2000-07-31,100.72
2000-08-31,101.25
2000-09-30,102.29
2000-10-31,103.86
2000-11-30,104.38
2000-12-31,103.26
2001-01-31,103.72
2001-02-28,104.55
2001-03-31,106.26
2001-04-30,107.04
2001-05-31,106.9
2001-06-30,107.68
2001-07-31,108.0
2001-08-31,106.14
2001-09-30,106.56
2001-10-31,106.85
2001-11-30,107.36
2001-12-31,106.93
2002-01-31,108.04
2002-02-28,108.72
2002-03-31,108.46
2002-04-30,108.22
2002-05-31,106.7
2002-06-30,105.48
2002-07-31,104.06
2002-08-31,105.29
2002-09-30,105.79
2002-10-31,106.55
2002-11-30,105.2
2002-12-31,104.27
2003-01-31,102.9
2003-02-28,103.23
2003-03-31,103.09
2003-04-30,102.08
2003-05-31,98.44
2003-06-30,98.42
2003-07-31,99.5
2003-08-31,100.85
2003-09-30,99.75
2003-10-31,97.46
2003-11-30,96.76
2003-12-31,95.1
2004-01-31,93.74
2004-02-29,94.4
2004-03-31,95.65
2004-04-30,96.35
2004-05-31,98.24
2004-06-30,97.57
2004-07-31,96.66
2004-08-31,96.73
2004-09-30,96.17
2004-10-31,95.02
2004-11-30,92.38
2004-12-31,90.88
2005-01-31,91.57
2005-02-28,91.75
2005-03-31,91.67
2005-04-30,92.93
2005-05-31,93.17
2005-06-30,94.28
2005-07-31,94.9
2005-08-31,93.92
2005-09-30,94.48
2005-10-31,95.58
2005-11-30,95.54
2005-12-31,94.36
2006-01-31,93.48
2006-02-28,93.63
2006-03-31,94.21
2006-04-30,93.93
2006-05-31,92.26
2006-06-30,93.72
2006-07-31,93.68
2006-08-31,93.0
2006-09-30,92.61
2006-10-31,92.42
2006-11-30,91.29
2006-12-31,90.22
2007-01-31,91.43
2007-02-28,91.21
2007-03-31,91.29
2007-04-30,90.36
2007-05-31,89.98
2007-06-30,89.88
2007-07-31,88.49
2007-08-31,88.46
2007-09-30,87.19
2007-10-31,85.31
