"Date";"Value"
"12/31/1986";2568,3
"01/02/1987";2540,1001
"01/05/1987";2552,3999
"01/06/1987";2583,8999
"01/07/1987";2607,1001
"01/08/1987";2603,3
"01/09/1987";2561,7
"01/12/1987";2614,8999
"01/13/1987";2590,8
"01/14/1987";2578,2
"01/15/1987";2559,1001
"01/16/1987";2542,6001
"01/19/1987";2460,5
"01/20/1987";2449,8999
"01/21/1987";2533,8999
"01/22/1987";2536,8999
"01/23/1987";2499,3999
"01/26/1987";2484,3999
"01/27/1987";2524
"01/28/1987";2553,3
"02/02/1987";2585,2
"02/03/1987";2606,3999
"02/04/1987";2636,6001
"02/05/1987";2672,3999
"02/06/1987";2673,6001
"02/09/1987";2713,7
"02/10/1987";2694,8999
"02/11/1987";2739,5
"02/12/1987";2754,7
"02/13/1987";2740,5
"02/16/1987";2766,1001
"02/17/1987";2792,1001
"02/18/1987";2801,5
"02/19/1987";2775,8
"02/20/1987";2827,3999
"02/23/1987";2879
"02/24/1987";2848,2
"02/25/1987";2873,6001
"02/26/1987";2843,6001
"02/27/1987";2877,8999
"03/02/1987";2894,3
"03/03/1987";2939,1001
"03/04/1987";2890,8999
"03/05/1987";2798,3999
"03/06/1987";2798,6001
"03/09/1987";2820,3999
"03/10/1987";2731,1001
"03/11/1987";2760,8999
"03/12/1987";2750,1001
"03/13/1987";2721,2
"03/16/1987";2669,6001
"03/17/1987";2629,3
"03/18/1987";2724
"03/19/1987";2721,3
"03/20/1987";2780,6001
"03/23/1987";2813,3999
"03/24/1987";2828,1001
"03/25/1987";2831,5
"03/26/1987";2783,1001
"03/27/1987";2798,7
"03/30/1987";2774,8999
"03/31/1987";2713,8
"04/01/1987";2695,8999
"04/02/1987";2709,3999
"04/03/1987";2680
"04/07/1987";2664,7
"04/08/1987";2729,6001
"04/09/1987";2785,5
"04/10/1987";2766,3999
"04/13/1987";2708,8999
"04/14/1987";2668,3999
"04/15/1987";2693,6001
"04/16/1987";2721,1001
"04/21/1987";2713,3999
"04/22/1987";2716,8999
"04/23/1987";2719,8999
"04/24/1987";2707,6001
"04/27/1987";2636,5
"04/28/1987";2617,1001
"04/29/1987";2589,5
"04/30/1987";2659,8999
"05/01/1987";2685,3999
"05/04/1987";2695,8
"05/05/1987";2713,8
"05/06/1987";2792,8999
"05/07/1987";2785,6001
"05/08/1987";2805,1001
"05/11/1987";2846,8999
"05/12/1987";2853,3999
"05/13/1987";2833,5
"05/14/1987";2853,8999
"05/15/1987";2872,2
"05/18/1987";2875,3999
"05/19/1987";2881,5
"05/20/1987";2887,3
"05/21/1987";2871
"05/22/1987";2897,6001
"05/25/1987";2897,6001
"05/26/1987";2935,8999
"05/27/1987";2941,6001
"05/28/1987";2950,8
"05/29/1987";2950,8
"06/02/1987";2934,1001
"06/03/1987";2963
"06/04/1987";3023,6001
"06/05/1987";3064,3
"06/08/1987";3068
"06/09/1987";3108,6001
"06/10/1987";3097,3
"06/11/1987";3087,5
"06/12/1987";3129,8999
"06/16/1987";3170,8999
"06/17/1987";3178,6001
"06/18/1987";3133,7
"06/19/1987";3165,6001
"06/22/1987";3131,2
"06/23/1987";3110,3999
"06/24/1987";3179
"06/25/1987";3136,3
"06/26/1987";3138,7
"06/29/1987";3152
"06/30/1987";3178,2
"07/01/1987";3164
"07/02/1987";3229,2
"07/03/1987";3226
"07/06/1987";3220,7
"07/07/1987";3236,3999
"07/08/1987";3251,3999
"07/09/1987";3226
"07/10/1987";3207,2
"07/13/1987";3216,1001
"07/14/1987";3253,3999
"07/15/1987";3262,3
"07/16/1987";3305,8
"07/17/1987";3342,1001
"07/20/1987";3386,1001
"07/21/1987";3353,8
"07/22/1987";3380,3999
"07/23/1987";3366,8
"07/24/1987";3343,6001
"07/27/1987";3346,8999
"07/28/1987";3337,5
"07/29/1987";3389,7
"07/30/1987";3419,3
"07/31/1987";3479,2
"08/03/1987";3514,3
"08/04/1987";3531,8999
"08/05/1987";3517,1001
"08/06/1987";3498
"08/07/1987";3536,2
"08/10/1987";3543,8
"08/11/1987";3546,5
"08/12/1987";3557,3999
"08/13/1987";3514,3
"08/14/1987";3512,2
"08/17/1987";3510,7
"08/18/1987";3504,8999
"08/19/1987";3450,6001
"08/20/1987";3408
"08/21/1987";3446,6001
"08/24/1987";3391,3
"08/25/1987";3447,3
"08/26/1987";3526,3
"08/27/1987";3583,3
"08/28/1987";3611,7
"09/01/1987";3644,3
"09/02/1987";3635,8999
"09/03/1987";3654
"09/04/1987";3654,5
"09/07/1987";3646,3
"09/08/1987";3601,5
"09/09/1987";3577,6001
"09/10/1987";3601
"09/11/1987";3660,5
"09/14/1987";3649,8
"09/15/1987";3646,8999
"09/16/1987";3646,8999
"09/17/1987";3571,3999
"09/18/1987";3650
"09/21/1987";3668
"09/22/1987";3695,5
"09/23/1987";3763,1001
"09/24/1987";3768,3999
"09/25/1987";3840,1001
"09/28/1987";3884,7
"09/29/1987";3859,5
"09/30/1987";3943,6001
"10/01/1987";3949,7
"10/02/1987";3902,7
"10/05/1987";3947
"10/06/1987";3925,3
"10/07/1987";3936,1001
"10/09/1987";3882,3999
"10/12/1987";3900,2
"10/13/1987";3841,3
"10/14/1987";3844,5
"10/15/1987";3828,6001
"10/16/1987";3783,2
"10/19/1987";3362,3999
"10/26/1987";2241,7
"10/27/1987";2395,7
"10/28/1987";2370,2
"10/29/1987";2204,5
"10/30/1987";2204,5
"11/02/1987";2203,2
"11/03/1987";2180,5
"11/04/1987";2077,1001
"11/05/1987";1960,9
"11/06/1987";2113,7
"11/09/1987";2139,3
"11/10/1987";2043,2
"11/11/1987";2075,3
"11/12/1987";2150,8999
"11/13/1987";2226,7
"11/16/1987";2310,8999
"11/17/1987";2290,3999
"11/18/1987";2285,2
"11/19/1987";2257,6001
"11/20/1987";2214,7
"11/23/1987";2141,7
"11/24/1987";2134,8
"11/25/1987";2184,3999
"11/26/1987";2179,6001
"11/27/1987";2194
"11/30/1987";2138,3999
"12/01/1987";2108,6001
"12/02/1987";2100,8
"12/03/1987";2057,3999
"12/04/1987";1994,2
"12/07/1987";1894,9
"12/08/1987";1986,1
"12/09/1987";1985
"12/10/1987";2027,7
"12/11/1987";1989,6
"12/14/1987";2040,6
"12/15/1987";2080,6001
"12/16/1987";2145,7
"12/17/1987";2142,2
"12/18/1987";2180,5
"12/21/1987";2278,1001
"12/22/1987";2276,3999
"12/23/1987";2325,6001
"12/24/1987";2379,1001
"12/28/1987";2286,8
"12/29/1987";2301,3
"12/30/1987";2292
"12/31/1987";2302,8
"01/04/1988";2286,3
"01/05/1988";2403,2
"01/06/1988";2463
"01/07/1988";2452,5
"01/08/1988";2460,7
"01/11/1988";2400,8
"01/12/1988";2442,3999
"01/13/1988";2383,8
"01/14/1988";2411,5
"01/15/1988";2429,8
"01/18/1988";2512,2
"01/19/1988";2488,2
