date,em_fx
2006-01-31,99.3163
2006-02-28,99.2097
2006-03-31,100.2465
2006-04-30,99.8708
2006-05-31,101.1469
2006-06-30,100.9491
2006-07-31,99.939
2006-08-31,99.8264
2006-09-30,99.7441
2006-10-31,98.7145
2006-11-30,98.6817
2006-12-31,97.9028
2007-01-31,98.4165
2007-02-28,98.4152
2007-03-31,97.6325
2007-04-30,96.8521
2007-05-31,95.706
2007-06-30,95.7818
2007-07-31,95.6247
2007-08-31,96.4944
2007-09-30,94.9144
2007-10-31,93.5798
2007-11-30,93.8414
2007-12-31,93.4692
2008-01-31,92.4228
2008-02-29,91.4093
2008-03-31,91.1059
2008-04-30,90.7168
2008-05-31,90.3024
2008-06-30,90.4731
2008-07-31,89.4899
2008-08-31,91.4021
2008-09-30,94.8675
2008-10-31,101.0073
2008-11-30,104.2278
2008-12-31,103.1185
2009-01-31,105.8469
2009-02-28,108.9521
2009-03-31,106.035
2009-04-30,103.6122
2009-05-31,100.9825
2009-06-30,101.1376
2009-07-31,100.5119
2009-08-31,101.1271
2009-09-30,100.0426
2009-10-31,99.2753
2009-11-30,98.5505
2009-12-31,98.8726
2010-01-31,99.0731
2010-02-28,98.401
2010-03-31,96.8482
2010-04-30,96.1307
2010-05-31,98.8593
2010-06-30,98.6921
2010-07-31,97.5311
2010-08-31,98.7096
2010-09-30,95.8768
2010-10-31,95.0479
2010-11-30,95.896
2010-12-31,94.5179
2011-01-31,94.2802
2011-02-28,93.9896
2011-03-31,92.935
2011-04-30,90.9983
2011-05-31,91.4221
2011-06-30,91.4633
2011-07-31,91.0079
2011-08-31,92.4129
2011-09-30,98.0732
2011-10-31,95.3895
2011-11-30,97.624
2011-12-31,98.304
2012-01-31,95.3102
2012-02-29,94.3754
2012-03-31,95.1056
2012-04-30,95.5361
2012-05-31,100.1243
2012-06-30,97.9198
2012-07-31,97.632
2012-08-31,97.5522
2012-09-30,95.8691
2012-10-31,95.9941
2012-11-30,95.7149
2012-12-31,95.558
2013-01-31,94.9878
2013-02-28,95.1923
2013-03-31,94.5458
2013-04-30,93.6845
2013-05-31,95.976
2013-06-30,97.1006
2013-07-31,97.0957
2013-08-31,98.7104
2013-09-30,97.3206
2013-10-31,96.6356
2013-11-30,97.524
2013-12-31,97.4769
2014-01-31,98.9393
2014-02-28,98.6424
2014-03-31,98.2515
2014-04-30,98.2699
2014-05-31,97.5221
2014-06-30,97.37
2014-07-31,98.0721
2014-08-31,97.7
2014-09-30,99.6781
2014-10-31,99.9431
2014-11-30,102.0959
2014-12-31,104.5904
2015-01-31,105.8521
2015-02-28,105.9409
2015-03-31,106.8414
2015-04-30,106.16
2015-05-31,106.9655
2015-06-30,107.6951
2015-07-31,109.7422
2015-08-31,113.4603
2015-09-30,114.3737
2015-10-31,112.569
2015-11-30,113.5789
2015-12-31,115.8546
2016-01-31,118.8798
2016-02-29,118.6387
2016-03-31,114.1488
2016-04-30,114.0341
2016-05-31,117.924
2016-06-30,117.2949
2016-07-31,117.3811
2016-08-31,117.7733
2016-09-30,118.2512
2016-10-31,118.4619
2016-11-30,123.1512
2016-12-31,123.7161
2017-01-31,122.5594
2017-02-28,120.6905
2017-03-31,118.5918
2017-04-30,118.9126
2017-05-31,117.8608
2017-06-30,117.1521
2017-07-31,116.0093
2017-08-31,115.0428
2017-09-30,116.2663
2017-10-31,117.7371
2017-11-30,116.3292
2017-12-31,117.0394
2018-01-31,113.558
2018-02-28,114.7147
2018-03-31,113.1516
2018-04-30,115.3023
2018-05-31,118.6248
2018-06-30,120.377
2018-07-31,119.5231
2018-08-31,122.0942
2018-09-30,121.3702
2018-10-31,124.8832
2018-11-30,124.2851
2018-12-31,122.7102
2019-01-31,120.1517
2019-02-28,120.7896
2019-03-31,121.5021
2019-04-30,121.2998
2019-05-31,123.8177
2019-06-30,121.7852
2019-07-31,121.697
2019-08-31,126.5207
2019-09-30,125.6316
2019-10-31,123.5461
2019-11-30,124.7901
2019-12-31,122.1692
2020-01-31,122.9443
2020-02-29,125.6816
2020-03-31,133.9314
2020-04-30,134.0595
2020-05-31,131.9059
2020-06-30,132.2819
2020-07-31,129.9887
2020-08-31,128.6899
2020-09-30,128.8681
2020-10-31,126.9076
2020-11-30,123.4668
2020-12-31,121.9018
2021-01-31,122.6014
2021-02-28,124.2705
2021-03-31,124.3728
2021-04-30,123.0393
2021-05-31,121.7298
2021-06-30,122.6178
2021-07-31,123.1054
2021-08-31,123.0856
2021-09-30,124.6992
2021-10-31,124.4087
2021-11-30,126.0401
2021-12-31,124.4632
2022-01-31,124.4936
2022-02-28,124.0757
