Date,gscpi
1998-01-01,-1.09
1998-02-01,-0.44
1998-03-01,-0.06
1998-04-01,-0.12
1998-05-01,-0.43
1998-06-01,-0.74
1998-07-01,-0.92
1998-08-01,-0.9
1998-09-01,-0.91
1998-10-01,-0.68
1998-11-01,-0.86
1998-12-01,-0.62
1999-01-01,-0.28
1999-02-01,0.0
1999-03-01,-0.27
1999-04-01,-0.22
1999-05-01,-0.36
1999-06-01,-0.37
1999-07-01,-0.62
1999-08-01,-0.45
1999-09-01,-0.39
1999-10-01,-0.12
1999-11-01,-0.17
1999-12-01,-0.21
2000-01-01,-0.61
2000-02-01,-0.42
2000-03-01,-0.28
2000-04-01,0.13
2000-05-01,0.28
2000-06-01,0.04
2000-07-01,-0.01
2000-08-01,0.09
2000-09-01,0.04
2000-10-01,-0.52
2000-11-01,-0.73
2000-12-01,-0.92
2001-01-01,-0.91
2001-02-01,-0.77
2001-03-01,-0.57
2001-04-01,-0.99
2001-05-01,-1.11
2001-06-01,-0.69
2001-07-01,-0.82
2001-08-01,-0.78
2001-09-01,-0.67
2001-10-01,-1.2
2001-11-01,-1.43
2001-12-01,-1.15
2002-01-01,-0.91
2002-02-01,-0.47
2002-03-01,-0.43
2002-04-01,-0.58
2002-05-01,-0.31
2002-06-01,-0.62
2002-07-01,-0.95
2002-08-01,-1.08
2002-09-01,-1.13
2002-10-01,-1.23
2002-11-01,-0.75
2002-12-01,-0.69
2003-01-01,-0.63
2003-02-01,-0.31
2003-03-01,-0.32
2003-04-01,-0.55
2003-05-01,-0.2
2003-06-01,-0.11
2003-07-01,0.0
2003-08-01,-0.07
2003-09-01,0.06
2003-10-01,-0.27
2003-11-01,-0.41
2003-12-01,-0.36
2004-01-01,-0.5
2004-02-01,-0.38
2004-03-01,0.0
2004-04-01,0.42
2004-05-01,0.37
2004-06-01,0.42
2004-07-01,-0.45
2004-08-01,0.08
2004-09-01,-0.02
2004-10-01,-0.61
2004-11-01,-0.06
2004-12-01,0.1
2005-01-01,-0.12
2005-02-01,-0.13
2005-03-01,-0.28
2005-04-01,-1.32
2005-05-01,-0.99
2005-06-01,-0.94
2005-07-01,-0.89
2005-08-01,-0.51
2005-09-01,0.08
2005-10-01,-0.07
2005-11-01,-0.64
2005-12-01,-0.7
2006-01-01,-0.37
2006-02-01,-0.73
2006-03-01,-0.38
2006-04-01,0.11
2006-05-01,0.1
2006-06-01,0.16
2006-07-01,-0.09
2006-08-01,0.07
2006-09-01,-0.64
2006-10-01,-0.52
2006-11-01,-0.23
2006-12-01,-0.46
2007-01-01,-0.87
2007-02-01,-0.71
2007-03-01,-0.59
2007-04-01,-0.83
2007-05-01,-0.42
2007-06-01,-0.37
2007-07-01,-0.44
2007-08-01,-0.1
2007-09-01,-0.04
2007-10-01,-0.61
2007-11-01,-0.49
2007-12-01,-0.15
2008-01-01,-0.38
2008-02-01,0.46
2008-03-01,0.15
2008-04-01,0.13
