date,ovx
2007-05-31,28.44
2007-06-30,27.44
2007-07-31,30.69
2007-08-31,28.86
2007-09-30,29.32
2007-10-31,37.46
2007-11-30,37.26
2007-12-31,36.35
2008-01-31,30.24
2008-02-29,34.82
2008-03-31,39.32
2008-04-30,38.52
2008-05-31,42.3
2008-06-30,45.11
2008-07-31,47.02
2008-08-31,50.22
2008-09-30,59.56
2008-10-31,80.56
2008-11-30,80.26
2008-12-31,88.93
2009-01-31,77.1
2009-02-28,68.54
2009-03-31,78.01
2009-04-30,52.75
2009-05-31,41.32
2009-06-30,42.78
2009-07-31,45.72
2009-08-31,47.09
2009-09-30,45.23
2009-10-31,41.13
2009-11-30,41.17
2009-12-31,36.26
2010-01-31,34.05
2010-02-28,32.82
2010-03-31,29.61
2010-04-30,30.25
2010-05-31,40.49
2010-06-30,39.5
2010-07-31,31.52
2010-08-31,34.51
2010-09-30,30.04
2010-10-31,32.12
2010-11-30,31.89
2010-12-31,29.48
2011-01-31,35.18
2011-02-28,39.05
2011-03-31,34.62
2011-04-30,30.39
2011-05-31,33.51
2011-06-30,31.36
2011-07-31,33.64
2011-08-31,44.33
2011-09-30,55.68
2011-10-31,43.26
2011-11-30,41.0
2011-12-31,38.74
2012-01-31,32.31
2012-02-29,32.52
2012-03-31,29.0
2012-04-30,25.15
2012-05-31,34.79
2012-06-30,35.0
2012-07-31,34.53
2012-08-31,31.4
2012-09-30,32.45
2012-10-31,32.18
2012-11-30,27.62
2012-12-31,28.45
2013-01-31,22.54
2013-02-28,23.61
2013-03-31,18.19
2013-04-30,24.57
2013-05-31,24.41
2013-06-30,22.37
2013-07-31,22.95
2013-08-31,28.1
2013-09-30,22.98
2013-10-31,20.59
2013-11-30,20.0
2013-12-31,17.76
2014-01-31,20.35
2014-02-28,18.71
2014-03-31,19.26
2014-04-30,19.37
2014-05-31,15.61
2014-06-30,16.52
2014-07-31,18.78
2014-08-31,16.68
2014-09-30,21.52
2014-10-31,30.52
2014-11-30,36.44
2014-12-31,50.24
2015-01-31,58.62
2015-02-28,55.85
2015-03-31,53.72
2015-04-30,36.28
2015-05-31,33.74
2015-06-30,32.43
2015-07-31,38.82
2015-08-31,54.37
2015-09-30,45.52
2015-10-31,41.95
2015-11-30,48.14
2015-12-31,46.57
2016-01-31,61.86
2016-02-29,60.01
2016-03-31,45.91
2016-04-30,42.52
2016-05-31,38.08
2016-06-30,38.09
2016-07-31,41.08
2016-08-31,39.5
2016-09-30,39.31
2016-10-31,40.96
2016-11-30,44.25
2016-12-31,30.83
2017-01-31,31.33
2017-02-28,25.46
2017-03-31,27.59
2017-04-30,28.55
2017-05-31,32.29
2017-06-30,28.7
2017-07-31,30.84
2017-08-31,29.1
2017-09-30,26.83
2017-10-31,25.31
2017-11-30,25.95
2017-12-31,21.32
2018-01-31,22.23
2018-02-28,26.92
2018-03-31,25.07
2018-04-30,28.28
2018-05-31,27.61
2018-06-30,27.18
2018-07-31,26.52
2018-08-31,25.02
2018-09-30,26.73
2018-10-31,30.12
2018-11-30,56.04
2018-12-31,51.87
2019-01-31,34.97
2019-02-28,30.27
2019-03-31,26.75
2019-04-30,29.31
2019-05-31,46.91
2019-06-30,39.46
2019-07-31,30.77
2019-08-31,32.16
2019-09-30,38.75
2019-10-31,35.84
2019-11-30,36.73
2019-12-31,28.3
2020-01-31,40.35
2020-02-29,51.25
2020-03-31,170.55
2020-04-30,104.98
2020-05-31,69.23
2020-06-30,57.66
2020-07-31,44.43
2020-08-31,32.59
2020-09-30,44.0
2020-10-31,68.84
2020-11-30,47.37
2020-12-31,37.83
2021-01-31,40.2
2021-02-28,42.49
2021-03-31,45.65
2021-04-30,38.39
2021-05-31,33.54
2021-06-30,32.74
2021-07-31,32.85
2021-08-31,34.28
2021-09-30,38.68
2021-10-31,37.92
2021-11-30,75.23
2021-12-31,42.62
2022-01-31,42.35
2022-02-28,52.5
2022-03-31,57.66
2022-04-30,53.1
2022-05-31,49.82
2022-06-30,48.9
2022-07-31,46.19
2022-08-31,52.11
2022-09-30,55.69
2022-10-31,47.41
2022-11-30,46.15
2022-12-31,41.26
2023-01-31,38.55
2023-02-28,35.42
2023-03-31,40.34
2023-04-30,35.63
2023-05-31,40.68
2023-06-30,33.28
2023-07-31,28.48
2023-08-31,26.56
2023-09-30,32.24
2023-10-31,41.99
2023-11-30,39.4
2023-12-31,36.22
2024-01-31,37.25
2024-02-29,31.5
2024-03-31,26.27
2024-04-30,27.87
2024-05-31,30.34
2024-06-30,26.54
2024-07-31,33.69
2024-08-31,33.36
2024-09-30,39.86
2024-10-31,48.79
2024-11-30,34.95
2024-12-31,30.02
2025-01-31,29.96
2025-02-28,29.97
2025-03-31,30.88
2025-04-30,54.46
2025-05-31,40.71
2025-06-30,38.89
2025-07-31,36.78
2025-08-31,32.63
2025-09-30,35.58
2025-10-31,36.2
2025-11-30,35.95
2025-12-31,30.17
2026-01-31,55.91
2026-02-28,64.68
2026-03-31,89.39
2026-04-30,75.08
2026-05-31,75.66
