source,variable,n_months,pct_filled,start,end,recommend
GDELT structured,gdelt_total_events_log,386,100.0,1990-01,2022-02,PRIMARY
GDELT structured,gdelt_goldstein_mean,386,100.0,1990-01,2022-02,PRIMARY
GDELT structured,gdelt_sentiment_signal,386,100.0,1990-01,2022-02,PRIMARY
GDELT structured,gdelt_conflict_share,386,100.0,1990-01,2022-02,PRIMARY
GDELT structured,gdelt_hostility_share,386,100.0,1990-01,2022-02,PRIMARY
GDELT structured,gdelt_topic_pca_1,386,100.0,1990-01,2022-02,PRIMARY
GDELT structured,gdelt_topic_pca_2,386,100.0,1990-01,2022-02,PRIMARY
GDELT structured,gdelt_topic_pca_3,386,100.0,1990-01,2022-02,PRIMARY
GDELT structured,gdelt_topic_pca_4,386,100.0,1990-01,2022-02,PRIMARY
GDELT structured,gdelt_topic_pca_5,386,100.0,1990-01,2022-02,PRIMARY
GPR (Caldara‑Iacoviello),gpr,381,98.7,1990-01,2021-09,PRIMARY
EA‑GPR (Bondarenko),ea_gpr,290,75.1,1998-01,2022-02,ROBUSTNESS
EA‑GPR (Bondarenko),ea_gpr_diff,289,74.9,1998-02,2022-02,ROBUSTNESS
WUI (World Uncertainty),wui,386,100.0,1990-01,2022-02,PRIMARY
