,protest_count,military_count,diplomatic_count,total_events,goldstein_mean,goldstein_sum,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20
1990-01-01,0,2,46,70,2.49,174.3,3,5,12,24,9,1,3,3,0,0,2,3,0,0,0,1,2,0,2,0
1990-02-01,2,3,23,86,0.7604651162790699,65.4,10,1,0,12,9,2,4,13,0,0,24,2,0,2,0,4,0,0,3,0
1990-03-01,1,3,45,78,1.5141025641025643,118.10000000000001,5,3,1,24,4,16,1,2,1,2,7,2,3,1,0,3,0,0,3,0
1990-04-01,0,2,38,60,1.695,101.7,6,2,3,15,13,7,1,2,0,0,1,2,3,0,0,2,1,0,2,0
1990-05-01,0,4,56,106,1.2283018867924527,130.2,10,6,5,26,9,16,0,5,0,2,11,2,7,0,0,3,0,0,4,0
1990-06-01,10,0,61,101,1.502970297029703,151.8,2,5,7,28,23,3,0,3,0,5,7,4,1,10,0,0,3,0,0,0
1990-07-01,0,2,68,87,1.9,165.29999999999998,4,2,11,48,5,4,1,1,0,0,4,0,0,0,0,5,0,0,2,0
1990-08-01,3,0,27,48,1.2395833333333333,59.5,6,2,5,16,1,5,0,0,0,0,3,3,0,3,0,0,1,3,0,0
1990-09-01,0,0,22,39,1.023076923076923,39.9,2,1,6,14,2,0,0,2,0,1,3,6,0,0,0,0,2,0,0,0
1990-10-01,0,0,29,45,2.1133333333333333,95.1,8,1,3,16,5,5,1,1,1,2,2,0,0,0,0,0,0,0,0,0
1990-11-01,0,2,68,111,1.2432432432432432,138.0,10,3,15,38,14,1,5,0,3,1,2,16,1,0,0,0,0,0,2,0
1990-12-01,0,5,45,87,1.3885057471264368,120.8,13,9,6,18,18,3,0,4,0,2,3,4,0,0,0,1,1,0,5,0
1991-01-01,0,2,20,40,0.5425,21.7,5,3,0,15,4,1,0,1,0,0,7,0,0,0,0,2,0,0,2,0
1991-02-01,0,0,14,22,0.5681818181818181,12.499999999999998,1,0,0,14,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0
1991-03-01,1,1,103,125,2.3216,290.2,3,2,21,74,8,0,3,1,1,1,5,1,0,1,0,0,3,0,1,0
1991-04-01,3,0,82,134,1.594776119402985,213.7,17,8,5,60,10,7,1,0,0,0,14,0,0,3,0,8,1,0,0,0
1991-05-01,0,2,119,221,2.0533936651583713,453.8,28,14,19,51,14,35,2,4,2,3,31,4,0,0,0,6,6,0,2,0
1991-06-01,0,1,101,192,1.7401041666666668,334.1,28,7,15,41,23,22,6,5,1,9,10,13,4,0,0,4,3,0,1,0
1991-07-01,0,1,82,139,1.6964028776978417,235.8,13,6,13,43,2,24,3,3,0,8,7,4,7,0,0,3,2,0,1,0
1991-08-01,3,3,59,102,1.0235294117647058,104.39999999999999,4,1,10,34,11,4,1,5,0,2,7,8,3,3,0,2,4,0,3,0
1991-09-01,2,3,66,129,1.2193798449612403,157.3,13,8,18,24,18,6,3,4,5,0,9,8,2,2,0,0,4,2,3,0
1991-10-01,2,0,103,160,2.19625,351.40000000000003,16,0,8,39,29,27,1,1,9,3,15,7,0,2,0,2,1,0,0,0
1991-11-01,2,0,242,353,2.348441926345609,829.0,38,16,92,102,41,7,4,11,1,4,17,8,3,2,0,4,3,0,0,0
1991-12-01,0,11,86,181,0.3685082872928177,66.7,9,7,15,47,16,8,0,8,2,4,26,11,7,0,0,5,4,1,11,0
1992-01-01,2,0,118,207,1.9415458937198067,401.9,16,5,32,53,29,4,0,8,6,6,26,2,4,2,0,8,4,2,0,0
1992-02-01,2,2,63,101,1.598019801980198,161.4,10,6,14,40,7,2,0,6,2,0,5,0,0,2,0,0,5,0,2,0
1992-03-01,0,0,27,44,2.493181818181818,109.7,8,2,7,6,7,7,0,2,0,2,0,3,0,0,0,0,0,0,0,0
1992-04-01,1,0,24,76,0.030263157894736853,2.3000000000000007,11,3,5,10,7,2,1,5,2,0,13,3,6,1,0,1,4,2,0,0
1992-05-01,2,6,98,194,1.1546391752577319,224.0,17,4,22,56,12,8,0,8,9,3,31,8,2,2,0,0,6,0,6,0
1992-06-01,4,2,53,93,1.2741935483870968,118.5,7,4,10,25,12,6,2,2,4,3,2,4,2,4,0,1,3,0,2,0
1992-07-01,0,0,45,58,2.889655172413793,167.6,6,1,1,18,7,19,0,0,0,0,1,1,0,0,0,0,4,0,0,0
1992-08-01,0,2,46,64,1.7703125,113.3,4,8,9,28,7,2,0,0,0,0,0,1,1,0,0,0,2,0,2,0
1992-09-01,1,2,119,186,1.917741935483871,356.7,13,9,13,77,21,8,0,9,0,7,5,4,9,1,0,2,6,0,2,0
1992-10-01,2,0,52,89,1.7000000000000002,151.3,13,5,7,29,11,5,0,4,0,2,6,2,1,0,2,1,1,0,0,0
1992-11-01,2,1,89,130,1.7476923076923077,227.2,7,2,9,63,10,7,0,0,3,0,7,9,0,2,0,1,8,1,1,0
1992-12-01,0,1,129,174,2.1063218390804597,366.5,11,7,17,84,12,16,0,1,3,3,8,3,4,0,0,3,0,1,1,0
1993-01-01,3,2,47,79,1.420253164556962,112.2,9,4,6,29,8,4,0,2,2,1,9,0,0,3,0,0,0,0,2,0
1993-02-01,0,0,35,49,2.179591836734694,106.8,4,0,7,27,0,1,2,2,0,0,1,3,0,0,0,0,0,2,0,0
1993-03-01,1,0,52,85,2.0341176470588236,172.9,7,6,4,35,7,6,0,0,0,2,3,0,4,1,0,10,0,0,0,0
1993-04-01,0,0,36,61,1.3557377049180328,82.7,6,10,1,28,7,0,0,2,0,0,2,3,0,0,0,0,0,2,0,0
1993-05-01,0,8,132,258,1.519767441860465,392.09999999999997,33,8,9,93,19,11,2,18,0,5,19,18,5,0,0,4,6,0,6,2
1993-06-01,0,0,38,77,1.5285714285714287,117.7,11,2,5,29,4,0,5,3,0,0,5,3,0,0,0,3,7,0,0,0
1993-07-01,0,2,71,146,0.7595890410958904,110.9,12,17,15,45,5,6,7,0,2,2,8,7,2,0,0,14,2,0,2,0
1993-08-01,3,0,63,202,-0.31980198019801986,-64.60000000000001,21,15,2,41,9,11,2,5,7,0,41,6,10,2,1,24,4,1,0,0
1993-09-01,0,3,47,135,0.5503703703703704,74.3,19,12,7,24,14,2,0,7,2,3,28,1,1,0,0,6,4,2,3,0
1993-10-01,0,3,106,157,1.856687898089172,291.5,13,3,17,54,28,7,0,0,2,4,6,7,3,0,0,4,5,1,3,0
1993-11-01,0,1,144,211,1.753080568720379,369.9,6,11,23,91,27,3,2,3,2,6,14,1,7,0,0,6,8,0,0,1
1993-12-01,0,0,58,109,2.1743119266055047,237.0,18,6,2,24,17,15,6,3,0,5,3,0,0,0,0,8,1,1,0,0
1994-01-01,1,7,260,394,1.7637055837563451,694.9,35,4,57,135,40,28,0,12,4,6,31,11,9,1,0,6,6,2,7,0
1994-02-01,1,0,125,208,1.4610576923076921,303.9,14,8,5,97,12,11,0,9,1,10,13,4,0,1,0,1,22,0,0,0
1994-03-01,1,0,293,495,1.650909090909091,817.2,47,37,38,191,37,27,3,13,8,15,24,27,19,0,1,8,0,0,0,0
1994-04-01,0,5,97,199,1.821105527638191,362.4,18,20,20,60,14,3,6,9,2,3,17,11,7,0,0,3,1,0,5,0
1994-05-01,0,3,125,185,2.308648648648649,427.1,6,3,17,50,42,16,2,5,6,9,9,6,4,0,0,3,4,0,3,0
