,gdelt_n_events,gdelt_tone_mean,gdelt_goldstein_mean,gdelt_conflict_share,gdelt_coop_share
1990-01-01,0.0,,,,
1990-02-01,0.0,,,,
1990-03-01,0.0,,,,
1990-04-01,0.0,,,,
1990-05-01,0.0,,,,
1990-06-01,0.0,,,,
1990-07-01,0.0,,,,
1990-08-01,0.0,,,,
1990-09-01,0.0,,,,
1990-10-01,0.0,,,,
1990-11-01,0.0,,,,
1990-12-01,0.0,,,,
1991-01-01,0.0,,,,
1991-02-01,0.0,,,,
1991-03-01,0.0,,,,
1991-04-01,0.0,,,,
1991-05-01,0.0,,,,
1991-06-01,0.0,,,,
1991-07-01,0.0,,,,
1991-08-01,0.0,,,,
1991-09-01,0.0,,,,
1991-10-01,0.0,,,,
1991-11-01,0.0,,,,
1991-12-01,0.0,,,,
1992-01-01,0.0,,,,
1992-02-01,0.0,,,,
1992-03-01,0.0,,,,
1992-04-01,0.0,,,,
1992-05-01,0.0,,,,
1992-06-01,0.0,,,,
1992-07-01,0.0,,,,
1992-08-01,0.0,,,,
1992-09-01,0.0,,,,
1992-10-01,0.0,,,,
1992-11-01,0.0,,,,
1992-12-01,0.0,,,,
1993-01-01,0.0,,,,
1993-02-01,0.0,,,,
1993-03-01,0.0,,,,
1993-04-01,0.0,,,,
1993-05-01,0.0,,,,
1993-06-01,0.0,,,,
1993-07-01,0.0,,,,
1993-08-01,0.0,,,,
1993-09-01,0.0,,,,
1993-10-01,0.0,,,,
1993-11-01,0.0,,,,
1993-12-01,0.0,,,,
1994-01-01,0.0,,,,
1994-02-01,0.0,,,,
1994-03-01,0.0,,,,
1994-04-01,0.0,,,,
1994-05-01,0.0,,,,
1994-06-01,0.0,,,,
1994-07-01,0.0,,,,
1994-08-01,0.0,,,,
1994-09-01,0.0,,,,
1994-10-01,0.0,,,,
1994-11-01,0.0,,,,
1994-12-01,0.0,,,,
1995-01-01,0.0,,,,
1995-02-01,0.0,,,,
1995-03-01,0.0,,,,
1995-04-01,0.0,,,,
1995-05-01,0.0,,,,
1995-06-01,0.0,,,,
1995-07-01,0.0,,,,
1995-08-01,0.0,,,,
1995-09-01,0.0,,,,
1995-10-01,0.0,,,,
1995-11-01,0.0,,,,
1995-12-01,0.0,,,,
1996-01-01,0.0,,,,
1996-02-01,0.0,,,,
1996-03-01,0.0,,,,
1996-04-01,0.0,,,,
1996-05-01,0.0,,,,
1996-06-01,0.0,,,,
1996-07-01,0.0,,,,
1996-08-01,0.0,,,,
1996-09-01,0.0,,,,
1996-10-01,0.0,,,,
1996-11-01,0.0,,,,
1996-12-01,0.0,,,,
1997-01-01,0.0,,,,
1997-02-01,0.0,,,,
1997-03-01,0.0,,,,
1997-04-01,0.0,,,,
1997-05-01,0.0,,,,
1997-06-01,0.0,,,,
1997-07-01,0.0,,,,
1997-08-01,0.0,,,,
1997-09-01,0.0,,,,
1997-10-01,0.0,,,,
1997-11-01,0.0,,,,
1997-12-01,0.0,,,,
1998-01-01,0.0,,,,
1998-02-01,0.0,,,,
1998-03-01,0.0,,,,
1998-04-01,0.0,,,,
1998-05-01,0.0,,,,
1998-06-01,0.0,,,,
1998-07-01,0.0,,,,
1998-08-01,0.0,,,,
1998-09-01,0.0,,,,
1998-10-01,0.0,,,,
1998-11-01,0.0,,,,
1998-12-01,0.0,,,,
1999-01-01,0.0,,,,
1999-02-01,0.0,,,,
1999-03-01,0.0,,,,
1999-04-01,0.0,,,,
1999-05-01,0.0,,,,
1999-06-01,0.0,,,,
1999-07-01,0.0,,,,
1999-08-01,0.0,,,,
1999-09-01,0.0,,,,
1999-10-01,0.0,,,,
1999-11-01,0.0,,,,
1999-12-01,0.0,,,,
2000-01-01,0.0,,,,
2000-02-01,0.0,,,,
2000-03-01,0.0,,,,
2000-04-01,0.0,,,,
2000-05-01,0.0,,,,
2000-06-01,0.0,,,,
2000-07-01,0.0,,,,
2000-08-01,0.0,,,,
2000-09-01,0.0,,,,
2000-10-01,0.0,,,,
2000-11-01,0.0,,,,
2000-12-01,0.0,,,,
2001-01-01,0.0,,,,
2001-02-01,0.0,,,,
2001-03-01,0.0,,,,
2001-04-01,0.0,,,,
2001-05-01,0.0,,,,
2001-06-01,0.0,,,,
2001-07-01,0.0,,,,
2001-08-01,0.0,,,,
2001-09-01,0.0,,,,
2001-10-01,0.0,,,,
2001-11-01,0.0,,,,
2001-12-01,0.0,,,,
2002-01-01,0.0,,,,
2002-02-01,0.0,,,,
2002-03-01,0.0,,,,
2002-04-01,0.0,,,,
2002-05-01,0.0,,,,
2002-06-01,0.0,,,,
2002-07-01,0.0,,,,
2002-08-01,0.0,,,,
2002-09-01,0.0,,,,
2002-10-01,0.0,,,,
2002-11-01,0.0,,,,
2002-12-01,0.0,,,,
2003-01-01,0.0,,,,
2003-02-01,0.0,,,,
2003-03-01,0.0,,,,
2003-04-01,0.0,,,,
2003-05-01,0.0,,,,
2003-06-01,0.0,,,,
2003-07-01,0.0,,,,
2003-08-01,0.0,,,,
2003-09-01,0.0,,,,
2003-10-01,0.0,,,,
2003-11-01,0.0,,,,
2003-12-01,0.0,,,,
2004-01-01,0.0,,,,
2004-02-01,0.0,,,,
2004-03-01,0.0,,,,
2004-04-01,0.0,,,,
2004-05-01,0.0,,,,
2004-06-01,0.0,,,,
2004-07-01,0.0,,,,
2004-08-01,0.0,,,,
2004-09-01,0.0,,,,
2004-10-01,0.0,,,,
2004-11-01,0.0,,,,
2004-12-01,0.0,,,,
2005-01-01,0.0,,,,
2005-02-01,0.0,,,,
2005-03-01,0.0,,,,
2005-04-01,0.0,,,,
2005-05-01,0.0,,,,
2005-06-01,0.0,,,,
2005-07-01,0.0,,,,
2005-08-01,0.0,,,,
2005-09-01,0.0,,,,
2005-10-01,0.0,,,,
2005-11-01,0.0,,,,
2005-12-01,0.0,,,,
2006-01-01,0.0,,,,
2006-02-01,0.0,,,,
2006-03-01,0.0,,,,
2006-04-01,0.0,,,,
2006-05-01,0.0,,,,
2006-06-01,0.0,,,,
2006-07-01,0.0,,,,
2006-08-01,0.0,,,,
2006-09-01,0.0,,,,
2006-10-01,0.0,,,,
2006-11-01,0.0,,,,
2006-12-01,0.0,,,,
2007-01-01,0.0,,,,
2007-02-01,0.0,,,,
2007-03-01,0.0,,,,
2007-04-01,0.0,,,,
2007-05-01,0.0,,,,
2007-06-01,0.0,,,,
2007-07-01,0.0,,,,
2007-08-01,0.0,,,,
2007-09-01,0.0,,,,
2007-10-01,0.0,,,,
2007-11-01,0.0,,,,
2007-12-01,0.0,,,,
2008-01-01,0.0,,,,
2008-02-01,0.0,,,,
2008-03-01,0.0,,,,
2008-04-01,0.0,,,,
2008-05-01,0.0,,,,
2008-06-01,0.0,,,,
2008-07-01,0.0,,,,
2008-08-01,0.0,,,,
2008-09-01,0.0,,,,
2008-10-01,0.0,,,,
2008-11-01,0.0,,,,
2008-12-01,0.0,,,,
2009-01-01,0.0,,,,
2009-02-01,0.0,,,,
2009-03-01,0.0,,,,
2009-04-01,0.0,,,,
2009-05-01,0.0,,,,
2009-06-01,0.0,,,,
2009-07-01,0.0,,,,
2009-08-01,0.0,,,,
2009-09-01,0.0,,,,
2009-10-01,0.0,,,,
2009-11-01,0.0,,,,
2009-12-01,0.0,,,,
2010-01-01,0.0,,,,
2010-02-01,0.0,,,,
2010-03-01,0.0,,,,
2010-04-01,0.0,,,,
2010-05-01,0.0,,,,
2010-06-01,0.0,,,,
2010-07-01,0.0,,,,
2010-08-01,0.0,,,,
2010-09-01,0.0,,,,
2010-10-01,0.0,,,,
2010-11-01,0.0,,,,
2010-12-01,0.0,,,,
2011-01-01,0.0,,,,
2011-02-01,0.0,,,,
2011-03-01,0.0,,,,
2011-04-01,0.0,,,,
2011-05-01,0.0,,,,
2011-06-01,0.0,,,,
2011-07-01,0.0,,,,
2011-08-01,0.0,,,,
2011-09-01,0.0,,,,
2011-10-01,0.0,,,,
2011-11-01,0.0,,,,
2011-12-01,0.0,,,,
2012-01-01,0.0,,,,
2012-02-01,0.0,,,,
2012-03-01,0.0,,,,
2012-04-01,0.0,,,,
2012-05-01,0.0,,,,
2012-06-01,0.0,,,,
2012-07-01,0.0,,,,
2012-08-01,0.0,,,,
2012-09-01,0.0,,,,
2012-10-01,0.0,,,,
2012-11-01,0.0,,,,
2012-12-01,0.0,,,,
2013-01-01,0.0,,,,
2013-02-01,0.0,,,,
2013-03-01,0.0,,,,
2013-04-01,180.0,2.531486603502249,1.2894444444444442,0.016666666666666666,0.55
2013-05-01,91.0,2.2142789894841215,1.8615384615384616,0.0,0.5934065934065934
2013-06-01,341.0,2.3864980642601497,0.8765395894428152,0.03519061583577713,0.5131964809384164
2013-07-01,537.0,2.4987757144626728,2.20316573556797,0.0297951582867784,0.6908752327746741
2013-08-01,41.0,2.764684362492275,1.5707317073170732,0.04878048780487805,0.6097560975609756
2013-09-01,358.0,2.629549415677479,2.291340782122905,0.01675977653631285,0.723463687150838
2013-10-01,602.0,2.2867316359628336,2.3290697674418603,0.008305647840531562,0.6611295681063123
2013-11-01,531.0,2.8922679543741756,1.652165725047081,0.05649717514124294,0.6610169491525424
2013-12-01,370.0,2.5338650855484928,1.2875675675675675,0.03513513513513514,0.5297297297297298
2014-01-01,505.0,2.4342035150646337,-0.16019801980198026,0.100990099009901,0.4178217821782178
2014-02-01,538.0,2.796435005361345,1.5466542750929368,0.01858736059479554,0.6115241635687733
2014-03-01,274.0,1.798597348285366,1.9087591240875912,0.029197080291970802,0.656934306569343
2014-04-01,443.0,2.5178717414872493,0.9650112866817154,0.022573363431151242,0.5688487584650113
2014-05-01,556.0,2.2273500941860465,0.9715827338129497,0.04316546762589928,0.5863309352517986
2014-06-01,182.0,2.3137692876364495,0.8148351648351647,0.07142857142857142,0.5824175824175825
2014-07-01,529.0,2.4308793740360253,1.7249527410207939,0.022684310018903593,0.610586011342155
