source,variable,n_months,pct_filled,start,end,spec,recommend
GPR (Caldara-Iacoviello),gpr,381,98.7,1990-01,2021-09,PRIMARY,PRIMARY
EA-GPR (Bondarenko 2026),ea_gpr,290,75.1,1998-01,2022-02,ROBUSTNESS (starts 1998),ROBUSTNESS
EA-GPR (Bondarenko 2026),ea_gpr_diff,289,74.9,1998-02,2022-02,ROBUSTNESS (starts 1998),ROBUSTNESS
WUI (FRED WUIWORLD),wui,0,0.0,N/A,N/A,PRIMARY,DROP
GDELT GKG 2.0,gkg_n_articles,80,20.7,2015-02,2022-02,POST-2013 ROBUSTNESS,ROBUSTNESS
GDELT GKG 2.0,gkg_tone_mean,80,20.7,2015-02,2022-02,POST-2013 ROBUSTNESS,ROBUSTNESS
GDELT GKG 2.0,gkg_pos_score,80,20.7,2015-02,2022-02,POST-2013 ROBUSTNESS,ROBUSTNESS
GDELT GKG 2.0,gkg_neg_score,80,20.7,2015-02,2022-02,POST-2013 ROBUSTNESS,ROBUSTNESS
GDELT GKG 2.0,gkg_sentiment_vol,80,20.7,2015-02,2022-02,POST-2013 ROBUSTNESS,ROBUSTNESS
GDELT GKG 2.0,gkg_conflict_share,80,20.7,2015-02,2022-02,POST-2013 ROBUSTNESS,ROBUSTNESS
GDELT GKG 2.0,gkg_trade_share,80,20.7,2015-02,2022-02,POST-2013 ROBUSTNESS,ROBUSTNESS
GDELT GKG 2.0,gkg_military_share,80,20.7,2015-02,2022-02,POST-2013 ROBUSTNESS,ROBUSTNESS
GDELT GKG 2.0,gkg_diplomatic_share,80,20.7,2015-02,2022-02,POST-2013 ROBUSTNESS,ROBUSTNESS
GDELT GKG 2.0,gkg_sanction_share,80,20.7,2015-02,2022-02,POST-2013 ROBUSTNESS,ROBUSTNESS
