;;World Uncertainty Index;;;;;;;;;;;;;;;;
;;GDP weighted average;;;;;;;;;;;;;;;;
year;year2;WUI;;;;;;;;;;;;;;;;
1990q1;1990;12 496;;;;;;;;;;;;;;;;
1990q2;1990;8 770;;;;;;;;;;;;;;;;
1990q3;1990;16 199;;;;World Uncertainty Index;;;;;;;;;;;;
1990q4;1990;11 872;;;;1990Q1 to 2026Q1;;;;;;;;;;;;
1991q1;1991;8 224;;;;;;;;;;;;;;;;
1991q2;1991;10 484;;;;;;;;;;;;;;;;
1991q3;1991;6 208;;;;;;;;;;;;;;;;
1991q4;1991;7 314;;;;;;;;;;;;;;;;
1992q1;1992;12 617;;;;;;;;;;;;;;;;
1992q2;1992;7 359;;;;;;;;;;;;;;;;
1992q3;1992;6 778;;;;;;;;;;;;;;;;
1992q4;1992;13 982;;;;;;;;;;;;;;;;
1993q1;1993;13 706;;;;;;;;;;;;;;;;
1993q2;1993;10 559;;;;;;;;;;;;;;;;
1993q3;1993;15 699;;;;;;;;;;;;;;;;
1993q4;1993;11 880;;;;;;;;;;;;;;;;
1994q1;1994;9 656;;;;;;;;;;;;;;;;
1994q2;1994;9 446;;;;;;;;;;;;;;;;
1994q3;1994;12 937;;;;;;;;;;;;;;;;
1994q4;1994;8 478;;;;;;;;;;;;;;;;
1995q1;1995;11 010;;;;;;;;;;;;;;;;
1995q2;1995;9 927;;;;;;;;;;;;;;;;
1995q3;1995;8 001;;;;;;;;;;;;;;;;
1995q4;1995;11 782;;;;;;;;;;;;;;;;
1996q1;1996;10 781;;;;;;;;;;;;;;;;
1996q2;1996;11 799;;;;;;;;;;;;;;;;
1996q3;1996;9 862;;;;;;;;;;;;;;;;
1996q4;1996;8 467;;;;;;;;;;;;;;;;
1997q1;1997;8 311;;;;;;;;;;;;;;;;
1997q2;1997;11 004;;;;;;;;;;;;;;;;
1997q3;1997;8 719;;;;;;;;;;;;;;;;
1997q4;1997;6 869;;;;;;;;;;;;;;;;
1998q1;1998;13 808;;;;;;;;;;;;;;;;
1998q2;1998;9 724;;;;;;;;;;;;;;;;
1998q3;1998;14 250;;;;;;;;;;;;;;;;
1998q4;1998;9 511;;;;;;;;;;;;;;;;
1999q1;1999;11 075;;;;;;;;;;;;;;;;
1999q2;1999;13 018;;;;;;;;;;;;;;;;
1999q3;1999;5 778;;;;;Note:;The use of the data and figure should be cited as:;;;;;;;;;;
1999q4;1999;7 863;;;;;;Ahir, H, N Bloom, and D Furceri (2022), “World Uncertainty Index”, NBER Working Paper.;;;;;;;;;;
2000q1;2000;5 832;;;;;;;;;;;;;;;;
2000q2;2000;5 570;;;;;;;;;;;;;;;;
2000q3;2000;13 817;;;;;;;;;;;;;;;;
2000q4;2000;11 881;;;;;;;;;;;;;;;;
2001q1;2001;22 325;;;;;;;;;;;;;;;;
2001q2;2001;13 179;;;;;;;;;;;;;;;;
2001q3;2001;25 156;;;;;;;;;;;;;;;;
2001q4;2001;23 448;;;;;;;;;;;;;;;;
2002q1;2002;22 597;;;;;;;;;;;;;;;;
2002q2;2002;17 938;;;;;;;;;;;;;;;;
2002q3;2002;14 136;;;;;;;;;;;;;;;;
2002q4;2002;27 833;;;;;;;;;;;;;;;;
2003q1;2003;25 719;;;;;;;;;;;;;;;;
2003q2;2003;34 455;;;;;;;;;;;;;;;;
2003q3;2003;23 886;;;;;;;;;;;;;;;;
2003q4;2003;12 058;;;;;;;;;;;;;;;;
2004q1;2004;16 122;;;;;;;;;;;;;;;;
2004q2;2004;9 975;;;;;;;;;;;;;;;;
2004q3;2004;14 398;;;;;;;;;;;;;;;;
2004q4;2004;13 203;;;;;;;;;;;;;;;;
2005q1;2005;11 538;;;;;;;;;;;;;;;;
2005q2;2005;11 867;;;;;;;;;;;;;;;;
2005q3;2005;20 194;;;;;;;;;;;;;;;;
2005q4;2005;12 166;;;;;;;;;;;;;;;;
2006q1;2006;11 553;;;;;;;;;;;;;;;;
2006q2;2006;8 235;;;;;;;;;;;;;;;;
2006q3;2006;11 855;;;;;;;;;;;;;;;;
2006q4;2006;9 051;;;;;;;;;;;;;;;;
2007q1;2007;13 358;;;;;;;;;;;;;;;;
2007q2;2007;18 460;;;;;;;;;;;;;;;;
2007q3;2007;21 868;;;;;;;;;;;;;;;;
2007q4;2007;13 844;;;;;;;;;;;;;;;;
2008q1;2008;13 177;;;;;;;;;;;;;;;;
2008q2;2008;18 019;;;;;;;;;;;;;;;;
2008q3;2008;14 048;;;;;;;;;;;;;;;;
2008q4;2008;13 245;;;;;;;;;;;;;;;;
2009q1;2009;21 794;;;;;;;;;;;;;;;;
2009q2;2009;18 972;;;;;;;;;;;;;;;;
2009q3;2009;14 507;;;;;;;;;;;;;;;;
2009q4;2009;18 952;;;;;;;;;;;;;;;;
2010q1;2010;19 712;;;;;;;;;;;;;;;;
2010q2;2010;21 449;;;;;;;;;;;;;;;;
2010q3;2010;19 653;;;;;;;;;;;;;;;;
2010q4;2010;14 902;;;;;;;;;;;;;;;;
2011q1;2011;13 398;;;;;;;;;;;;;;;;
2011q2;2011;14 121;;;;;;;;;;;;;;;;
2011q3;2011;20 228;;;;;;;;;;;;;;;;
2011q4;2011;19 437;;;;;;;;;;;;;;;;
2012q1;2012;18 630;;;;;;;;;;;;;;;;
2012q2;2012;36 828;;;;;;;;;;;;;;;;
2012q3;2012;25 945;;;;;;;;;;;;;;;;
2012q4;2012;38 752;;;;;;;;;;;;;;;;
2013q1;2013;31 599;;;;;;;;;;;;;;;;
2013q2;2013;14 114;;;;;;;;;;;;;;;;
2013q3;2013;15 803;;;;;;;;;;;;;;;;
2013q4;2013;18 492;;;;;;;;;;;;;;;;
2014q1;2014;19 537;;;;;;;;;;;;;;;;
2014q2;2014;20 086;;;;;;;;;;;;;;;;
2014q3;2014;14 211;;;;;;;;;;;;;;;;
2014q4;2014;17 252;;;;;;;;;;;;;;;;
2015q1;2015;29 838;;;;;;;;;;;;;;;;
2015q2;2015;25 361;;;;;;;;;;;;;;;;
2015q3;2015;21 280;;;;;;;;;;;;;;;;
