,wui
1990-01-01,12496.0
1990-02-01,12496.0
1990-03-01,12496.0
1990-04-01,12496.0
1990-05-01,12496.0
1990-06-01,12496.0
1990-07-01,8770.0
1990-08-01,8770.0
1990-09-01,8770.0
1990-10-01,16199.0
1990-11-01,16199.0
1990-12-01,16199.0
1991-01-01,11872.0
1991-02-01,11872.0
1991-03-01,11872.0
1991-04-01,8224.0
1991-05-01,8224.0
1991-06-01,8224.0
1991-07-01,10484.0
1991-08-01,10484.0
1991-09-01,10484.0
1991-10-01,6208.0
1991-11-01,6208.0
1991-12-01,6208.0
1992-01-01,7314.0
1992-02-01,7314.0
1992-03-01,7314.0
1992-04-01,12617.0
1992-05-01,12617.0
1992-06-01,12617.0
1992-07-01,7359.0
1992-08-01,7359.0
1992-09-01,7359.0
1992-10-01,6778.0
1992-11-01,6778.0
1992-12-01,6778.0
1993-01-01,13982.0
1993-02-01,13982.0
1993-03-01,13982.0
1993-04-01,13706.0
1993-05-01,13706.0
1993-06-01,13706.0
1993-07-01,10559.0
1993-08-01,10559.0
1993-09-01,10559.0
1993-10-01,15699.0
1993-11-01,15699.0
1993-12-01,15699.0
1994-01-01,11880.0
1994-02-01,11880.0
1994-03-01,11880.0
1994-04-01,9656.0
1994-05-01,9656.0
1994-06-01,9656.0
1994-07-01,9446.0
1994-08-01,9446.0
1994-09-01,9446.0
1994-10-01,12937.0
1994-11-01,12937.0
1994-12-01,12937.0
1995-01-01,8478.0
1995-02-01,8478.0
1995-03-01,8478.0
1995-04-01,11010.0
1995-05-01,11010.0
1995-06-01,11010.0
1995-07-01,9927.0
1995-08-01,9927.0
1995-09-01,9927.0
1995-10-01,8001.0
1995-11-01,8001.0
1995-12-01,8001.0
1996-01-01,11782.0
1996-02-01,11782.0
1996-03-01,11782.0
1996-04-01,10781.0
1996-05-01,10781.0
1996-06-01,10781.0
1996-07-01,11799.0
1996-08-01,11799.0
1996-09-01,11799.0
1996-10-01,9862.0
1996-11-01,9862.0
1996-12-01,9862.0
1997-01-01,8467.0
1997-02-01,8467.0
1997-03-01,8467.0
1997-04-01,8311.0
1997-05-01,8311.0
1997-06-01,8311.0
1997-07-01,11004.0
1997-08-01,11004.0
1997-09-01,11004.0
1997-10-01,8719.0
1997-11-01,8719.0
1997-12-01,8719.0
1998-01-01,6869.0
1998-02-01,6869.0
1998-03-01,6869.0
1998-04-01,13808.0
1998-05-01,13808.0
1998-06-01,13808.0
1998-07-01,9724.0
1998-08-01,9724.0
1998-09-01,9724.0
1998-10-01,14250.0
1998-11-01,14250.0
1998-12-01,14250.0
1999-01-01,9511.0
1999-02-01,9511.0
1999-03-01,9511.0
1999-04-01,11075.0
1999-05-01,11075.0
1999-06-01,11075.0
1999-07-01,13018.0
1999-08-01,13018.0
1999-09-01,13018.0
1999-10-01,5778.0
1999-11-01,5778.0
1999-12-01,5778.0
2000-01-01,7863.0
2000-02-01,7863.0
2000-03-01,7863.0
2000-04-01,5832.0
2000-05-01,5832.0
2000-06-01,5832.0
2000-07-01,5570.0
2000-08-01,5570.0
2000-09-01,5570.0
2000-10-01,13817.0
2000-11-01,13817.0
2000-12-01,13817.0
2001-01-01,11881.0
2001-02-01,11881.0
2001-03-01,11881.0
2001-04-01,22325.0
2001-05-01,22325.0
2001-06-01,22325.0
2001-07-01,13179.0
2001-08-01,13179.0
2001-09-01,13179.0
2001-10-01,25156.0
2001-11-01,25156.0
2001-12-01,25156.0
2002-01-01,23448.0
2002-02-01,23448.0
2002-03-01,23448.0
2002-04-01,22597.0
2002-05-01,22597.0
2002-06-01,22597.0
2002-07-01,17938.0
2002-08-01,17938.0
2002-09-01,17938.0
2002-10-01,14136.0
2002-11-01,14136.0
2002-12-01,14136.0
2003-01-01,27833.0
2003-02-01,27833.0
2003-03-01,27833.0
2003-04-01,25719.0
2003-05-01,25719.0
2003-06-01,25719.0
2003-07-01,34455.0
2003-08-01,34455.0
2003-09-01,34455.0
2003-10-01,23886.0
2003-11-01,23886.0
2003-12-01,23886.0
2004-01-01,12058.0
2004-02-01,12058.0
2004-03-01,12058.0
2004-04-01,16122.0
2004-05-01,16122.0
2004-06-01,16122.0
2004-07-01,9975.0
2004-08-01,9975.0
2004-09-01,9975.0
2004-10-01,14398.0
2004-11-01,14398.0
2004-12-01,14398.0
2005-01-01,13203.0
2005-02-01,13203.0
2005-03-01,13203.0
2005-04-01,11538.0
2005-05-01,11538.0
2005-06-01,11538.0
2005-07-01,11867.0
2005-08-01,11867.0
2005-09-01,11867.0
2005-10-01,20194.0
2005-11-01,20194.0
2005-12-01,20194.0
2006-01-01,12166.0
2006-02-01,12166.0
2006-03-01,12166.0
2006-04-01,11553.0
2006-05-01,11553.0
2006-06-01,11553.0
2006-07-01,8235.0
2006-08-01,8235.0
2006-09-01,8235.0
2006-10-01,11855.0
2006-11-01,11855.0
2006-12-01,11855.0
2007-01-01,9051.0
2007-02-01,9051.0
2007-03-01,9051.0
2007-04-01,13358.0
