dyad,gdelt_score,icews_score,swb_score,nyt_score,sentiment_score,n_months_total
CHN-AUS,0.982,0.765,0.058,0.0,0.282,379
CHN-DEU,0.984,0.694,0.062,0.0,0.288,372
CHN-FRA,0.984,0.751,0.067,0.0,0.277,386
CHN-GBR,0.984,0.79,0.073,0.0,0.277,386
CHN-IDN,0.987,0.636,0.048,0.0,0.285,376
CHN-IND,0.972,0.823,0.14,0.0,0.301,356
CHN-JPN,0.984,0.806,0.326,0.0,0.277,386
CHN-PAK,0.984,0.756,0.134,0.0,0.281,381
CHN-RUS,0.987,0.0,0.288,0.0,0.278,385
CHN-USA,0.984,0.813,0.5,0.855,0.277,386
CHN-VNM,0.984,0.761,0.132,0.0,0.278,385
