variable,n_obs,n_total,pct,first,last
llwip,360,360,100.0,1992-03-31,2022-02-28
dllgop,360,360,100.0,1992-03-31,2022-02-28
dl2lgop,360,360,100.0,1992-03-31,2022-02-28
vix,360,360,100.0,1992-03-31,2022-02-28
gs10,360,360,100.0,1992-03-31,2022-02-28
tb3ms,360,360,100.0,1992-03-31,2022-02-28
baa10y,360,360,100.0,1992-03-31,2022-02-28
brent,360,360,100.0,1992-03-31,2022-02-28
gold,360,360,100.0,1992-03-31,2022-02-28
bdi,360,360,100.0,1992-03-31,2022-02-28
cny_usd,360,360,100.0,1992-03-31,2022-02-28
indpro,360,360,100.0,1992-03-31,2022-02-28
gpr_chn_l1,360,360,100.0,1992-03-31,2022-02-28
gpr_usa_l1,360,360,100.0,1992-03-31,2022-02-28
copper,360,360,100.0,1992-03-31,2022-02-28
wheat,360,360,100.0,1992-03-31,2022-02-28
