variable,n_obs,n_total,pct,first,last
llwip,358,358,100.0,1990-02-28,2019-11-30
dllgop,358,358,100.0,1990-02-28,2019-11-30
dl2lgop,358,358,100.0,1990-02-28,2019-11-30
vix,358,358,100.0,1990-02-28,2019-11-30
gs10,358,358,100.0,1990-02-28,2019-11-30
tb3ms,358,358,100.0,1990-02-28,2019-11-30
baa10y,358,358,100.0,1990-02-28,2019-11-30
brent,358,358,100.0,1990-02-28,2019-11-30
gold,358,358,100.0,1990-02-28,2019-11-30
bdi,358,358,100.0,1990-02-28,2019-11-30
cny_usd,358,358,100.0,1990-02-28,2019-11-30
indpro,358,358,100.0,1990-02-28,2019-11-30
gpr_chn_l1,358,358,100.0,1990-02-28,2019-11-30
gpr_usa_l1,358,358,100.0,1990-02-28,2019-11-30
dxy,358,358,100.0,1990-02-28,2019-11-30
