variable,n_obs,n_total,pct,first,last
llwip,385,385,100.0,1990-02-28,2022-02-28
dllgop,385,385,100.0,1990-02-28,2022-02-28
dl2lgop,385,385,100.0,1990-02-28,2022-02-28
vix,385,385,100.0,1990-02-28,2022-02-28
gs10,385,385,100.0,1990-02-28,2022-02-28
tb3ms,385,385,100.0,1990-02-28,2022-02-28
baa10y,385,385,100.0,1990-02-28,2022-02-28
brent,385,385,100.0,1990-02-28,2022-02-28
gold,385,385,100.0,1990-02-28,2022-02-28
bdi,385,385,100.0,1990-02-28,2022-02-28
cny_usd,385,385,100.0,1990-02-28,2022-02-28
indpro,385,385,100.0,1990-02-28,2022-02-28
gpr_chn_l1,385,385,100.0,1990-02-28,2022-02-28
gpr_usa_l1,385,385,100.0,1990-02-28,2022-02-28
