variable,n_obs,n_total,pct,first,last
llwip,336,336,100.0,1994-03-31,2022-02-28
dllgop,336,336,100.0,1994-03-31,2022-02-28
dl2lgop,336,336,100.0,1994-03-31,2022-02-28
vix,336,336,100.0,1994-03-31,2022-02-28
gs10,336,336,100.0,1994-03-31,2022-02-28
tb3ms,336,336,100.0,1994-03-31,2022-02-28
baa10y,336,336,100.0,1994-03-31,2022-02-28
brent,336,336,100.0,1994-03-31,2022-02-28
gold,336,336,100.0,1994-03-31,2022-02-28
bdi,336,336,100.0,1994-03-31,2022-02-28
cny_usd,336,336,100.0,1994-03-31,2022-02-28
indpro,336,336,100.0,1994-03-31,2022-02-28
gpr_chn_l1,336,336,100.0,1994-03-31,2022-02-28
gpr_usa_l1,336,336,100.0,1994-03-31,2022-02-28
reer,336,336,100.0,1994-03-31,2022-02-28
