variable,n_obs,n_total,pct_filled,first,last
llwip,178,178,100.0,2006-03-31,2020-12-31
dllgop,178,178,100.0,2006-03-31,2020-12-31
l2lwip,178,178,100.0,2006-03-31,2020-12-31
dl2lgop,178,178,100.0,2006-03-31,2020-12-31
vix,178,178,100.0,2006-03-31,2020-12-31
gs10,178,178,100.0,2006-03-31,2020-12-31
tb3ms,178,178,100.0,2006-03-31,2020-12-31
tedrate,178,178,100.0,2006-03-31,2020-12-31
baa10y,178,178,100.0,2006-03-31,2020-12-31
us_spread,178,178,100.0,2006-03-31,2020-12-31
gscpi,178,178,100.0,2006-03-31,2020-12-31
brent,178,178,100.0,2006-03-31,2020-12-31
gold,178,178,100.0,2006-03-31,2020-12-31
bdi,178,178,100.0,2006-03-31,2020-12-31
cny_usd,178,178,100.0,2006-03-31,2020-12-31
dxy,178,178,100.0,2006-03-31,2020-12-31
em_fx,178,178,100.0,2006-03-31,2020-12-31
reer,178,178,100.0,2006-03-31,2020-12-31
indpro,178,178,100.0,2006-03-31,2020-12-31
gpr_chn_l1,178,178,100.0,2006-03-31,2020-12-31
gpr_usa_l1,178,178,100.0,2006-03-31,2020-12-31
