variable,n_obs,n_total,pct_filled,first,last
llwip,40,40,100.0,1993-02-28,2021-06-30
dllgop,40,40,100.0,1993-02-28,2021-06-30
l2lwip,40,40,100.0,1993-02-28,2021-06-30
dl2lgop,40,40,100.0,1993-02-28,2021-06-30
vix,40,40,100.0,1993-02-28,2021-06-30
gs10,40,40,100.0,1993-02-28,2021-06-30
tb3ms,40,40,100.0,1993-02-28,2021-06-30
tedrate,40,40,100.0,1993-02-28,2021-06-30
baa10y,40,40,100.0,1993-02-28,2021-06-30
us_spread,40,40,100.0,1993-02-28,2021-06-30
brent,40,40,100.0,1993-02-28,2021-06-30
gold,40,40,100.0,1993-02-28,2021-06-30
bdi,40,40,100.0,1993-02-28,2021-06-30
cny_usd,40,40,100.0,1993-02-28,2021-06-30
indpro,40,40,100.0,1993-02-28,2021-06-30
gpr_chn_l1,40,40,100.0,1993-02-28,2021-06-30
gpr_usa_l1,40,40,100.0,1993-02-28,2021-06-30
copper,40,40,100.0,1993-02-28,2021-06-30
wheat,40,40,100.0,1993-02-28,2021-06-30
