variable,n_obs,n_total,pct_filled,first,last
llwip,99,99,100.0,1990-03-31,2019-10-31
dllgop,99,99,100.0,1990-03-31,2019-10-31
l2lwip,99,99,100.0,1990-03-31,2019-10-31
dl2lgop,99,99,100.0,1990-03-31,2019-10-31
vix,99,99,100.0,1990-03-31,2019-10-31
gs10,99,99,100.0,1990-03-31,2019-10-31
tb3ms,99,99,100.0,1990-03-31,2019-10-31
tedrate,99,99,100.0,1990-03-31,2019-10-31
baa10y,99,99,100.0,1990-03-31,2019-10-31
us_spread,99,99,100.0,1990-03-31,2019-10-31
brent,99,99,100.0,1990-03-31,2019-10-31
gold,99,99,100.0,1990-03-31,2019-10-31
bdi,99,99,100.0,1990-03-31,2019-10-31
cny_usd,99,99,100.0,1990-03-31,2019-10-31
indpro,99,99,100.0,1990-03-31,2019-10-31
gpr_chn_l1,99,99,100.0,1990-03-31,2019-10-31
gpr_usa_l1,99,99,100.0,1990-03-31,2019-10-31
dxy,99,99,100.0,1990-03-31,2019-10-31
