variable,n_obs,n_total,pct_filled,first,last
llwip,384,384,100.0,1990-02-28,2022-01-31
dllgop,384,384,100.0,1990-02-28,2022-01-31
l2lwip,384,384,100.0,1990-02-28,2022-01-31
dl2lgop,384,384,100.0,1990-02-28,2022-01-31
vix,384,384,100.0,1990-02-28,2022-01-31
gs10,384,384,100.0,1990-02-28,2022-01-31
tb3ms,384,384,100.0,1990-02-28,2022-01-31
tedrate,384,384,100.0,1990-02-28,2022-01-31
baa10y,384,384,100.0,1990-02-28,2022-01-31
us_spread,384,384,100.0,1990-02-28,2022-01-31
brent,384,384,100.0,1990-02-28,2022-01-31
gold,384,384,100.0,1990-02-28,2022-01-31
bdi,384,384,100.0,1990-02-28,2022-01-31
cny_usd,384,384,100.0,1990-02-28,2022-01-31
indpro,384,384,100.0,1990-02-28,2022-01-31
gpr_chn_l1,384,384,100.0,1990-02-28,2022-01-31
gpr_usa_l1,384,384,100.0,1990-02-28,2022-01-31
