variable,n_obs,n_total,pct_filled,first,last
llwip,110,110,100.0,1995-01-31,2022-01-31
dllgop,110,110,100.0,1995-01-31,2022-01-31
l2lwip,110,110,100.0,1995-01-31,2022-01-31
dl2lgop,110,110,100.0,1995-01-31,2022-01-31
vix,110,110,100.0,1995-01-31,2022-01-31
gs10,110,110,100.0,1995-01-31,2022-01-31
tb3ms,110,110,100.0,1995-01-31,2022-01-31
tedrate,110,110,100.0,1995-01-31,2022-01-31
baa10y,110,110,100.0,1995-01-31,2022-01-31
us_spread,110,110,100.0,1995-01-31,2022-01-31
brent,110,110,100.0,1995-01-31,2022-01-31
gold,110,110,100.0,1995-01-31,2022-01-31
bdi,110,110,100.0,1995-01-31,2022-01-31
cny_usd,110,110,100.0,1995-01-31,2022-01-31
indpro,110,110,100.0,1995-01-31,2022-01-31
gpr_chn_l1,110,110,100.0,1995-01-31,2022-01-31
gpr_usa_l1,110,110,100.0,1995-01-31,2022-01-31
reer,110,110,100.0,1995-01-31,2022-01-31
