Period_dt,lwti,lpri,d2pri,llwip,dllgop,dl2lgop
1990-02-28,2.8490794560394908,-0.7326682560454053,-0.2,4.1354656,-0.00921154,-0.005792618
1990-03-31,2.7648802389313962,-0.8088669356527773,0.1,4.1395245,0.0042176247,-0.00921154
1990-04-30,2.6683266462620705,-0.8088669356527773,0.1,4.1437383,0.014660835,0.0042176247
1990-05-31,2.6480353855701897,-0.8088669356527773,0.0,4.1334424,-0.004463196,0.014660835
1990-06-30,2.5640014339353754,-0.8088669356527773,0.0,4.1446,-0.009224892,-0.004463196
1990-07-31,2.6589994665888073,-0.8088669356527773,0.0,4.148148,-0.01363039,-0.009224892
1990-08-31,3.027663800899006,-0.8088669356527773,0.0,4.1479983,0.0017271042,-0.01363039
1990-09-30,3.235699546820326,-0.8088669356527773,0.0,4.153455,-0.060423374,0.0017271042
1990-10-31,3.293167973677838,-0.8088669356527773,0.0,4.15546,0.04376316,-0.060423374
1990-11-30,3.184638932108805,-0.7326682560454053,0.1,4.1547875,0.005701065,0.04376316
1990-12-31,3.014080057391301,-0.65266656608235,0.0,4.149968,0.013576508,0.005701065
1991-01-31,2.9193545811678483,-0.65266656608235,-0.1,4.1478963,0.0034809113,0.013576508
1991-02-28,2.7229241959568555,-0.65266656608235,0.0,4.149921,-0.0040602684,0.0034809113
1991-03-31,2.690085646126911,-0.65266656608235,0.0,4.1428766,-0.0051369667,-0.0040602684
1991-04-30,2.735213086047495,-0.65266656608235,0.0,4.138894,0.0042204857,-0.0051369667
1991-05-31,2.7513470068555343,-0.65266656608235,0.0,4.1461363,-0.0233531,0.0042204857
1991-06-30,2.6979503492674155,-0.5688248987322413,0.1,4.1506424,-0.0029945374,-0.0233531
1991-07-31,2.755370857292282,-0.5688248987322413,-0.1,4.1522126,0.0032577515,-0.0029945374
1991-08-31,2.764872351047766,-0.5688248987322413,0.0,4.153505,0.016630173,0.0032577515
1991-09-30,2.769710496528017,-0.5688248987322413,0.0,4.153055,-0.0116353035,0.016630173
1991-10-31,2.82908891820611,-0.5688248987322413,0.0,4.15602,0.017308235,-0.0116353035
1991-11-30,2.7913253699306564,-0.5688248987322413,0.0,4.1588306,-0.00073719025,0.017308235
1991-12-31,2.647754155303587,-0.5688248987322413,0.0,4.1591544,0.0040545464,-0.00073719025
1992-01-31,2.6106650814746124,-0.4812118250595971,0.1,4.151137,0.006696701,0.0040545464
1992-02-29,2.6177538858718776,-0.4812118250595971,-0.1,4.1554,0.0018620491,0.006696701
1992-03-31,2.6099852118403235,-0.39003531977070865,0.1,4.162302,-0.013759613,0.0018620491
1992-04-30,2.6756317424411082,-0.39003531977070865,-0.1,4.1613917,-0.010804176,-0.013759613
1992-05-31,2.707334125167566,-0.39003531977070865,0.0,4.163453,0.0060043335,-0.010804176
1992-06-30,2.770757996806049,-0.39003531977070865,0.0,4.1604896,-0.018938541,0.0060043335
1992-07-31,2.739990162263676,-0.4812118250595971,-0.1,4.161874,0.0041017532,-0.018938541
1992-08-31,2.7188814819387828,-0.4812118250595971,0.1,4.166548,0.007815838,0.0041017532
1992-09-30,2.7422792839828904,-0.9503469298211292,-0.6,4.159983,-0.00022172928,0.007815838
1992-10-31,2.728217151487821,-0.9503469298211292,0.6,4.165362,0.004371166,-0.00022172928
1992-11-30,2.6613268650884407,-0.9503469298211292,0.0,4.167058,0.013216972,0.004371166
1992-12-31,2.6128665066222427,-0.8813735870195377,0.1,4.1664395,-0.0047678947,0.013216972
1993-01-31,2.592103713253128,-0.8813735870195377,-0.1,4.160696,0.0052895546,-0.0047678947
1993-02-28,2.640005267920583,-0.8813735870195377,0.0,4.1684146,-0.002711296,0.0052895546
1993-03-31,2.6531633320277312,-0.8813735870195377,0.0,4.1754866,0.005844116,-0.002711296
1993-04-30,2.645888701165054,-0.8813735870195377,0.0,4.1746163,-0.011794567,0.005844116
1993-05-31,2.6266967256709353,-0.8813735870195377,0.0,4.177452,-0.011739731,-0.011794567
1993-06-30,2.581392139820594,-0.8813735870195377,0.0,4.1803255,0.003124237,-0.011739731
1993-07-31,2.514790143715252,-0.8813735870195377,0.0,4.176806,-0.0047678947,0.003124237
1993-08-31,2.520688338974291,-0.9503469298211292,-0.1,4.1769447,0.010143757,-0.0047678947
1993-09-30,2.4914370046675494,-1.0159731341796878,-1.110223e-16,4.175749,-0.0029625893,0.010143757
1993-10-31,2.5227020908905393,-1.0159731341796878,0.1,4.179465,0.00018882751,-0.0029625893
1993-11-30,2.4369124016700505,-0.8813735870195379,0.2,4.1795044,0.007712364,0.00018882751
1993-12-31,2.294348944858109,-0.8813735870195379,-0.2,4.1824718,0.001057148,0.007712364
1994-01-31,2.327561079064223,-0.7326682560454053,0.2,4.1882963,0.006392479,0.001057148
1994-02-28,2.310055416359211,-0.7326682560454053,-0.2,4.187897,0.005271435,0.006392479
1994-03-31,2.299180254839205,-0.48121182505959725,0.3,4.1911917,-0.0029172897,0.005271435
1994-04-30,2.409439058118239,-0.29567304756341556,-0.1,4.1990075,-0.0015120506,-0.0029172897
1994-05-31,2.495024779953585,-0.19869011034923464,-0.1,4.2054615,-0.0075478554,-0.0015120506
1994-06-30,2.556750235883665,-0.19869011034923464,-0.1,4.2106323,0.0072426796,-0.0075478554
1994-07-31,2.5833361935700814,-0.19869011034923464,0.0,4.218093,0.005112171,0.0072426796
1994-08-31,2.512486996970173,-0.09983407889920064,0.1,4.220414,-0.006495476,0.005112171
1994-09-30,2.459125031854403,-0.09983407889920064,-0.1,4.230782,-0.0017127991,-0.006495476
1994-10-31,2.4726723650841165,0.29567304756342927,0.4,4.2344246,0.010021687,-0.0017127991
1994-11-30,2.4917810531767524,0.5688248987322535,-0.1,4.241823,0.008062363,0.010021687
1994-12-31,2.4364495414084915,0.5688248987322535,-0.3,4.2504816,0.0028128624,0.008062363
1995-01-31,2.4810231497616027,0.5688248987322535,0.0,4.26168,0.0052170753,0.0028128624
1995-02-28,2.5079438605115563,0.3900353197707218,-0.2,4.258207,-0.0068473816,0.0052170753
1995-03-31,2.507036511296103,0.5688248987322535,0.4,4.260187,0.008084774,-0.0068473816
1995-04-30,2.5718173775902873,0.5688248987322535,-0.2,4.259563,-0.011940479,0.008084774
1995-05-31,2.5632790207281797,0.09983407889921461,-0.5,4.2640624,0.012854576,-0.011940479
1995-06-30,2.4920985735627066,-0.09983407889920064,0.3,4.2601323,0.00019073486,0.012854576
1995-07-31,2.428056568641468,-0.19869011034923464,0.1,4.265083,-0.013842583,0.00019073486
1995-08-31,2.467423110268301,-0.19869011034923464,0.1,4.2639537,0.015337944,-0.013842583
1995-09-30,2.477147472015025,-0.19869011034923464,0.0,4.2702355,0.0021414757,0.015337944
1995-10-31,2.430236037441673,-0.09983407889920064,0.1,4.2703676,0.00630188,0.0021414757
1995-11-30,2.459983583405983,7.105427357600977e-15,0.0,4.270344,-0.0057911873,0.00630188
1995-12-31,2.515409174506477,7.105427357600977e-15,-0.1,4.2754836,0.0034880638,-0.0057911873
1996-01-31,2.501785589126426,7.105427357600977e-15,0.0,4.283274,0.0062770844,0.0034880638
