Period_dt,lwti,lpri,d2pri,llwip,dllgop,l2lwip,dl2lgop,vix,gs10,tb3ms,tedrate,baa10y,us_spread,brent,gold,bdi,cny_usd,indpro,unemp,sentiment,cpi,gpr_chn_l1,gpr_usa_l1,dxy
1990-02-28,2.8490794560394908,-0.7326682560454053,-0.2,4.1354656,-0.00921154,4.139441,-0.005792618,23.34727278622714,8.21,7.64,0.7109523809523809,1.68,1.68,0.06879540878553492,0.0017571694576172803,-0.012145984543486144,0.0,-0.005070632766924987,5.4,93.0,0.009456335242036,0.23352041840553284,1.9214224815368652,0.0015909712505148
1990-03-31,2.7648802389313962,-0.8088669356527773,0.1,4.1395245,0.0042176247,4.1354656,-0.00921154,23.262631767674495,8.47,7.74,0.6242105263157894,1.68,1.68,-0.07007892965768514,0.016205066076567576,0.026735334643430697,0.0,0.009040640973159597,5.3,89.5,0.0039138993211356,0.16966557502746582,1.9154350757598877,0.0093868357280104
1990-04-30,2.6683266462620705,-0.8088669356527773,0.1,4.1437383,0.014660835,4.1395245,0.0042176247,20.06227259202437,8.59,7.9,0.5936363636363636,1.58,1.58,-0.074704797874237,-0.05866821050196247,0.019638417359561622,0.0,0.004969202991748745,5.2,91.3,0.0046765478839017,0.11263010650873184,1.6040080785751343,0.0126345388458535
1990-05-31,2.6480353855701897,-0.8088669356527773,0.0,4.1334424,-0.004463196,4.1437383,0.014660835,21.40349998474121,8.79,7.77,0.7947368421052632,1.5,1.5,-0.10152706335378836,-0.049064969135971026,0.02053910485050725,0.0,-0.002623250205882499,5.4,93.9,0.0023300981416234,0.1515151560306549,1.961506962776184,-0.0019988141019613
1990-06-30,2.5640014339353754,-0.8088669356527773,0.0,4.1446,-0.009224892,4.1334424,-0.004463196,18.09772725538774,8.76,7.74,0.7357142857142857,1.71,1.71,-0.015764769912704146,-0.013965166619807512,-0.003839159020087024,0.0,0.0030369033197290562,5.4,90.6,0.0015503879074545,0.16669312119483948,2.1114461421966553,-0.0086744459620184
1990-07-31,2.6589994665888073,-0.8088669356527773,0.0,4.148148,-0.01363039,4.1446,-0.009224892,16.822380837940035,8.48,7.73,0.6247619047619047,1.79,1.79,-0.07935684037189139,-0.04636389979662425,0.07418317562622079,0.0,0.0033858350269504456,5.2,88.3,0.0061776258239572,0.18256503343582153,1.9874694347381592,-0.014093798995673
1990-08-31,3.027663800899006,-0.8088669356527773,0.0,4.1479983,0.0017271042,4.148148,-0.01363039,18.39285727909633,8.47,7.62,0.5961904761904762,1.77,1.77,0.12810067499928257,0.02853899307167662,0.07155833467596473,0.0,-0.0017488731555337367,5.5,88.2,0.0046083030861945,0.19013012945652008,1.9984790086746216,-0.0375376641661162
1990-09-30,3.235699546820326,-0.8088669356527773,0.0,4.153455,-0.060423374,4.1479983,0.0017271042,28.175217255302098,8.75,7.45,0.6481818181818182,1.69,1.69,0.45890667796609064,0.08509475738329009,-0.10399169815488563,0.0,0.003486749997004601,5.7,76.4,0.0083937921284684,0.5787994265556335,6.412270545959473,-0.0087190335074067
1990-10-31,3.293167973677838,-0.8088669356527773,0.0,4.15546,0.04376316,4.153455,-0.060423374,29.10736836885151,8.89,7.36,0.8373684210526315,1.94,1.94,0.25044077050009594,-0.0138003593161109,-0.043624215506627984,0.0,7.625111401843299e-05,5.9,72.8,0.0068156265350598,0.3279777467250824,4.952878952026367,-0.0115370321044334
1990-11-30,3.184638932108805,-0.7326682560454053,0.1,4.1547875,0.005701065,4.15546,0.04376316,29.625652479088824,8.72,7.17,1.0031818181818182,2.13,2.13,0.03168858515543338,-0.022284900080649983,-0.009570096875177292,0.0,-0.005859653143676979,5.9,63.9,0.0067694880552471,0.2657599449157715,3.5994842052459717,-0.0275045052393494
1990-12-31,3.014080057391301,-0.65266656608235,0.0,4.149968,0.013576508,4.1547875,0.005701065,24.885714394705637,8.39,7.06,1.1099999999999999,2.27,2.27,-0.08560270675767123,0.002596824940885867,0.01246486963581006,0.10065566090293654,-0.01279714376480623,6.2,66.0,0.0022463506263736,0.49588775634765625,4.112239837646484,0.0043047463453058
1991-01-31,2.9193545811678483,-0.65266656608235,-0.1,4.1478963,0.0034809113,4.149968,0.013576508,23.363000106811523,8.08,6.74,1.1689473684210527,2.35,2.35,-0.15661908370341715,-0.012600999760818077,0.03378367058573062,0.0,-0.007366596588133767,6.3,65.5,0.003732740429684,0.2029273360967636,3.9765121936798096,0.0053081548252968
1991-02-28,2.7229241959568555,-0.65266656608235,0.0,4.149921,-0.0040602684,4.1478963,0.0034809113,27.429091106761586,8.09,6.22,1.118095238095238,2.3,2.3,-0.18210454447403723,0.017592060202039406,-0.002067794442767834,0.0,-0.003261191076563641,6.4,66.8,0.0037188588787371,0.2514294981956482,9.602984428405762,-0.0158348107870445
1991-03-31,2.690085646126911,-0.65266656608235,0.0,4.1428766,-0.0051369667,4.149921,-0.0040602684,21.598421096801758,7.85,5.94,0.7726315789473684,2.09,2.09,-0.18756150835469798,-0.05301788728390733,0.10418896271468192,0.0,-0.007415936065028106,6.6,70.4,0.0007421150618878,0.3037070035934448,8.503796577453613,0.0139473032950565
1991-04-30,2.735213086047495,-0.65266656608235,0.0,4.138894,0.0042204857,4.1428766,-0.0051369667,17.918499851226805,8.11,5.91,0.6645000000000001,1.96,1.96,-0.023487232677860348,-0.0013476905652440863,0.06971886487320589,0.0,-0.005771039266291744,6.8,87.7,0.0,0.24150633811950684,3.819074869155884,0.0616051635386947
1991-05-31,2.7513470068555343,-0.65266656608235,0.0,4.1461363,-0.0233531,4.138894,0.0042204857,17.37272735075517,8.04,5.65,0.5814285714285714,1.83,1.83,0.005096384764803563,-0.013745159038329291,0.008294521751157191,0.012980787272190542,0.0026351435941132095,6.7,81.8,0.0022230464879466,0.24903598427772522,2.4060089588165283,-0.0060137143888239
