pub_date,headline,lead_paragraph,abstract,section_name,desk,type_of_material,web_url
1990-01-03 05:00:00,U.S. Aid for Khmer Rouge Is Repugnant,,,Opinion,,Letter,https://www.nytimes.com/1990/01/03/opinion/l-us-aid-for-khmer-rouge-is-repugnant-569990.html
1990-01-05 05:00:00,NEWS SUMMARY,,,New York,,Summary,https://www.nytimes.com/1990/01/05/nyregion/news-summary-361790.html
1990-01-05 05:00:00,ON MY MIND;   Truths Of the Pariahs,,,Opinion,,Op-Ed,https://www.nytimes.com/1990/01/05/opinion/on-my-mind-truths-of-the-pariahs.html
1990-01-06 05:00:00,"Don't Encourage a China Hostile to Freedom;   Hasty, Furtive Move",,,Opinion,,Letter,https://www.nytimes.com/1990/01/06/opinion/l-don-t-encourage-a-china-hostile-to-freedom-hasty-furtive-move-777890.html
1990-01-07 05:00:00,On Language;   Trick or Treaty?,,,Magazine,,News,https://www.nytimes.com/1990/01/07/magazine/on-language-trick-or-treaty.html
1990-01-12 05:00:00,Bush Hails a Thaw in China; Congress Is Skeptical,,,World,,News,https://www.nytimes.com/1990/01/12/world/bush-hails-a-thaw-in-china-congress-is-skeptical.html
1990-01-14 05:00:00,"IN SHORT;

NONFICTION",,"LEAD: 

DAUGHTER OF SHANGHAI. By Tsai Chin. (St. Martin's, $17.95.) Suzie Wong - the China-doll tart with a heart - was the rage of the London stage from 1959 to 1961, played by the Chinese actress Tsai Chin. The daughter of Zhou Xinfang, modern China's greatest classical actor, Tsai Chin gives us a captivating account of her unconventional childhood, erratic acting career and chilling return to China in ''Daughter of Shanghai.",Books,,Review,https://www.nytimes.com/1990/01/14/books/in-short-nonfiction.html
1990-01-14 05:00:00,ON MY MIND;   Chronology Of Betrayal,,,Opinion,,Op-Ed; Chronology,https://www.nytimes.com/1990/01/14/opinion/on-my-mind-chronology-of-betrayal.html
1990-01-15 05:00:00,INTERNATIONAL REPORT;   Hong Kong Extending Its Reach,,,Business,,News,https://www.nytimes.com/1990/01/15/business/international-report-hong-kong-extending-its-reach.html
1990-01-17 05:00:00,GREATER U.N. ROLE IS URGED TO SETTLE CAMBODIA CONFLICT,,,World,,News,https://www.nytimes.com/1990/01/17/world/greater-un-role-is-urged-to-settle-cambodia-conflict.html
1990-01-20 05:00:00,News Summary,,,New York,,Summary,https://www.nytimes.com/1990/01/20/nyregion/news-summary-320490.html
1990-01-20 05:00:00,Western Dance For Beijing,,,Arts,,Review,https://www.nytimes.com/1990/01/20/arts/western-dance-for-beijing.html
1990-01-21 05:00:00,China Imposes Tighter Curbs on Foreign Reporters,,,World,,News,https://www.nytimes.com/1990/01/21/world/china-imposes-tighter-curbs-on-foreign-reporters.html
1990-01-24 05:00:00,Elitist Visions Won't Feed China's Masses,,,Opinion,,Letter,https://www.nytimes.com/1990/01/24/opinion/l-elitist-visions-won-t-feed-china-s-masses-073890.html
1990-01-24 05:00:00,News Summart,,,New York,,Summary,https://www.nytimes.com/1990/01/24/nyregion/news-summart.html
1990-01-24 05:00:00,WHITE HOUSE ASKS AN IRATE CONGRESS FOR CHINA SUPPORT,,,World,,News,https://www.nytimes.com/1990/01/24/world/white-house-asks-an-irate-congress-for-china-support.html
1990-01-25 05:00:00,President's News Conference on Foreign and Domestic Issues,,,U.S.,,Text,https://www.nytimes.com/1990/01/25/us/president-s-news-conference-on-foreign-and-domestic-issues.html
1990-01-26 05:00:00,"SENATE, BY 4 VOTES, FAILS TO OVERRIDE BUSH'S CHINA VETO;   LOBBYING EFFECTIVE",,,World,,News,https://www.nytimes.com/1990/01/26/world/senate-by-4-votes-fails-to-override-bush-s-china-veto-lobbying-effective.html
1990-01-26 05:00:00,"SENATE, BY 4 VOTES, FAILS TO OVERRIDE BUSH'S CHINA VETO;   Getting Mad, Getting Even",,,World,,An Analysis; News Analysis,https://www.nytimes.com/1990/01/26/world/senate-by-4-votes-fails-to-override-bush-s-china-veto-getting-mad-getting-even.html
1990-01-26 05:00:00,U.S. Blocking Chinese From American Study,,,World,,Summary,https://www.nytimes.com/1990/01/26/world/us-blocking-chinese-from-american-study.html
1990-01-26 05:00:00,Excerpts From President's News Conference on China and Other Matters,,,World,,Text,https://www.nytimes.com/1990/01/26/world/excerpts-from-president-s-news-conference-on-china-and-other-matters.html
1990-01-26 05:00:00,Students Find U.S. Embassy a Barrier,,,World,,News,https://www.nytimes.com/1990/01/26/world/students-find-us-embassy-a-barrier.html
1990-01-27 05:00:00,Chinese in U.S. Lament Bush Victory,,,U.S.,,News,https://www.nytimes.com/1990/01/27/us/chinese-in-us-lament-bush-victory.html
1990-01-28 05:00:00,"THE WORLD;   On China, Congress Is Almost Assertive",,,Week in Review,,News,https://www.nytimes.com/1990/01/28/weekinreview/the-world-on-china-congress-is-almost-assertive.html
1990-02-01 05:00:00,STATE OF THE UNION;   Bush's Plans for Troop Cuts Are Praised on Capitol Hill,,,U.S.,,News,https://www.nytimes.com/1990/02/01/us/state-of-the-union-bush-s-plans-for-troop-cuts-are-praised-on-capitol-hill.html
1990-02-03 05:00:00,Upheaval in the East;   China Bitterly Protests Sanctions by Congress,,,World,,News,https://www.nytimes.com/1990/02/03/world/upheaval-in-the-east-china-bitterly-protests-sanctions-by-congress.html
1990-02-05 05:00:00,INTERNATIONAL REPORT;   Headaches in China for Investors,,,Business,,News,https://www.nytimes.com/1990/02/05/business/international-report-headaches-in-china-for-investors.html
1990-02-08 05:00:00,U.S. Official Urges 'Real World' View of China,,,World,,News,https://www.nytimes.com/1990/02/08/world/us-official-urges-real-world-view-of-china.html
1990-02-09 05:00:00,China Wins Two Loans Backed by U.S.,,,World,,News,https://www.nytimes.com/1990/02/09/world/china-wins-two-loans-backed-by-us.html
1990-02-11 05:00:00,UPHEAVAL IN THE EAST;   American Visas for Scientists From the East Are Said to Be Lagging,,,World,,News,https://www.nytimes.com/1990/02/11/world/upheaval-east-american-visas-for-scientists-east-are-said-be-lagging.html
1990-02-12 05:00:00,Excerpts from President's News Conference on World Issues,,,World,,Text,https://www.nytimes.com/1990/02/12/world/excerpts-from-president-s-news-conference-on-world-issues.html
1990-02-13 05:00:00,PRESIDENT REBUFFS GORBACHEV'S PLAN ON SIZE OF FORCES,,,World,,News,https://www.nytimes.com/1990/02/13/world/president-rebuffs-gorbachev-s-plan-on-size-of-forces.html
1990-02-16 05:00:00,Washington at Work;   The Fine Art of Directing (and Genteelly Fighting for) the National Gallery,,,U.S.,,News,https://www.nytimes.com/1990/02/16/us/washington-work-fine-art-directing-genteelly-fighting-for-national-gallery.html
1990-02-16 05:00:00,"Keyes Beech, 76, Correspondent In Asia for Five Decades, Is Dead",,,New York,,News,https://www.nytimes.com/1990/02/16/nyregion/keyes-beech-76-correspondent-in-asia-for-five-decades-is-dead.html
1990-02-17 05:00:00,Upheaval in the East;   17 Nations Plan to Relax Rules on Exports to East,,,World,,News,https://www.nytimes.com/1990/02/17/world/upheaval-in-the-east-17-nations-plan-to-relax-rules-on-exports-to-east.html
1990-02-19 05:00:00,Chinese Students Remain a Human Rights Issue,,,Opinion,,Letter,https://www.nytimes.com/1990/02/19/opinion/l-chinese-students-remain-a-human-rights-issue-119890.html
1990-02-20 05:00:00,China Ends Silence on Deal U.S. Rescinded,,,Business,,News,https://www.nytimes.com/1990/02/20/business/china-ends-silence-on-deal-us-rescinded.html
1990-02-22 05:00:00,Turkish Killings Echo Across 75 Years to Create a Din in the Senate,,,World,,News,https://www.nytimes.com/1990/02/22/world/turkish-killings-echo-across-75-years-to-create-a-din-in-the-senate.html
1990-02-23 05:00:00,"Upheaval in the East: Czechoslovakia;   Havel Takes Manhattan, An Isle of Luncheons",,,World,,News,https://www.nytimes.com/1990/02/23/world/upheaval-in-the-east-czechoslovakia-havel-takes-manhattan-an-isle-of-luncheons.html
1990-02-23 05:00:00,ABROAD AT HOME;   The Power of Truth,,,Opinion,,Op-Ed,https://www.nytimes.com/1990/02/23/opinion/abroad-at-home-the-power-of-truth.html
1990-02-25 05:00:00,China Acts to Restrict Study Abroad,,,World,,News,https://www.nytimes.com/1990/02/25/world/china-acts-to-restrict-study-abroad.html
1990-02-25 05:00:00,U.S. Designers Find Bright Horizon in Japan,,,U.S.,,News,https://www.nytimes.com/1990/02/25/us/us-designers-find-bright-horizon-in-japan.html
1990-02-27 05:00:00,Iphigene Ochs Sulzberger Is Dead; Central Figure in Times's History,,"Iphigene Ochs Sulzberger, who shaped the history of The New York Times throughout a long and active life, died of respiratory failure in her sleep yesterday morning at her home in Stamford, Conn. She was 97 years old.",Archives,,Obituary,https://www.nytimes.com/1990/02/27/iphigene-ochs-sulzberger-is-dead-central-figure-in-timess-history.html
1990-02-27 05:00:00,Iphigene Ochs Sulzberger Is Dead; Central Figure in Times's History,,,Obituaries,,Obituary,https://www.nytimes.com/1990/02/27/obituaries/iphigene-ochs-sulzberger-is-dead-central-figure-in-times-s-history.html
1990-03-04 05:00:00,Storm Signals Flying on U.S.-China Relations,,,World,,News,https://www.nytimes.com/1990/03/04/world/storm-signals-flying-on-us-china-relations.html
1990-03-06 05:00:00,Few Willing to Help Britain Help Hong Kong Emigrants,,,World,,News,https://www.nytimes.com/1990/03/06/world/few-willing-to-help-britain-help-hong-kong-emigrants.html
1990-03-06 05:00:00,U.S. and China Resume Fulbright Program,,,World,,News,https://www.nytimes.com/1990/03/06/world/us-and-china-resume-fulbright-program.html
1990-03-09 05:00:00,ABROAD AT HOME;   Trahison Des Clercs,,,Opinion,,Op-Ed,https://www.nytimes.com/1990/03/09/opinion/abroad-at-home-trahison-des-clercs.html
1990-03-11 05:00:00,BUSH DISTRESSED AS POLICY FAILS TO MOVE CHINA,,,World,,News,https://www.nytimes.com/1990/03/11/world/bush-distressed-as-policy-fails-to-move-china.html
1990-03-11 05:00:00,A Glimpse Behind The Bamboo Curtain,,,Travel,,News,https://www.nytimes.com/1990/03/11/travel/a-glimpse-behind-the-bamboo-curtain.html
1990-03-14 05:00:00,Excerpts From President's News Session on Foreign and Domestic Issues,,,U.S.,,Text,https://www.nytimes.com/1990/03/14/us/excerpts-from-president-s-news-session-on-foreign-and-domestic-issues.html
1990-03-18 05:00:00,China,,,Travel,,Letter,https://www.nytimes.com/1990/03/18/travel/l-china-523290.html
1990-03-23 05:00:00,LAW;   China Takes Court to Task,,,U.S.,,News,https://www.nytimes.com/1990/03/23/us/law-china-takes-court-to-task.html
1990-03-26 05:00:00,Books of The Times;   Portrait of China Today By an Expatriate Writer,,,Books,,Review,https://www.nytimes.com/1990/03/26/books/books-of-the-times-portrait-of-china-today-by-an-expatriate-writer.html
1990-03-29 05:00:00,BEIJING RESOLUTE ON MOVES BY BUSH,,,World,,News,https://www.nytimes.com/1990/03/29/world/beijing-resolute-on-moves-by-bush.html
1990-04-04 05:00:00,China Ties New Demand to Dissident's Fate,,,World,,News,https://www.nytimes.com/1990/04/04/world/china-ties-new-demand-to-dissident-s-fate.html
1990-04-04 05:00:00,News Summary,,,New York,,Summary,https://www.nytimes.com/1990/04/04/nyregion/news-summary-079990.html
1990-04-07 05:00:00,Bush to Formalize Shield for Chinese in U.S.,,,World,,News,https://www.nytimes.com/1990/04/07/world/bush-to-formalize-shield-for-chinese-in-us.html
1990-04-08 05:00:00,ON MY MIND;   Nobody Is Perfect,,,Opinion,,Op-Ed,https://www.nytimes.com/1990/04/08/opinion/on-my-mind-nobody-is-perfect.html
1990-04-08 05:00:00,"Aided by U.S. Waiver, China Launches First Foreign Satellite",,,World,,News,https://www.nytimes.com/1990/04/08/world/aided-by-us-waiver-china-launches-first-foreign-satellite.html
1990-04-08 05:00:00,WHAT REALLY MAKES NEW YORK WORK: THE ETHNIC PRESS;   READ ALL ABOUT IT ... IN ANY LANGUAGE,,,Magazine,,News,https://www.nytimes.com/1990/04/08/magazine/what-really-makes-new-york-work-ethnic-press-read-all-about-it-any-language.html
1990-04-13 05:00:00,Dancer's Death Inspires Creation of Crisis Fund,,,Arts,,News,https://www.nytimes.com/1990/04/13/arts/dancer-s-death-inspires-creation-of-crisis-fund.html
1990-04-13 05:00:00,Winners of the 1990 Pulitzer Prizes in Journalism and the Arts,,,New York,,News,https://www.nytimes.com/1990/04/13/nyregion/winners-of-the-1990-pulitzer-prizes-in-journalism-and-the-arts.html
1990-04-15 05:00:00,THE NATION;   So Much for Assumptions About Immigrants and Jobs,,,Week in Review,,News,https://www.nytimes.com/1990/04/15/weekinreview/the-nation-so-much-for-assumptions-about-immigrants-and-jobs.html
1990-04-15 05:00:00,NEWS SUMMARY,,,New York,,Summary,https://www.nytimes.com/1990/04/15/nyregion/news-summary-949890.html
1990-04-15 05:00:00,An Insightful View Of U.S. Education,,,New York,,Letter,https://www.nytimes.com/1990/04/15/nyregion/l-an-insightful-view-of-us-education-886290.html
1990-04-16 05:00:00,U.S. Bars Chinese Role At Talks on Air Pollution,,,World,,News,https://www.nytimes.com/1990/04/16/world/us-bars-chinese-role-at-talks-on-air-pollution.html
1990-04-16 05:00:00,NEWS SUMMARY,,,New York,,Summary,https://www.nytimes.com/1990/04/16/nyregion/news-summary-154090.html
1990-04-20 05:00:00,NEWS SUMMARY,,,New York,,Summary,https://www.nytimes.com/1990/04/20/nyregion/news-summary-198390.html
1990-04-29 05:00:00,SHAPING HIS OWN PAST,,,Books,,Review,https://www.nytimes.com/1990/04/29/books/shaping-his-own-past.html
1990-04-29 05:00:00,"Sorry to Get Personal, but. . .",,,Opinion,,Op-Ed,https://www.nytimes.com/1990/04/29/opinion/sorry-to-get-personal-but.html
1990-05-02 05:00:00,Deadline Eased on Order Voiding Sale of a U.S. Company to China,,,World,,News,https://www.nytimes.com/1990/05/02/world/deadline-eased-on-order-voiding-sale-of-a-us-company-to-china.html
1990-05-04 05:00:00,ABROAD AT HOME;   The Killing Fields,,,Opinion,,Op-Ed,https://www.nytimes.com/1990/05/04/opinion/abroad-at-home-the-killing-fields.html
1990-05-06 05:00:00,THE FABULOUS BUSH & BAKER BOYS,,,Magazine,,News,https://www.nytimes.com/1990/05/06/magazine/the-fabulous-bush-baker-boys.html
1990-05-06 05:00:00,PRACTICAL TRAVELER;   The Case of the Telltale Passport,,,Travel,,News,https://www.nytimes.com/1990/05/06/travel/practical-traveler-the-case-of-the-telltale-passport.html
1990-05-07 05:00:00,Ignored: A Path to Peace in Cambodia,,,Opinion,,Editorial,https://www.nytimes.com/1990/05/07/opinion/ignored-a-path-to-peace-in-cambodia.html
1990-05-08 05:00:00,Huge Study Of Diet Indicts Fat And Meat,,,Science,,News,https://www.nytimes.com/1990/05/08/science/huge-study-of-diet-indicts-fat-and-meat.html
1990-05-09 05:00:00,U.S. WILL OPPOSE AID IN OZONE PLAN,,,U.S.,,News,https://www.nytimes.com/1990/05/09/us/us-will-oppose-aid-in-ozone-plan.html
1990-05-11 05:00:00,Beijing Aims Jail Releases at Influencing U.S.,,,World,,News,https://www.nytimes.com/1990/05/11/world/beijing-aims-jail-releases-at-influencing-us.html
1990-05-11 05:00:00,CHINA ANNOUNCES RELEASE FROM JAIL OF 211 DISSIDENTS;   U.S. Welcomes Move,,,World,,News,https://www.nytimes.com/1990/05/11/world/china-announces-release-from-jail-of-211-dissidents-us-welcomes-move.html
1990-05-12 05:00:00,News Summary,,,New York,,Summary,https://www.nytimes.com/1990/05/12/nyregion/news-summary-061590.html
1990-05-13 05:00:00,China Waits Anxiously for Ruling On Its Trade Status With the U.S.,,,World,,News,https://www.nytimes.com/1990/05/13/world/china-waits-anxiously-for-ruling-on-its-trade-status-with-the-us.html
1990-05-13 05:00:00,FILM;   China's Shadow Falls Across Hong Kong's Films,,,Movies,,News,https://www.nytimes.com/1990/05/13/movies/film-china-s-shadow-falls-across-hong-kong-s-films.html
1990-05-16 05:00:00,Foreign Passports Tell of a Desperate Hong Kong,,,World,,News,https://www.nytimes.com/1990/05/16/world/foreign-passports-tell-of-a-desperate-hong-kong.html
1990-05-18 05:00:00,TV Weekend;   China's Leader Calls Massacre 'Nothing',,,Arts,,Review,https://www.nytimes.com/1990/05/18/arts/tv-weekend-china-s-leader-calls-massacre-nothing.html
1990-05-18 05:00:00,Beijing Journal;   Marxism Died and Left a Big Hole in Their Lives,,,World,,News,https://www.nytimes.com/1990/05/18/world/beijing-journal-marxism-died-and-left-a-big-hole-in-their-lives.html
1990-05-19 05:00:00,Chinese Aide May Seek U.S. Refuge,,,World,,News,https://www.nytimes.com/1990/05/19/world/chinese-aide-may-seek-us-refuge.html
1990-05-20 05:00:00,ON MY MIND;   Who Needs Friends?,,,Opinion,,Op-Ed,https://www.nytimes.com/1990/05/20/opinion/on-my-mind-who-needs-friends.html
1990-05-21 05:00:00,Mystery Deepens Over Chinese Aide's Visit to U.S.,,,World,,News,https://www.nytimes.com/1990/05/21/world/mystery-deepens-over-chinese-aide-s-visit-to-us.html
1990-05-23 05:00:00,The Pitfalls of U.S. Strictures on China Trade,,,Opinion,,Letter,https://www.nytimes.com/1990/05/23/opinion/l-the-pitfalls-of-us-strictures-on-china-trade-855590.html
1990-05-25 05:00:00,Excerpts From Bush's News Session on China's Trade Status With U.S.,,,World,,Text,https://www.nytimes.com/1990/05/25/world/excerpts-from-bush-s-news-session-on-china-s-trade-status-with-us.html
1990-05-25 05:00:00,ABROAD AT HOME;   People or Monsters?,,,Opinion,,Op-Ed,https://www.nytimes.com/1990/05/25/opinion/abroad-at-home-people-or-monsters.html
1990-05-25 05:00:00,BUSH WITHHOLDING NORMAL TRADE TIES FROM THE SOVIETS,,,World,,News,https://www.nytimes.com/1990/05/25/world/bush-withholding-normal-trade-ties-from-the-soviets.html
1990-05-26 05:00:00,Chinese Thanks Bush on Trade,,,World,,News,https://www.nytimes.com/1990/05/26/world/chinese-thanks-bush-on-trade.html
1990-05-27 05:00:00,"BEST SELLERS: May 27, 1990",,,Books,,List,https://www.nytimes.com/1990/05/27/books/best-sellers-may-27-1990.html
1990-05-27 05:00:00,Where Genghis Khan Is In,,,Magazine,,News,https://www.nytimes.com/1990/05/27/magazine/where-genghis-khan-is-in.html
1990-05-27 05:00:00,FILM;   Man and Boy Confront the Images of War,,,Movies,,News,https://www.nytimes.com/1990/05/27/movies/film-man-and-boy-confront-the-images-of-war.html
1990-05-29 05:00:00,U.S. Group Accuses China of Violating Rights of Tibetans,,,World,,News,https://www.nytimes.com/1990/05/29/world/us-group-accuses-china-of-violating-rights-of-tibetans.html
1990-05-29 05:00:00,ABROAD AT HOME;   Vision at the Summit,,,Opinion,,Op-Ed,https://www.nytimes.com/1990/05/29/opinion/abroad-at-home-vision-at-the-summit.html
1990-06-03 05:00:00,"BEST SELLERS: June 3, 1990",,,Books,,List,https://www.nytimes.com/1990/06/03/books/best-sellers-june-3-1990.html
1990-06-06 05:00:00,EDUCATION;   Problem-Solving Event Brings Nations Together,,,U.S.,,News,https://www.nytimes.com/1990/06/06/us/education-problem-solving-event-brings-nations-together.html
1990-06-07 05:00:00,CHINA WEIGHS SALE OF GAS CHEMICALS,,,World,,News,https://www.nytimes.com/1990/06/07/world/china-weighs-sale-of-gas-chemicals.html
1990-06-10 05:00:00,ON MY MIND;   Victors In the Cold War,,,Opinion,,Op-Ed,https://www.nytimes.com/1990/06/10/opinion/on-my-mind-victors-in-the-cold-war.html
1990-06-10 05:00:00,BOOKS FOR VACATION READING,,,Books,,Review; List,https://www.nytimes.com/1990/06/10/books/books-for-vacation-reading.html
1990-06-13 05:00:00,"The Editorial Notebook;   It's a Wired, Wired World",,,Opinion,,Editorial,https://www.nytimes.com/1990/06/13/opinion/the-editorial-notebook-it-s-a-wired-wired-world.html
1990-06-17 05:00:00,BUSINESS DIARY,,,Business,,News,https://www.nytimes.com/1990/06/17/business/business-diary.html
1990-06-17 05:00:00,Aftershock in San Francisco,,,Magazine,,News,https://www.nytimes.com/1990/06/17/magazine/aftershock-in-san-francisco.html
1990-06-18 05:00:00,Ethnic Feuding Divides Parade For Harmony,,,New York,,News,https://www.nytimes.com/1990/06/18/nyregion/ethnic-feuding-divides-parade-for-harmony.html
1990-06-20 05:00:00,New Strategy Suggested in Battle on China Trade Status,,,Business,,News,https://www.nytimes.com/1990/06/20/business/new-strategy-suggested-in-battle-on-china-trade-status.html
1990-06-24 05:00:00,Giap Remembers,,,Magazine,,News,https://www.nytimes.com/1990/06/24/magazine/giap-remembers.html
1990-06-25 05:00:00,"The Korean War, 40 Years Later;

But at What Cost?",,"LEAD: Forty years ago today, the army of Communist North Korea invaded the Republic of Korea, whose independence had been guaranteed by the United States and the United Nations. In the predawn flash of North Korean artillery along the 38th Parallel dividing the two regimes, no one in the world grasped the consequences of this aggression - in particular, how it was laying the foundation of future U.S.",Opinion,,Op-Ed,https://www.nytimes.com/1990/06/25/opinion/the-korean-war-40-years-later-but-at-what-cost.html
1990-06-25 05:00:00,Help the Koreas In From the Cold,,,Opinion,,Editorial,https://www.nytimes.com/1990/06/25/opinion/help-the-koreas-in-from-the-cold.html
