Specification,h=6,h=12,h=18,h=24,h=36
Baseline LP-IV (macro only),-0.1583*,-0.0201,+0.0280,+0.1253*,+0.1519*
LP-IV + Composite GPR,-0.1480*,-0.0001,+0.0255,+0.1158*,+0.1549*
LP-IV + NLP core,-0.1781*,-0.0293,-0.0151,+0.0848,+0.1037*
LP-IV + NLP full,-0.1788*,-0.0310,-0.0153,+0.0848,+0.1043*
Ridge DML (macro only),-0.2679*,-0.1265,-0.0760,+0.0456,+0.0653
Ridge DML (+NLP core),-0.1389,-0.1018,+0.0219,+0.1089,-0.0361
XGB DML depth=3 [PREFERRED],-0.2239*,-0.0688,+0.2348,+0.4058*,+0.2720*
XGB DML depth=5 [sensitivity],-0.2816*,-0.2609*,+0.1272,+0.3505*,+0.1660*
GPR: Low stress (β_main),-0.2335*,+0.3311*,+0.2453*,+0.1950,+0.0337
GPR: High stress (β_main),+0.3348,+1.3816,-0.9698,+0.0113,-0.3089
ICEWS alt instrument,-0.4334*,-0.5246*,+0.0674,+0.2933*,+0.4783*
