h,instrument,coef,se
0,Δ²PRI (Saadaoui benchmark),-0.021687161993812154,0.027227363819339073
1,Δ²PRI (Saadaoui benchmark),-0.05365122204281647,0.04166673355438007
2,Δ²PRI (Saadaoui benchmark),-0.08744212214503477,0.045835112343673226
3,Δ²PRI (Saadaoui benchmark),-0.09905801419081683,0.0497607738753197
4,Δ²PRI (Saadaoui benchmark),-0.1080868651043847,0.051653310189308015
5,Δ²PRI (Saadaoui benchmark),-0.12175341732511136,0.06799485636366201
6,Δ²PRI (Saadaoui benchmark),-0.15834210515102143,0.06841543937326507
7,Δ²PRI (Saadaoui benchmark),-0.12291519914856508,0.06804961055999953
8,Δ²PRI (Saadaoui benchmark),-0.061052166390666684,0.08091290870704543
9,Δ²PRI (Saadaoui benchmark),-0.04596788333145696,0.0805693444351799
10,Δ²PRI (Saadaoui benchmark),-0.04392086054195943,0.08437894076993248
11,Δ²PRI (Saadaoui benchmark),0.010841659780467694,0.0789688438168245
12,Δ²PRI (Saadaoui benchmark),-0.020067223557269642,0.07807968945977141
13,Δ²PRI (Saadaoui benchmark),-0.02964648422596028,0.08044731989697773
14,Δ²PRI (Saadaoui benchmark),-0.06894481505252514,0.09344943554972657
15,Δ²PRI (Saadaoui benchmark),-0.03515108994421112,0.0897682091289925
16,Δ²PRI (Saadaoui benchmark),-0.06797261232608776,0.0948909659028621
17,Δ²PRI (Saadaoui benchmark),-0.05555032154694217,0.08763075916578218
18,Δ²PRI (Saadaoui benchmark),0.027956665252489188,0.07958406644993092
19,Δ²PRI (Saadaoui benchmark),0.0889149468328867,0.07864177384002327
20,Δ²PRI (Saadaoui benchmark),0.09250222103499084,0.08663252661713366
21,Δ²PRI (Saadaoui benchmark),0.08987925531823393,0.0900849947499085
22,Δ²PRI (Saadaoui benchmark),0.06629413035266651,0.08815077109848542
23,Δ²PRI (Saadaoui benchmark),0.06565450745754475,0.08717716149696537
24,Δ²PRI (Saadaoui benchmark),0.12527325257770627,0.07860748376112854
25,Δ²PRI (Saadaoui benchmark),0.18096860947250093,0.09508146999233515
26,Δ²PRI (Saadaoui benchmark),0.15177274056033951,0.07444803738795826
27,Δ²PRI (Saadaoui benchmark),0.19581925640180486,0.07568062600625083
28,Δ²PRI (Saadaoui benchmark),0.19855311747063809,0.06135961486177044
29,Δ²PRI (Saadaoui benchmark),0.19914443756633915,0.0557550962343914
30,Δ²PRI (Saadaoui benchmark),0.1689877604461998,0.06282943259737178
31,Δ²PRI (Saadaoui benchmark),0.16298357496514626,0.07811620398172595
32,Δ²PRI (Saadaoui benchmark),0.22328540825310483,0.06394740192767032
33,Δ²PRI (Saadaoui benchmark),0.25379544984311053,0.06494085124253476
34,Δ²PRI (Saadaoui benchmark),0.2698704964537555,0.07558963341756365
35,Δ²PRI (Saadaoui benchmark),0.2427804224187824,0.0746010526954143
36,Δ²PRI (Saadaoui benchmark),0.15194376721218106,0.06802255248936076
37,Δ²PRI (Saadaoui benchmark),0.1652806053671867,0.06865486679795686
38,Δ²PRI (Saadaoui benchmark),0.13295489298052843,0.0723921113213907
39,Δ²PRI (Saadaoui benchmark),0.1358338280674687,0.09372882414193281
40,Δ²PRI (Saadaoui benchmark),0.09103503697570403,0.09596403901128106
41,Δ²PRI (Saadaoui benchmark),0.035381153787099606,0.0907785780426761
42,Δ²PRI (Saadaoui benchmark),0.06705412446616066,0.08939855284740139
43,Δ²PRI (Saadaoui benchmark),0.06876702000220547,0.08378330606991691
44,Δ²PRI (Saadaoui benchmark),0.08423856446332678,0.08044371680851839
45,Δ²PRI (Saadaoui benchmark),0.057686843825663914,0.08235927150470075
46,Δ²PRI (Saadaoui benchmark),0.04671684420733868,0.07388162357428542
47,Δ²PRI (Saadaoui benchmark),0.055488969883683126,0.07456185156999195
48,Δ²PRI (Saadaoui benchmark),0.005655487680705562,0.08861391310416704
0,Δ²CGI (constructed),0.24617334715048855,0.31690128238358595
1,Δ²CGI (constructed),0.2549444197049979,0.3496920859018901
2,Δ²CGI (constructed),0.08484198261589881,0.408799626870179
3,Δ²CGI (constructed),0.2098977973073488,0.3731871376857516
4,Δ²CGI (constructed),0.1564307375779208,0.36726763325615125
5,Δ²CGI (constructed),0.15375990037409792,0.3862513945207972
6,Δ²CGI (constructed),0.23792568115504764,0.4397493693449607
7,Δ²CGI (constructed),-0.21226260535922847,0.3318731595086042
8,Δ²CGI (constructed),0.41618846049368585,0.5364580066293647
9,Δ²CGI (constructed),0.6019015646529624,0.6197104940186668
10,Δ²CGI (constructed),-0.02598694355265252,0.3499365085623913
11,Δ²CGI (constructed),0.2622587175137596,0.4007752902316544
12,Δ²CGI (constructed),0.2783392040319086,0.4247220461894005
13,Δ²CGI (constructed),0.07474119964854253,0.3442306233937861
14,Δ²CGI (constructed),0.12597353606497563,0.3001244816653811
15,Δ²CGI (constructed),0.16280570684421036,0.4082011006363614
16,Δ²CGI (constructed),0.0878173791734298,0.3733115776365245
17,Δ²CGI (constructed),0.03399343892124307,0.37837207582034393
18,Δ²CGI (constructed),0.01387228403473273,0.4007089101437726
19,Δ²CGI (constructed),-0.008880683210918505,0.353883059878319
20,Δ²CGI (constructed),0.03963642218786845,0.35996241513490257
21,Δ²CGI (constructed),0.16684418178920168,0.4275749677723415
22,Δ²CGI (constructed),0.28122112087658024,0.46674950565827644
23,Δ²CGI (constructed),0.0934420734338346,0.3663473143439917
24,Δ²CGI (constructed),0.1801499221501217,0.35492801820612785
25,Δ²CGI (constructed),0.2591220279919071,0.41556066423086724
26,Δ²CGI (constructed),0.13156108326802496,0.32269926064383425
27,Δ²CGI (constructed),0.2862384204818227,0.41205204033304205
28,Δ²CGI (constructed),0.32461944545593724,0.4903604159957681
29,Δ²CGI (constructed),0.21581009033798182,0.3718693913699275
30,Δ²CGI (constructed),0.2142589899858649,0.4160442377390079
31,Δ²CGI (constructed),0.5653836959845648,0.6197781928568104
32,Δ²CGI (constructed),0.34869429843001853,0.4200092302906514
33,Δ²CGI (constructed),0.4962745052207538,0.4543667633733556
34,Δ²CGI (constructed),0.7472833173214894,0.646053288915974
35,Δ²CGI (constructed),0.37622766562071774,0.46345170280430675
36,Δ²CGI (constructed),0.43663596514670644,0.46374110505930843
37,Δ²CGI (constructed),0.15465118086376606,0.3119687825552159
38,Δ²CGI (constructed),0.11498117834526056,0.41118140336517084
39,Δ²CGI (constructed),0.33826879154639755,0.47018554392065864
40,Δ²CGI (constructed),0.012882469405667507,0.3730782565631464
41,Δ²CGI (constructed),0.11646023558932939,0.34396241290193286
42,Δ²CGI (constructed),0.3431005202510278,0.5158765429577689
43,Δ²CGI (constructed),0.11580176055394986,0.4240971782746114
44,Δ²CGI (constructed),-0.00902776406837802,0.34510171350412977
45,Δ²CGI (constructed),-0.04682785965724179,0.36595712630670224
46,Δ²CGI (constructed),-0.035310810236296675,0.3648632271326243
47,Δ²CGI (constructed),-0.04847333103407436,0.36457540585600834
48,Δ²CGI (constructed),0.04290161278004234,0.3789384704579061
