h,coef,se,n
0,-0.0791078925156512,0.07081833470639393,190
1,-0.17803624030548804,0.14744829489667982,189
2,-0.19599356385845113,0.14286954862632614,188
3,-0.2197414841444072,0.14607383854770958,187
4,-0.30727793505309364,0.1523661781316145,186
5,-0.3854548396272435,0.139106423308074,185
6,-0.23348758620178955,0.1303290950260428,184
7,-0.24191759409282554,0.1440803111889387,183
8,-0.16260992509791095,0.15927768836757472,182
9,-0.031200249593041463,0.1588167924005655,181
10,0.0344692142039662,0.15822845866366603,180
11,0.14810829562753725,0.1285158001615109,179
12,0.3310835287324494,0.135640437392938,178
13,0.29854190749819054,0.13597606133971493,177
14,0.28157466060048364,0.1185855473507923,176
15,0.20819494070772748,0.1270819073022046,175
16,0.21591142851508494,0.11229577253890662,174
17,0.1775448282514276,0.11780727011483615,173
18,0.24529578483674186,0.14174304700436066,172
19,0.24649586181311633,0.16414328051289875,171
20,0.1843733061648436,0.15483505626114505,170
21,0.18154035993191542,0.17654290602608244,169
22,0.17441375625557498,0.15572737876999984,168
23,0.10033887200967229,0.1600570811681422,167
24,0.1950292123123063,0.19879390096478902,166
25,0.00548327648627378,0.09917442268752284,165
26,0.08468747626031359,0.12500822612971663,164
27,0.04940121520999696,0.12533579163885802,163
28,0.21569140130219466,0.17042652405930223,162
29,0.3490735569859851,0.2600783225057394,161
30,0.277301736887722,0.22357378716132742,160
31,0.24390939884844443,0.2592385171666139,159
32,0.16008657531685344,0.20529296207379646,158
33,0.3015072914648158,0.2653066118819204,157
34,0.21139730410428115,0.21253910574193363,156
35,0.10891532935156079,0.20041986176975665,155
36,0.033716190328817675,0.1990280698427444,154
37,0.09440046728164475,0.21531428772655434,153
38,0.1569827252431253,0.24865916293653456,152
39,0.0350939343253458,0.193560885034604,151
40,-0.04826342167568498,0.17287166001186918,150
41,-0.0933111452536508,0.1481943705070667,149
42,0.1787552272062527,0.18146662305396488,148
43,0.06726619011809021,0.1572089567453417,147
44,0.07426114503338965,0.15904129969191869,146
45,0.07595075106399918,0.1372814817939855,145
46,0.05669365096476042,0.15070583758441355,144
47,0.012806772811032374,0.16964421829432952,143
48,-0.14340273611637144,0.12867876186664606,142
