h,coef,se,n
0,-1.6653345369377348e-16,5.432755286977342e-16,382
1,-0.030468464747590795,0.02893035012616367,381
2,-0.04269708985757434,0.023288207835931652,380
3,-0.059991094645192616,0.028306646058420114,379
4,-0.03742920615401343,0.025589648462086702,378
5,-0.024390160718117792,0.023272621563206128,377
6,-0.017510279328997458,0.02795534463945826,376
7,-0.04151710743631373,0.02901654563728702,375
8,0.03769992486313245,0.029193849480581558,374
9,0.06586749897770168,0.03191966835436956,373
10,-0.0032486922698773436,0.031421628767083556,372
11,-0.019580921306315637,0.025489685469299344,371
12,0.0410382889296535,0.026821864993296116,370
13,-0.036004621036479764,0.028435074444856996,369
14,0.002276787000176257,0.027493166614002657,368
15,-0.057050143757469314,0.02622085480383441,367
16,0.02603939544535805,0.026160344885650076,366
17,-0.04645687866934203,0.023515511999884622,365
18,0.019311234216333795,0.03131263580013081,364
19,0.07829884370829238,0.035565127922541406,363
20,0.06828231008968082,0.03482886074816896,362
21,0.0016843435341588608,0.02393948026954703,361
22,0.008666163289785603,0.03224866837754552,360
23,-0.009936687126041996,0.03222002293921233,359
24,0.0010145252930529453,0.04022451805383767,358
25,0.044968324362805775,0.05808397504111915,357
26,0.042146980938833206,0.05329949060332486,356
27,-0.00793041056036739,0.032766802800644826,355
28,0.029579626441726764,0.0317085736993167,354
29,-0.016281440695034816,0.02536987255145191,353
30,0.003931604716134296,0.042510528109326824,352
31,-0.039675313836964876,0.03423469762142655,351
32,0.00618607986723374,0.03202288912229506,350
33,0.06646110196223068,0.03378711870115688,349
34,0.043767507243110515,0.03831305981686729,348
35,0.0038502106412467985,0.042623983057433944,347
36,-0.030384174505172112,0.02698603928330547,346
37,-0.08206243385318515,0.03765687867302244,345
38,0.012892601910798468,0.031133075887250655,344
39,-0.04200422097884665,0.031618981918900016,343
40,-0.002822730890076758,0.041905002443668564,342
41,-0.04509561775179735,0.022048170983811764,341
42,-0.06603183462237275,0.03892603229457608,340
43,0.0327610026520294,0.025745820500669116,339
44,-0.005860741702596012,0.033335756104766884,338
45,0.02263371422512639,0.02856527644783998,337
46,-0.036559662484397376,0.02662182276165612,336
47,-0.023283442847004593,0.027138083148556556,335
48,0.00865773553512017,0.028626744146929294,334
