h,coef,se,n
0,-0.02168716199382459,0.027227363819541425,382
1,-0.053651222042839564,0.04166673355428055,381
2,-0.0874421221449726,0.04583511234394466,380
3,-0.09905801419081328,0.04976077387524136,379
4,-0.10808686510431187,0.05165331018873343,378
5,-0.12175341732501188,0.0679948563646495,377
6,-0.15834210515099656,0.06841543937235496,376
7,-0.12291519914854732,0.06804961055923321,375
8,-0.06105216639069866,0.08091290870770125,374
9,-0.045967883331424986,0.08056934443507881,373
10,-0.04392086054195943,0.08437894077146488,372
11,0.010841659780538748,0.07896884381841285,371
12,-0.0200672235572128,0.07807968946051196,370
13,-0.029646484226017122,0.0804473198972145,369
14,-0.0689448150524683,0.09344943555040339,368
15,-0.035151089944200464,0.08976820913062464,367
16,-0.06797261232606644,0.09489096590435199,366
17,-0.05555032154689599,0.08763075916756954,365
18,0.027956665252521162,0.07958406644985971,364
19,0.08891494683291867,0.07864177383962788,363
20,0.09250222103504058,0.08663252661672614,362
21,0.08987925531820906,0.09008499475007138,361
22,0.06629413035275533,0.0881507710987893,360
23,0.06565450745738843,0.08717716149654467,359
24,0.12527325257767075,0.07860748376125934,358
25,0.18096860947250804,0.09508146999165061,357
26,0.1517727405604674,0.07444803738823855,356
27,0.19581925640179776,0.0756806260054791,355
28,0.19855311747070203,0.06135961486176803,354
29,0.19914443756631783,0.05575509623384691,353
30,0.16898776044618558,0.06282943259744085,352
31,0.16298357496503968,0.07811620398209795,351
32,0.22328540825301246,0.0639474019279583,350
33,0.25379544984301816,0.06494085124269341,349
34,0.26987049645369154,0.07558963341844867,348
35,0.24278042241875397,0.07460105269507002,347
36,0.15194376721215264,0.06802255248869575,346
37,0.16528060536709432,0.0686548667993393,345
38,0.13295489298042895,0.07239211132115754,344
39,0.1358338280673692,0.09372882414208393,343
40,0.09103503697570403,0.09596403901129452,342
41,0.03538115378712092,0.0907785780422989,341
42,0.06705412446628856,0.0893985528474816,340
43,0.06876702000219126,0.08378330606996472,339
44,0.08423856446341915,0.08044371680818109,338
45,0.05768684382565681,0.08235927150397711,337
46,0.04671684420741684,0.07388162357416815,336
47,0.05548896988383234,0.07456185156984818,335
48,0.005655487680698457,0.08861391310400966,334
