h,coef,se,n
0,-0.08344127312967853,0.05967487152729797,190
1,-0.09919252023192726,0.10536636436821466,189
2,-0.13907814047246436,0.11933853931188557,188
3,-0.13181175026376657,0.1260334171299107,187
4,-0.040753382758923706,0.12191305438363613,186
5,-0.004529055281926375,0.1272575743186538,185
6,-0.07841213223493781,0.13159526511166098,184
7,0.005562455135418531,0.14527666827898997,183
8,0.2245311653374813,0.16158976939991457,182
9,0.2870111383145435,0.18611503774382715,181
10,0.21129725385321763,0.1700702187533616,180
11,0.18567879404297827,0.14614636227026717,179
12,0.08542492934589418,0.11728060757076561,178
13,0.031292125248103986,0.10167501840405992,177
14,0.03650017901071578,0.09740880316763938,176
15,-0.02668799434454172,0.077534705505209,175
16,-0.14174135831363444,0.08783317056131595,174
17,-0.10661124055172522,0.07729442308842334,173
18,-0.07519600534547521,0.05556965658812836,172
19,-0.03633305838611278,0.08521959202413296,171
20,0.0013142516027286888,0.07776887048242968,170
21,0.021419171044072982,0.09112192482041265,169
22,0.060199735486826,0.09041070219872932,168
23,0.08364643441498743,0.08683275620239853,167
24,0.12814664918765573,0.07921518449828982,166
25,0.17722622093807416,0.07210514438306685,165
26,0.2553021528111685,0.07376776312408838,164
27,0.27300915616901733,0.07572658805559303,163
28,0.24242707554882514,0.09803172152893766,162
29,0.2895590549310967,0.12767425836415958,161
30,0.23223984696697642,0.12106889279201884,160
31,0.21061211310864536,0.1193673861594316,159
32,0.21938239189601916,0.12326183376137223,158
33,0.13246857315973415,0.10031883391891185,157
34,0.05995799149619785,0.09562549959881383,156
35,0.06426294544554878,0.12112266075961388,155
36,0.030183275126496767,0.13783626791014747,154
37,0.066625921694758,0.14539968077847695,153
38,-0.013173270842600004,0.13472217599508676,152
39,-0.004791288779095737,0.1248163043814379,151
40,0.012960571001478627,0.1670865690561144,150
41,-0.07974434268796671,0.1854382111829262,149
42,-0.19284342604618843,0.17815860200464936,148
43,-0.2425758345389113,0.19012120254923678,147
44,-0.262213779291379,0.1890308240750838,146
45,-0.2471073563449977,0.17724602687494195,145
46,-0.2265534600536796,0.17582473596140027,144
47,-0.22530936597426177,0.1630991694799419,143
48,-0.2612090657039374,0.15693488658169444,142
