h,coef,se,n
0,0.0063653996201564755,0.04529874566345716,315
1,-0.05184278899158734,0.06759052195093315,315
2,-0.1058066751536022,0.08027736431931225,315
3,-0.2208631471296556,0.11777551328968246,315
4,-0.13590100717951348,0.0963737478054496,315
5,-0.16056381017156252,0.12683278669115988,310
6,-0.22392338161965775,0.14667800493861413,310
7,-0.14330078277851932,0.14094277908116526,310
8,0.006180247115385562,0.13784744406936653,310
9,0.06122348767466468,0.12613636039352263,310
10,-0.08660881766790718,0.1317815677971597,310
11,0.15742071698616988,0.1458079076086341,305
12,-0.06878162151600586,0.17861305695556104,305
13,-0.0602532775501925,0.17028336599253016,305
14,0.0242377443596562,0.1828231551990145,305
15,-0.08601199394885484,0.174498716085472,305
16,-0.05438188846707481,0.1644843088485915,305
17,0.07514800679281841,0.2034509282748308,300
18,0.23484941260185083,0.19837222719693975,300
19,0.2717409314795176,0.1736847014269813,300
20,0.31939442907294124,0.17518668108935592,300
21,0.3126216825013899,0.18492126062001282,300
22,0.35197507534654016,0.18477428685171177,300
23,0.2738577209867734,0.17795128420701745,295
24,0.40577611037557704,0.18305690256983817,295
25,0.4584045818054827,0.1944896380878045,295
26,0.369547055140389,0.15781361806029026,295
27,0.4718502308399237,0.14614249869257956,295
28,0.5655962184738175,0.17732669675582433,295
29,0.424248675478355,0.15368120088676732,290
30,0.40676690472119215,0.132825242344586,290
31,0.36739888640753604,0.14746964136460156,290
32,0.5017096883760903,0.1377351483186703,290
33,0.5042723183334554,0.1487236407291202,290
34,0.502913495924135,0.16932352285648106,290
35,0.35057321947704656,0.12315861344623213,285
36,0.27198685228473796,0.13530211323155747,285
37,0.3188561073483358,0.1226594870755359,285
38,0.2056379511008246,0.13673589978913972,285
39,0.2189967690556227,0.15248420071154623,285
40,0.14576541371926188,0.15170187874426724,285
41,0.014462185539011019,0.10891970051012301,280
42,0.17998739396337227,0.1700327647263503,280
43,0.10294146006870641,0.1750478101745774,280
44,0.10395429977392956,0.17271393170924343,280
45,0.05181998526636167,0.13322596212930182,280
46,0.11367408544465363,0.2003778143593921,280
47,0.09275146501584364,0.20547478735803806,275
48,0.017154202454640055,0.20791744657859862,275
