feature,importance,std
PRI lag 1,0.21298050805880792,0.05140803867970258
d²PRI,0.00981517270831412,0.0031637354865015586
US GPR (L1),0.0003379810025140095,0.0004511971186102715
China GPR (L1),0.0002405822367103442,0.000283671438198454
CNY/USD,7.267342196681052e-05,0.00024009733135368086
Log World IP,0.0,0.0
10Y Treasury,0.0,0.0
PRI lag 2,-0.0006370940403580031,0.0007119837088017624
Δ² Log GOP,-0.000750902911847658,0.0007164593786932127
Baltic Dry,-0.001379144107110797,0.0007841932250577177
Δ Log GOP,-0.0015589999589462166,0.0010148925769965865
US Indus Prod,-0.003417592549204536,0.0027868428543103567
VIX,-0.0054864001642845805,0.0015403451258606577
