h,coef,se,n
0,-0.04065382872317394,0.03510980615706698,315
1,-0.06496280948016064,0.05997195903695284,315
2,-0.11787873523202297,0.07699844638111007,315
3,-0.1537663637107472,0.08405710051897568,315
4,-0.17277963215145403,0.08468880188465089,315
5,-0.21019635569228595,0.09703614243085425,310
6,-0.26792265065081183,0.09644462808546468,310
7,-0.20275169176379715,0.09578448247446242,310
8,-0.09763169710509273,0.10871611558583963,310
9,-0.08984207464772659,0.10471671957516941,310
10,-0.12623188388248063,0.11538575664293316,310
11,-0.03194109211833122,0.11489931269610107,305
12,-0.12654170270442824,0.1159216706197902,305
13,-0.1561979760466281,0.12477856714050092,305
14,-0.2087848188437253,0.1498829612707608,305
15,-0.16785500529691322,0.14587626606025614,305
16,-0.2080228500964333,0.15938219438134682,305
17,-0.1778865171572788,0.14638761743065154,300
18,-0.0760229605079219,0.12968258304485955,300
19,-0.0011433382325025943,0.1382587189196751,300
20,0.005627200464876796,0.1542586763577489,300
21,0.03425390409754314,0.15937385069696278,300
22,0.024149130878629688,0.15768184871007562,300
23,0.0010784573133196251,0.1496448598859091,295
24,0.045623721555163116,0.15270464899336128,295
25,0.09358172679774907,0.1613717547304074,295
26,0.05779042557809877,0.14141753207469127,295
27,0.13089472254879447,0.12808562866698953,295
28,0.14573708252821313,0.0996439902277875,295
29,0.06254713704134333,0.14163084975647225,290
30,0.07232615688284032,0.14708359652302724,290
31,0.08369339256389485,0.1392657731977855,290
32,0.2022209491347155,0.11956098350085062,290
33,0.2734345307756918,0.11711013257008698,290
34,0.2583611607178091,0.12122666455038973,290
35,0.14192020416449463,0.12474680152201503,285
36,0.06525320212675145,0.112562861452665,285
37,0.12099071840721043,0.12086776994312098,285
38,0.12322949202121225,0.12377029603252125,285
39,0.1263284164024021,0.1491849482581611,285
40,0.07440760113242917,0.13739940698721825,285
41,-0.06199678393235497,0.14281017246817007,280
42,0.04870664601441188,0.13820947988258614,280
43,0.2960112748900474,0.16780225149044042,280
44,0.21261068536230754,0.1575625479463256,280
45,0.18748024718710588,0.16473246312712603,280
46,0.22090674840225683,0.1542643507665254,280
47,0.15782547112781864,0.13497673368184107,275
48,0.09805339516623202,0.14798679719935223,275
