h,coef,se,n
0,-0.11592760075153852,0.05513928411938432,255
1,-0.12483133624781806,0.07989641443558379,255
2,-0.24517458326111252,0.10896952462326577,250
3,-0.220525028875528,0.1155456453818676,250
4,-0.1825204362124363,0.14910505903799193,250
5,-0.3214224891118467,0.17101325575371487,250
6,-0.13894717511932075,0.1375335982982269,250
7,-0.1095195964713036,0.14639426981486744,250
8,-0.057331427773092636,0.21961953418871366,245
9,-0.17198716606464637,0.22921434956181805,245
10,-0.5080991535468611,0.21983519613532274,245
11,0.01673421721158741,0.21396133737919465,245
12,-0.10177794636146187,0.2254932491036109,245
13,-0.15134897266353908,0.24204918227665154,245
14,-0.4474817479575951,0.3010507766414313,240
15,-0.586158701134194,0.28245267164695226,240
16,-0.1278336723787219,0.24209164801718766,240
17,-0.24126337094825345,0.24374438272318694,240
18,0.021875773965373657,0.16695166651028084,240
19,0.17047395098314766,0.12159090577759935,240
20,0.09742090454519453,0.17418670113669335,235
21,0.2003332967242093,0.13926632702265507,235
22,0.11240059923568024,0.14202393580917017,235
23,0.11726880111979865,0.14329443526435312,235
24,0.10893359526958801,0.12974529614759148,235
25,0.20108397773168107,0.1518678874864663,235
26,0.15026255958488388,0.12174895229764505,230
27,0.10268072327781064,0.1004729559644951,230
28,0.13534249565334044,0.0961816917174082,230
29,0.13684438486204764,0.10046060188656748,230
30,0.2070133203292216,0.10058240374127134,230
31,0.22158859515078627,0.11660434924843352,230
32,0.1935675520335871,0.11948148481412406,225
33,0.14681552437374723,0.12374125812292464,225
34,0.0817175838871056,0.13603132548625568,225
35,0.02027082130100144,0.17088361135607147,225
36,-0.03606042076566629,0.17452806501860246,225
37,-0.06970550330114822,0.18456983076808564,225
38,-0.0042993559231545575,0.20342806303386127,220
39,-0.11306991771495944,0.1849461159013519,220
40,-0.14241633194509706,0.18779326975990077,220
41,-0.17640675668303274,0.16353608117957621,220
42,-0.18355079421359122,0.15782757831318198,220
43,-0.13287882748816093,0.14372716748766678,220
44,-0.07333466593870464,0.14465525255287917,215
45,-0.04145153785889688,0.14537298882191446,215
46,-0.12302840438914009,0.14165578629133688,215
47,-0.032141527096818834,0.13796406879622328,215
48,-0.0010669050703006888,0.1131347463660276,215
