h,coef,se,n
0,0.015547956037482713,0.043168692947240184,315
1,-0.002154519150258105,0.06812727915013587,315
2,-0.03693546215698573,0.08354943771948906,315
3,-0.1545808952851111,0.10177657786121819,315
4,-0.11987002956239312,0.1020077608847266,315
5,-0.07346104839627898,0.13405299555549802,310
6,-0.139651781278622,0.14944288401259118,310
7,-0.07564872596296013,0.1291918304114447,310
8,0.025817789318534512,0.1417516788016966,310
9,0.10729526121706501,0.13639877832074568,310
10,-0.10558157190517758,0.1277943021635904,310
11,0.1792597242267573,0.1389668942344301,305
12,-0.05228622197207422,0.16820602167774312,305
13,-0.04271167826914546,0.1801160940909103,305
14,-8.930823458941362e-05,0.18081725069294555,305
15,-0.009087580809146067,0.17387552090963748,305
16,-0.028190986860088696,0.17438182234392247,305
17,0.1378490335797048,0.20753302103817683,300
18,0.19555712489446897,0.18550775195550168,300
19,0.35471518313336214,0.20219346460209883,300
20,0.26259059333104506,0.17412090456950602,300
21,0.30782017797276257,0.1881794693362531,300
22,0.3530715486543189,0.18740076014299709,300
23,0.30631754191375515,0.18935314450256613,295
24,0.3653244428604854,0.1824403839304463,295
25,0.45847276293071393,0.20130907836449666,295
26,0.41799804067040214,0.16022478215377856,295
27,0.5493083156282994,0.16808753141971763,295
28,0.5449785344459708,0.15881618517982277,295
29,0.4407788883163031,0.15697574614592438,290
30,0.4201575072315631,0.1336836988465859,290
31,0.44016823904937985,0.162619177085129,290
32,0.45314011164859147,0.12706677604579794,290
33,0.49861809130532864,0.15790382421213553,290
34,0.44004966139440826,0.16172686848125328,290
35,0.37816652317036326,0.13637599465721878,285
36,0.2410154722049389,0.12148050236749762,285
37,0.3217950509073888,0.13144414513945946,285
38,0.17859327925152413,0.12969357160272868,285
39,0.18751385524526398,0.14498505624389604,285
40,0.13779543532076222,0.15076665595293576,285
41,0.027877442751584214,0.1228281754870025,280
42,0.14443105473935325,0.15985827169308775,280
43,0.08375215709311201,0.16500535026023416,280
44,0.061738857693931615,0.17511374761280935,280
45,0.017775123048714037,0.13293588476809737,280
46,0.12188721936529473,0.19949425394383008,280
47,0.06498985326047269,0.17756896659916271,275
48,0.0012000236978192413,0.21625130873484635,275
