h,coef,se,n
0,-0.06884560230184888,0.13151420421211402,71
1,-0.20103241972196884,0.19725680230480963,70
2,-0.016256613955874855,0.19336969731635223,69
3,0.03594979810816312,0.17044410667451107,68
4,-0.03433649007615713,0.14916102351111035,67
5,-0.0183371596597226,0.18785221672795868,66
6,-0.17222692446978272,0.21265824810217987,65
7,-0.07162854045259337,0.13574065391384696,64
8,0.013283975300055317,0.13620630530173508,63
9,-0.059536935662549695,0.157611331896177,62
10,0.05536390599627339,0.11160193649186992,61
11,-0.017454036889716917,0.12861686977545642,60
12,-0.24403956179980923,0.2384185281500772,59
13,-0.2220312359958143,0.18917299190448045,58
14,-0.13293115804560784,0.15065252596286635,57
15,-0.14180091254502258,0.15254773984016112,56
16,-0.4403008888822342,0.20640648245314538,55
17,-0.4060060732003876,0.3064300481991705,54
18,-0.0760054246941877,0.2655854781202666,53
19,0.005101644754745394,0.212373270090423,52
20,-0.15193995065772015,0.132850109961552,51
21,-0.28212717450509217,0.08300011355877034,50
22,-0.29409424175395316,0.10958208919071087,49
23,-0.39148329595178666,0.2234239414372762,48
24,0.1765286681688849,0.21522238418271,47
25,0.40083695458633883,0.42845131014556226,46
26,-0.07502953828299042,0.2233483909941356,45
27,0.028200731146512226,0.1971669711530836,44
28,-0.12637743425074177,0.16104155257842556,43
29,-0.22177781327172852,0.3180607121427668,42
30,0.06557795989397164,0.37922479935594966,41
31,0.22443763869307531,0.4860416450579956,40
