h,coef,se,n
0,-5.551115123125783e-17,1.2708261884204967e-16,382
1,0.00474371108267093,0.0055618091107934335,381
2,-0.0016381481382813229,0.0028996467258180668,380
3,0.0011991327221610448,0.005673536208921721,379
4,-0.0037771512155762993,0.0032034482151444706,378
5,-0.0071009066395141054,0.0045394393381754635,377
6,-0.0010827044650656842,0.0032840387393123405,376
7,-0.0017079489796225991,0.0023793364067672216,375
8,-0.00020795807903288555,0.0033387474054772086,374
9,-5.40132930210227e-05,0.002779746496246786,373
10,0.0005588353086873679,0.0021999038263372725,372
11,0.0037851590907766602,0.002812582948434782,371
12,-0.0018459970751844232,0.002343320335606944,370
13,0.00026623166300018125,0.0026924420755340796,369
14,-0.0007872985112504227,0.002941533990681932,368
15,-0.004470105562673597,0.0031996446852939776,367
16,0.003239509839797171,0.003413880834818513,366
17,-0.020103682814783752,0.015894981345115872,365
18,-0.005981863533259964,0.0036365955350496264,364
19,-0.00022461180501551214,0.0026277384798025064,363
20,-0.0035687390818374184,0.003134409635007187,362
21,0.0006033970961181467,0.0025511534731296843,361
22,-0.0007967636897657122,0.002939660356179148,360
23,0.001384825421076534,0.0030359537318537053,359
24,-0.0008741165435114003,0.0029060140165934026,358
25,0.0031930969891639793,0.0034036015637187206,357
26,-0.0002881455123767557,0.0020694782730692352,356
27,-0.008087341999625608,0.0037557350206117437,355
28,-0.002514239164631357,0.0024081633654809797,354
29,-0.0035888682313769908,0.0039087708373548155,353
30,-0.003271011841227164,0.003144928483866426,352
31,-0.001450222598060779,0.0027586413845568938,351
32,0.0015770603904008938,0.004214594346264717,350
33,0.0020099961964873993,0.0025885768379384825,349
34,0.0033311815273333115,0.0024426408772488754,348
35,0.0032553494055921305,0.0033809461458283734,347
36,-0.004727289474888024,0.003971962381217946,346
37,-0.0064021748074866,0.004481619068054424,345
38,0.005283858608413251,0.003542776308173878,344
39,-0.004915284072310611,0.004367921492625227,343
40,0.002717688550967906,0.0037102892737630325,342
41,0.002615137891411129,0.0041544299229705085,341
42,-0.0010758540613120295,0.0024144159978310158,340
43,0.003117094978263537,0.0018984577549188892,339
44,0.002159273063077973,0.0022298825518069403,338
45,0.00015131827568054187,0.003734268331096856,337
46,0.00350738709343244,0.002296924378301392,336
47,0.0008379633143674715,0.001557941504320511,335
48,0.0045943588073052545,0.0029464949418977425,334
