h,coef,se,n
0,-3.469446951953614e-18,2.851640085370917e-16,382
1,-0.00038166133443487404,0.0022507086876402483,381
2,0.003298778433529201,0.0021363221143954,380
3,0.0035557399722915724,0.0026310363544684605,379
4,-0.0028871678403534287,0.0023900582122272406,378
5,0.0024008771318588633,0.0022690163437686546,377
6,-0.000895771496240828,0.0020382719013420244,376
7,-0.0015883723413301614,0.0029861451049691553,375
8,0.00537257617874849,0.002991169326401965,374
9,0.002984363145547308,0.0034210550593587264,373
10,-0.001972201650734769,0.0027652673289776165,372
11,0.0011020946687455313,0.0028135130513895195,371
12,0.0032918995785600714,0.0030213108522220387,370
13,0.0009322852651543895,0.0016170924208910792,369
14,0.0010401466767996517,0.002658696124141448,368
15,-0.00012916006157392404,0.002342844344195294,367
16,0.0011369707455442803,0.002630697814162739,366
17,0.00036918120021771556,0.0015549007033777659,365
18,-0.004065064599343928,0.004514026496814835,364
19,0.0017082582213353921,0.0019627341136708477,363
20,0.002292307457044221,0.003016650062687849,362
21,0.0030180342352539493,0.0024976297604131005,361
22,0.004121597446279947,0.0034993687795568424,360
23,-0.0017756837267090403,0.0020809610595206303,359
24,-0.007525537781563207,0.008083588913307717,358
25,0.0028943720532923906,0.0036381777801751222,357
26,0.013173471371341252,0.010968065384395653,356
27,-0.00034405734853531697,0.00238996430047987,355
28,-0.001855683693064495,0.003091691454822722,354
29,0.0018500120241830842,0.002268601006420038,353
30,-0.00817369308511108,0.00540768652927123,352
31,-0.0010006866607563582,0.002103619693534313,351
32,-0.0062442039973386425,0.005590842305273811,350
33,-0.0022971188251952063,0.0017582943802023254,349
34,0.0005509544453011755,0.004311511200362219,348
35,0.007280304600270841,0.0073515855424822535,347
36,0.0031956876606350666,0.004460078741774624,346
37,-0.007319185799552203,0.005545488629346604,345
38,-0.001127428152195114,0.0021355592410601653,344
39,-6.947833026038977e-05,0.0016123066220248557,343
40,0.0009483540206426354,0.0051543388872215155,342
41,0.00402053444365294,0.003584714477144541,341
42,-0.006998108694897108,0.005821807803088735,340
43,0.0005273615096653781,0.002990341326909698,339
44,-2.439137361277474e-05,0.0029955736476611518,338
45,-0.0022894229762229594,0.0022391909054773904,337
46,0.002228466473923524,0.0028876368234374474,336
47,-0.0017183088211766319,0.0027834100624628388,335
48,0.003527770496283989,0.0025646175657554043,334
