h,coef,se,n
0,2.7711166694643907e-13,3.664475474132957e-12,382
1,0.22759247670680338,1.161063585364337,381
2,1.0086236304236422,1.2778276747117172,380
3,2.2535647863762733,1.2597667155153163,379
4,1.7389204798137285,1.6151708650399246,378
5,0.524974705591859,1.7044538321936433,377
6,1.6179178963243004,2.290106273119892,376
7,0.842326991176293,1.634971098130011,375
8,0.025413221010396114,1.7576574308777095,374
9,-0.7154775389139161,1.7638985350056458,373
10,-1.3494405859681535,1.6394984290261603,372
11,1.1386781095527567,1.700593510786967,371
12,2.582252528360698,2.413034413012509,370
13,2.211480849410435,2.5779395043313063,369
14,1.5153293079475958,1.864344058822522,368
15,-0.5034174913438676,1.557007374886601,367
16,0.9616113383387415,1.7096775268560036,366
17,1.4077324449434343,2.0283878008532183,365
18,-2.0123685807728293,1.7398035957779334,364
19,-2.5200605231923703,1.5061468224587489,363
20,-3.282226331097604,1.627581657485827,362
21,-3.5866853957632543,1.9211495000500847,361
22,-3.1097177247816035,1.5501617027481682,360
23,-0.8342122791092947,2.3574023983647447,359
24,0.07766374389953512,1.8562040328575296,358
25,-2.2633797340334354,2.4932856989910204,357
26,-0.700625064700688,1.4364648964499969,356
27,-0.5284496459639456,2.0020712810303727,355
28,-0.2574680593204164,2.762101337878919,354
29,-0.9061048612656464,2.6552098877933807,353
30,-1.3911058673775187,2.0956949176366413,352
31,1.4676414341957127,3.2062121634047243,351
32,1.7031436524701462,2.689513630084742,350
33,1.8563594586896386,2.077135808357771,349
34,0.3290678375019809,2.1071869792059608,348
35,-0.34130690161217103,2.051275316711808,347
36,0.3768119390167328,1.4596426334879506,346
37,0.9669944916341535,1.3991560446663374,345
38,1.385522262009772,1.8755406346932186,344
39,-0.31384014416485684,2.7759466690291985,343
40,-0.06463179907771632,3.1438193037205306,342
41,-0.5424326388088616,3.1600678614566853,341
42,-1.8028522597584242,2.5298222044697734,340
43,-1.474206463740586,2.351096336297474,339
44,-2.419016265640721,2.233593556104527,338
45,-4.471482597413399,2.0386337008717974,337
46,-4.226330043424753,2.1326519698956696,336
47,-4.089367044241726,2.083424708062821,335
48,0.15103508244283148,2.0500448133009126,334
