h,coef,se,n
0,0.03367107239430922,0.046409701833590944,189
1,-0.0031371056749129878,0.05832661608237831,188
2,0.07102340082554548,0.067009322610893,187
3,0.06921844885766149,0.06563870459343674,186
4,0.08210834342972362,0.07870854541544565,185
5,0.14863903585658989,0.07519651698033415,184
6,0.12040056641441055,0.06535983397795803,183
7,0.17019107193372918,0.09183042330827196,182
8,0.19785273938913406,0.10682056840522498,181
9,0.15944967987815062,0.09947380481158974,180
10,0.1838817021896162,0.1188401163745107,179
11,0.13271530877727145,0.10627162229501663,178
12,0.14036621352875756,0.10707544062439128,177
13,0.14049196498125838,0.12461074504656842,176
14,0.13599383831449074,0.13017044009270737,175
15,0.07194028107917916,0.13076581162131273,174
16,0.0582122664070539,0.1420755416605245,173
17,0.15787993250057752,0.13088332930979854,172
18,0.1420332625341274,0.13965308487284758,171
19,0.06143720349432158,0.13626823715295058,170
20,0.12792957480453993,0.13421609410086976,169
21,0.02439652126332703,0.12814466920611303,168
22,0.04100459215796093,0.12535123004283286,167
23,0.16938719885895637,0.13273442031979382,166
24,0.0744731423871059,0.12950172864163587,165
25,0.10661674725599823,0.13259272310694434,164
26,0.08000232297216314,0.14436054349220764,163
27,0.10051991343352995,0.15026132916229656,162
28,0.16676015312314973,0.13804865735666158,161
29,0.17792609237712043,0.1404669283649175,160
30,0.0795520588900871,0.14841958320955678,159
31,0.056665620491585855,0.13295757440154007,158
32,0.032697903945589246,0.14236349894458197,157
33,0.06348339000359715,0.14277105640190907,156
34,-0.08649104259903595,0.13790750946481253,155
35,-0.22563562337950316,0.13775531154570816,154
36,-0.11782817020473146,0.15859792057402955,153
37,-0.10951567974632326,0.1676577989714486,152
38,-0.05768311927199932,0.18101619432023586,151
39,-0.00740332903328067,0.16080708923031298,150
40,0.0331580756242289,0.15664704972630303,149
41,-0.04844438097157422,0.16348704086209034,148
42,-0.07643273453652455,0.15914542303697132,147
43,-0.021028401597021684,0.16218374828478296,146
44,0.04936014192598748,0.1696526748740432,145
45,-0.0014246889438425114,0.1446429656445442,144
46,-0.07785866142843645,0.13520958396445054,143
47,0.030182203959697063,0.17291323155796814,142
48,-0.050796578594159314,0.14551287746210728,141
