h,coef,se,n
0,-0.022267279764028314,0.04900247737743673,315
1,-0.0913487756817748,0.06060069675981673,315
2,-0.14663911682220698,0.0837591299208334,315
3,-0.23708550835167097,0.10680890379081033,315
4,-0.2463228415423213,0.09390784019532825,315
5,-0.24713459055060216,0.12550405299034512,310
6,-0.28159024218072126,0.13411228149796137,310
7,-0.2610227000699834,0.13987052873478978,310
8,-0.16211392880846187,0.1359411973460023,310
9,-0.05390124442719779,0.12429714805208983,310
10,-0.23870824352772368,0.13436094882783492,310
11,0.0036028192648729362,0.13682763931963007,305
12,-0.2608995042041786,0.16666862906448052,305
13,-0.15724481945978241,0.15857362468459163,305
14,-0.21596744204931273,0.1783314749722198,305
15,-0.13860396117002372,0.16081030268229368,305
16,-0.15710499139740786,0.1775661774135116,305
17,9.496406436429461e-05,0.20018778435464302,300
18,0.12716497905962187,0.1739043999385643,300
19,0.22814954350066885,0.18739539513029754,300
20,0.11433425305082523,0.16347801409524404,300
21,0.19937438989647008,0.1737674214415905,300
22,0.31147951776244454,0.17478836229040284,300
23,0.31046192850959065,0.19213280175300793,295
24,0.35048008854439106,0.17218055373132637,295
25,0.2866384719204278,0.17511517394330803,295
26,0.34422072490595923,0.14498656619713934,295
27,0.4246710818902808,0.13036470430489294,295
28,0.500469720562801,0.13202728757174853,295
29,0.2579797335913363,0.12849659706281952,290
30,0.2526025245597239,0.09538739642623718,290
31,0.3127756864300667,0.12373012817764105,290
32,0.409484441250487,0.11092202358343399,290
33,0.4009996030278733,0.1156843349800704,290
34,0.4173945009995249,0.14809048508125391,290
35,0.27778031255337754,0.11110350513535998,285
36,0.16604199155836155,0.12167950375108139,285
37,0.23993453569314216,0.09801422019505163,285
38,0.167800563489241,0.11953413751724212,285
39,0.17267222016911665,0.13577866963414748,285
40,0.06551201643528659,0.11820702097369525,285
41,-0.08011400610628949,0.10405553333248634,280
42,0.13005055419186984,0.14861349813675584,280
43,0.06300135122981343,0.14589966737522314,280
44,0.04663084877833601,0.12555484849992968,280
45,0.07042111014270153,0.14632522514653667,280
46,0.10916630206375655,0.1689788070769598,280
47,0.012210609099338465,0.13711671934202027,275
48,-0.16219267564080708,0.16532341779934864,275
