outcome,h,coef,se,sig
lwti,0,-0.006907858268475394,0.012292438793404276,0
lwti,1,-0.016683576414359382,0.01928502115159352,0
lwti,2,-0.01683772963161312,0.019943602226758478,0
lwti,3,-0.013925647360342824,0.020390315915331244,0
lwti,4,-0.01356124179023489,0.019133248276972506,0
lwti,5,-0.012939304481794695,0.020182457054436158,0
lwti,6,-0.02703779571156273,0.021569925508850916,0
lwti,7,-0.03196589868035355,0.0224404981509469,0
lwti,8,-0.017824754615445016,0.019201887604161787,0
lwti,9,-0.016481068641133495,0.019497731253844918,0
lwti,10,-0.024974594435427988,0.017985049697528992,0
lwti,11,-0.00015643104510455204,0.01714220796249585,0
lwti,12,-0.0018166183768939768,0.019263027222033827,0
lwti,13,0.001125335968802694,0.01837408511716926,0
lwti,14,-0.015138598675310366,0.01752483948765605,0
lwti,15,-0.0023933923173598843,0.017079172230614684,0
lwti,16,-0.028049134184118224,0.01660019883722173,1
lwti,17,-0.04245164852628289,0.021510660794945614,1
lwti,18,-0.02780547181809334,0.016041149390722362,1
lwti,19,-0.009273624253198068,0.013993364087135939,0
lwti,20,-0.007186456462097972,0.015103150525016429,0
lwti,21,-0.004884195172473805,0.015398739893693227,0
lwti,22,-0.01856947623478361,0.013272372547609787,0
lwti,23,-0.02642159615514519,0.02777754984231448,0
lwti,24,-0.017366837710066658,0.01503864161588587,0
lwti,25,0.001955490557034857,0.01773464336445242,0
lwti,26,-0.015828450310967856,0.012710177423203302,0
lwti,27,-0.0027125729522652006,0.01883137928566766,0
lwti,28,-0.004986572429058294,0.020305870131838013,0
lwti,29,0.0005361491293561244,0.014794900366709822,0
lwti,30,-0.006220120687268571,0.012522032909604876,0
lwti,31,-0.030799634065618947,0.014964322611779575,1
lwti,32,-0.018414764931954736,0.01651899768078124,0
lwti,33,-0.00752841182677911,0.016334705388671458,0
lwti,34,0.006591888432139759,0.012526479890678208,0
lwti,35,0.024607820190377314,0.013224358358988818,1
lwti,36,-0.011464625620200121,0.012649473897525408,0
brent,0,0.014175985108881977,0.01545797085500167,0
brent,1,-0.00125459158048455,0.01170441455580643,0
brent,2,-0.001953791158815676,0.013657775358124923,0
brent,3,-0.004326886396817777,0.012208616554731423,0
brent,4,-0.0015129488952310057,0.011281099934717959,0
brent,5,-0.004849953379313161,0.012314893159900694,0
brent,6,-0.00029838427546614627,0.013571925948545144,0
brent,7,-0.015451925663559681,0.011417282769779035,0
brent,8,-0.0071810198085514535,0.014322820644187937,0
brent,9,0.022583894935476478,0.012003907453640791,1
brent,10,-0.0011533472295767039,0.014438734496014582,0
brent,11,-0.01630756916118875,0.010067738665948416,0
brent,12,0.02649560974349861,0.014245624440273058,1
brent,13,-0.006806616465392057,0.010404449677170073,0
brent,14,0.011287499867941383,0.012548767762832197,0
brent,15,-0.023247732147509578,0.012309527622884082,1
brent,16,0.01826336114880512,0.009449124185884646,1
