tau,h,coef,se
τ = 0.10,0,-0.03016131286033271,0.0626946242645277
τ = 0.10,1,-0.021380058307648046,0.11280230562337779
τ = 0.10,2,-0.10742692196925546,0.08575626406238163
τ = 0.10,3,-0.15513994108378198,0.09660850164439101
τ = 0.10,4,-0.20048342330538085,0.1833847951092815
τ = 0.10,5,-0.14590264695161445,0.19058764494060235
τ = 0.10,6,-0.21346232273219945,0.25968610188211955
τ = 0.10,7,-0.11311458372511947,0.15841277928587502
τ = 0.10,8,-0.05486363597147226,0.1634783970995884
τ = 0.10,9,0.013508530073543057,0.23977347163058685
τ = 0.10,10,-0.03062902054727289,0.24548722961136
τ = 0.10,11,0.12578579937462636,0.2525937708760818
τ = 0.10,12,0.0685064701582945,0.23288192918064193
τ = 0.10,13,-0.07526111594822983,0.20091209469801213
τ = 0.10,14,-0.2050972202622842,0.35908846664474464
τ = 0.10,15,-0.1681821051528175,0.1258040339942964
τ = 0.10,16,-0.20671151048776,0.17559196071616454
τ = 0.10,17,-0.16277051432942985,0.11661462662864158
τ = 0.10,18,-0.18404711976890656,0.10063948484424577
τ = 0.10,19,-0.06882677436018973,0.10239046745429575
τ = 0.10,20,-0.09565339703860751,0.25170506933840303
τ = 0.10,21,-0.1267261601017872,0.28860286435505994
τ = 0.10,22,-0.059223574876555635,0.20116193346973038
τ = 0.10,23,-0.047597762499494004,0.18658169694021973
τ = 0.10,24,0.04002425662827553,0.2225650732599081
τ = 0.10,25,0.292991360144403,0.16393351307183376
τ = 0.10,26,0.12990817061019175,0.13702433671147554
τ = 0.10,27,0.12508201666006252,0.18760477178559273
τ = 0.10,28,0.08440503133517775,0.1782749196021321
τ = 0.10,29,0.11005243575777966,0.1693123356930323
τ = 0.10,30,0.05006737771496723,0.2602702892792114
τ = 0.10,31,0.06287715334819985,0.24168580067605755
τ = 0.10,32,0.10475047935892325,0.10686380555774153
τ = 0.10,33,0.24016177063383073,0.1584961340192142
τ = 0.10,34,0.1424717448877615,0.14907950612500265
τ = 0.10,35,0.19695691236955842,0.11840227633097809
τ = 0.10,36,0.026803225052973285,0.12593248620796418
τ = 0.10,37,0.21507341202494162,0.14126156316114313
τ = 0.10,38,0.1865193209349362,0.12198430599571805
τ = 0.10,39,0.3795717712372966,0.1419945167439505
