,CHN-USA,CHN-JPN,CHN-AUS,CHN-FRA,CHN-DEU,CHN-GBR,CHN-RUS,CHN-IND,CHN-IDN,CHN-PAK,CHN-VNM,CHN-CAN
1990-01-01,-1.8880223035812378,-1.8880223035812378,-1.8880223035812378,-1.8880223035812378,-1.8880223035812378,-1.8880223035812378,-1.8880223035812378,-1.8880223035812378,-1.8880223035812378,-1.8880223035812378,-1.8880223035812378,-1.8880223035812378
1990-02-01,-1.8875421285629272,-1.8875421285629272,-1.8875421285629272,-1.8875421285629272,-1.8875421285629272,-1.8875421285629272,-1.8875421285629272,-1.8875421285629272,-1.8875421285629272,-1.8875421285629272,-1.8875421285629272,-1.8875421285629272
1990-03-01,-1.9094573259353638,-1.9094573259353638,-1.9094573259353638,-1.9094573259353638,-1.9094573259353638,-1.9094573259353638,-1.9094573259353638,-1.9094573259353638,-1.9094573259353638,-1.9094573259353638,-1.9094573259353638,-1.9094573259353638
1990-04-01,-1.813818097114563,-1.8138179779052734,-1.813818097114563,-1.8138179779052734,-1.8138179779052734,-1.813818097114563,-1.813818097114563,-1.8138179779052734,-1.813818097114563,-1.813818097114563,-1.813818097114563,-1.813818097114563
1990-05-01,-1.743575930595398,-1.7435758113861084,-1.743575930595398,-1.743575930595398,-1.743575930595398,-1.743575930595398,-1.743575930595398,-1.7435758113861084,-1.743575930595398,-1.7435758113861084,-1.7435758113861084,-1.743575930595398
1990-06-01,-1.8073166608810425,-1.8073166608810425,-1.8073166608810425,-1.8073166608810425,-1.8073166608810425,-1.8073166608810425,-1.8073166608810425,-1.8073166608810425,-1.8073166608810425,-1.8073166608810425,-1.8073166608810425,-1.8073166608810425
1990-07-01,-1.7260828018188477,-1.7260828018188477,-1.7260828018188477,-1.7260828018188477,-1.7260828018188477,-1.7260828018188477,-1.7260828018188477,-1.7260828018188477,-1.7260828018188477,-1.7260828018188477,-1.7260828018188477,-1.7260828018188477
1990-08-01,-1.6495361328125,-1.6495360136032104,-1.6495361328125,-1.6495361328125,-1.6495361328125,-1.6495361328125,-1.6495361328125,-1.6495361328125,-1.6495361328125,-1.6495361328125,-1.6495361328125,-1.6495361328125
1990-09-01,-1.6193974018096924,-1.6193974018096924,-1.6193974018096924,-1.6193974018096924,-1.6193974018096924,-1.6193974018096924,-1.6193974018096924,-1.6193974018096924,-1.6193974018096924,-1.6193974018096924,-1.6193974018096924,-1.6193974018096924
1990-10-01,-1.6470024585723877,-1.6470026969909668,-1.6470024585723877,-1.6470024585723877,-1.6470024585723877,-1.6470024585723877,-1.6470024585723877,-1.6470024585723877,-1.6470024585723877,-1.6470024585723877,-1.6470026969909668,-1.6470024585723877
1990-11-01,-1.6173876523971558,-1.6173877716064453,-1.6173877716064453,-1.6173877716064453,-1.6173877716064453,-1.6173876523971558,-1.6173876523971558,-1.6173877716064453,-1.6173877716064453,-1.6173877716064453,-1.6173877716064453,-1.6173877716064453
1990-12-01,-1.5407507419586182,-1.5407506227493286,-1.5407506227493286,-1.5407506227493286,-1.5407506227493286,-1.5407506227493286,-1.5407506227493286,-1.5407506227493286,-1.5407506227493286,-1.5407506227493286,-1.5407506227493286,-1.5407506227493286
1991-01-01,-1.569655179977417,-1.569655179977417,-1.569655418395996,-1.569655418395996,-1.569655418395996,-1.569655418395996,-1.569655418395996,-1.569655179977417,-1.569655179977417,-1.569655418395996,-1.569655418395996,-1.569655418395996
1991-02-01,-1.572945237159729,-1.572945237159729,-1.572945237159729,-1.572945237159729,-1.572945237159729,-1.572945237159729,-1.572945237159729,-1.572945237159729,-1.572945237159729,-1.572945237159729,-1.572945237159729,-1.572945237159729
1991-03-01,-1.5762945413589478,-1.5762945413589478,-1.5762945413589478,-1.5762945413589478,-1.5762945413589478,-1.5762945413589478,-1.5762945413589478,-1.5762945413589478,-1.5762945413589478,-1.5762945413589478,-1.5762945413589478,-1.5762945413589478
1991-04-01,-1.5416772365570068,-1.5416772365570068,-1.5416772365570068,-1.5416772365570068,-1.5416772365570068,-1.5416772365570068,-1.5416772365570068,-1.5416772365570068,-1.5416772365570068,-1.5416772365570068,-1.5416772365570068,-1.5416772365570068
1991-05-01,-1.5260040760040283,-1.5260040760040283,-1.5260040760040283,-1.5260040760040283,-1.5260040760040283,-1.5260040760040283,-1.5260040760040283,-1.5260040760040283,-1.5260040760040283,-1.5260040760040283,-1.5260040760040283,-1.5260040760040283
1991-06-01,-1.4960147142410278,-1.4960147142410278,-1.4960147142410278,-1.4960147142410278,-1.4960147142410278,-1.4960147142410278,-1.4960147142410278,-1.4960145950317383,-1.4960145950317383,-1.4960147142410278,-1.4960147142410278,-1.4960147142410278
1991-07-01,-1.477562665939331,-1.477562665939331,-1.477562665939331,-1.477562665939331,-1.477562665939331,-1.477562665939331,-1.477562665939331,-1.477562665939331,-1.477562665939331,-1.477562665939331,-1.477562665939331,-1.477562665939331
1991-08-01,-1.4721777439117432,-1.4721777439117432,-1.4721777439117432,-1.4721777439117432,-1.4721777439117432,-1.4721777439117432,-1.4721777439117432,-1.4721777439117432,-1.4721777439117432,-1.4721777439117432,-1.4721777439117432,-1.4721777439117432
1991-09-01,-1.4786041975021362,-1.4786041975021362,-1.4786041975021362,-1.4786041975021362,-1.4786041975021362,-1.4786041975021362,-1.4786041975021362,-1.4786041975021362,-1.4786041975021362,-1.4786041975021362,-1.4786041975021362,-1.4786041975021362
1991-10-01,-1.4361624717712402,-1.4361624717712402,-1.4361624717712402,-1.4361624717712402,-1.4361624717712402,-1.4361624717712402,-1.4361624717712402,-1.4361624717712402,-1.4361624717712402,-1.4361624717712402,-1.4361624717712402,-1.4361624717712402
1991-11-01,-1.4067676067352295,-1.4067678451538086,-1.4067678451538086,-1.4067678451538086,-1.4067678451538086,-1.4067678451538086,-1.4067676067352295,-1.4067678451538086,-1.4067678451538086,-1.4067678451538086,-1.4067678451538086,-1.4067678451538086
1991-12-01,-1.3714487552642822,-1.3714487552642822,-1.3714487552642822,-1.3714487552642822,-1.3714487552642822,-1.3714487552642822,-1.3714487552642822,-1.3714487552642822,-1.3714487552642822,-1.3714487552642822,-1.3714487552642822,-1.3714487552642822
