,CHN-USA,CHN-JPN,CHN-AUS,CHN-FRA,CHN-DEU,CHN-GBR,CHN-RUS,CHN-IND,CHN-IDN,CHN-PAK,CHN-VNM,CHN-CAN
CHN-USA,0.08406366332397833,0.08265898606993935,0.08324018765192527,0.08339239616285671,0.08318941966666804,0.08339461970638919,0.08331083094144796,0.08357010228293282,0.08323102922408612,0.08307013859996548,0.08336594422142227,0.08351267874240875
CHN-JPN,0.0842603309975042,0.0856064449850615,0.0831756140311043,0.08283747848752257,0.08261649246726717,0.08354332377384235,0.0832381178612833,0.08298945301151894,0.08286309131941239,0.08260400583604713,0.08316600537532336,0.0830996419895779
CHN-AUS,0.08292970001310497,0.08162064169134413,0.08350709171651245,0.08361695782317743,0.08361273208608876,0.08360730837304871,0.0834473082771549,0.08360120687004807,0.08356586650207445,0.08348921905090283,0.08349724183608959,0.083504726902231
CHN-FRA,0.08263207515338798,0.08151089746456641,0.08330620022176148,0.08371730971258956,0.08374517333584947,0.08338089852364032,0.08354430589583013,0.08361564421808565,0.0836990726845605,0.08369935909648994,0.08357689123262059,0.0835721734862823
CHN-DEU,0.08250545948356777,0.08115418245653053,0.08330186535785725,0.08374233098773214,0.08398341962269375,0.08332949183978043,0.08345968651694137,0.083680188501036,0.08376744511452588,0.08408801656264764,0.08346859009621979,0.0835193204415309
CHN-GBR,0.083149374692471,0.08167654817754572,0.0834621277915967,0.08357840720322225,0.0835900798246458,0.0835934787408098,0.08341452754163123,0.08357587834070256,0.0835459708006351,0.08343652525505463,0.08348886684163824,0.08348821308705714
CHN-RUS,0.08270567994226109,0.08165562294133298,0.08327061143014339,0.08373011712517058,0.0836760022423484,0.0833648188354133,0.08359326722172948,0.08359599057343099,0.08366359719982396,0.08352735750860982,0.08360525700566057,0.08361167779990605
CHN-IND,0.08299733282296688,0.0815046198569335,0.08338164840038721,0.08361225279120656,0.08374947083073778,0.08347517824792243,0.08342951667773259,0.08358914219326787,0.08363452031240835,0.08371192956125581,0.08345174410126426,0.08346264379752147
CHN-IDN,0.0824936206271122,0.0813779316358752,0.08326639169222348,0.08373573308254217,0.08384318051787165,0.0832948257203226,0.08356264767708717,0.08366686121209875,0.0837587450038303,0.08382464767276467,0.08358648721273844,0.08358892738432079
CHN-PAK,0.08248117099721711,0.08124772863728659,0.08324819749051875,0.08371950204109217,0.0840095100851802,0.0831637359478257,0.08345271025772219,0.08367414660268016,0.08380925055448112,0.08422268317504363,0.08345820483836261,0.08351315788247368
CHN-VNM,0.08274111250391254,0.08163822177168611,0.08329702977623259,0.08372156219435976,0.0836784504837804,0.08339541941494137,0.08357115399527859,0.08358672835997173,0.08366493182135867,0.0835139885544777,0.08359366850806521,0.08359773155156668
CHN-CAN,0.08296778221409042,0.08168619422169475,0.08328301587275096,0.0836826748081616,0.08364687927744606,0.08338824224162411,0.08353857003249131,0.08355864330932691,0.08362206928915791,0.08350471374276397,0.08355439525920075,0.08356681750579313
