h,coef,se
0,-0.013965556672480856,0.022447622245371474
1,-0.06031105722695244,0.03206984814677381
2,-0.104857279497847,0.03883781108279406
3,-0.11742227756806893,0.04609864710069885
4,-0.13431809387618746,0.05407771409233959
5,-0.1562084887054608,0.06641424972925512
6,-0.16533333026858657,0.06998659236732176
7,-0.15798466732939395,0.06846720365692598
8,-0.1368872224372283,0.0848586596846592
9,-0.10451910315855287,0.08746617181766272
10,-0.08826484380118939,0.09009893297159088
11,-0.06272346177380454,0.0828098716871433
12,-0.07817557360020518,0.08318482959949801
13,-0.08523516243912545,0.08742528673986046
14,-0.10830103022703123,0.09641671968636788
15,-0.08891285835357457,0.09445806644344275
16,-0.10880769793909073,0.09311103329684606
17,-0.08555873106649672,0.08653441453081295
18,-0.032288821037204304,0.08598957507712734
19,0.02315592138888758,0.08495087526862899
20,0.03582984377324913,0.08930956346879292
21,0.03630118062246001,0.08444482152468781
22,0.028846944285425776,0.07394755477909727
23,0.03158031863212102,0.06989533327072486
24,0.10051020723659215,0.0808269124774933
25,0.1221348469380912,0.09184730286264872
26,0.12913016072695027,0.0763958109841233
27,0.16977533667450573,0.07954360562535558
28,0.21841720545967416,0.07213346794785506
29,0.2254787833387729,0.06510495064376108
30,0.19838646756053963,0.07146549578775199
31,0.20856577344441088,0.07979791510638752
32,0.2637000954979707,0.06993552503246567
33,0.28081794437412827,0.07689785939392631
34,0.2947679414258857,0.08899992136697572
35,0.28439685703527184,0.08473468890870675
36,0.21323856732979893,0.0762156638867019
37,0.21942109704115229,0.07767611267589747
38,0.1914641543240988,0.08728845294194046
39,0.20581469135799302,0.10483383527898286
40,0.16500208975768935,0.10731238839208351
41,0.11219274456576102,0.09962628752151179
42,0.1524861982634423,0.09681893955222479
43,0.15123971189914714,0.09459033245799105
44,0.1531272056591323,0.09385408541954084
45,0.14718255690558116,0.09376708470952609
46,0.13701279408924272,0.08108922024390709
47,0.17413882155590887,0.07535151367217104
48,0.1667104752955106,0.08301519498675877
