dyad,lpri_col,d2_col,F,partial_r2,n,valid
CHN-USA,lpri,d2pri,236.18466005868288,0.8249625854796097,383,True
CHN-JPN,lpri_jp,d2pri_jp,128.36012026026748,0.8393098534566661,383,True
CHN-AUS,lpri_aus,d2pri_aus,33.00575382391342,0.5956487178470169,383,True
CHN-FRA,lpri_fra,d2pri_fra,14.48561341426951,0.4984155389434529,383,True
CHN-DEU,lpri_ger,d2pri_ger,28.010489420841136,0.5964483174955948,383,True
CHN-GBR,lpri_uk,d2pri_uk,80.99442172877072,0.5624090870856824,383,True
CHN-RUS,lpri_rus,d2pri_rus,14.888646475925905,0.43195158268975165,383,True
CHN-IND,lpri_india,d2pri_india,11.621184686785806,0.484657871205712,383,True
CHN-IDN,lpri_indo,d2pri_indo,8.298207005499066,0.5209412424862505,383,False
CHN-PAK,lpri_pak,d2pri_pak,7.878618918503949,0.48448171653698946,383,False
CHN-VNM,lpri_vn,d2pri_vn,7.9875868953455775,0.5094210060755218,383,False
CHN-KOR,lpri_cds,d2pri_cds,8.371795602108902,0.45826924085388965,383,False
