dyad,h,coef,se,n,sig
CHN-USA,0,-0.023976323860097182,0.026348449990588493,383,0
CHN-USA,1,-0.07657168783953239,0.03852320710734828,382,1
CHN-USA,2,-0.12316886705366414,0.04415711166487165,381,1
CHN-USA,3,-0.12821484876121758,0.05109796623345709,380,1
CHN-USA,4,-0.13242890800802343,0.0596894047571962,379,1
CHN-USA,5,-0.14242709129166542,0.07385896795486578,378,1
CHN-USA,6,-0.17395882027358311,0.0782259406620964,377,1
CHN-USA,7,-0.1373092487951908,0.07677521860060674,376,1
CHN-USA,8,-0.07840380638981514,0.09736876471891528,375,0
CHN-USA,9,-0.061386983270494966,0.10074625888149993,374,0
CHN-USA,10,-0.0487830162969658,0.10581184496538432,373,0
CHN-USA,11,0.007105819790467649,0.09532032265003958,372,0
CHN-USA,12,-0.01803264822547135,0.0969896298601125,371,0
CHN-USA,13,-0.03594644088525456,0.1016097024976624,370,0
CHN-USA,14,-0.07310200610663742,0.11339717488662943,369,0
CHN-USA,15,-0.04273585619239384,0.10874662473783893,368,0
CHN-USA,16,-0.0740585286721398,0.11078186515950321,367,0
CHN-USA,17,-0.05474740398994982,0.10064101669644797,366,0
CHN-USA,18,0.028437429321002128,0.09798267119317837,365,0
CHN-USA,19,0.09366319007767743,0.09623779918674204,364,0
CHN-USA,20,0.11011419658484556,0.10766169695340423,363,0
CHN-USA,21,0.10771807236210407,0.1039131116809658,362,0
CHN-USA,22,0.08234872808134241,0.09421157954195931,361,0
CHN-USA,23,0.08423915500043222,0.08881606245604189,360,0
CHN-USA,24,0.15107349562640593,0.0922136815727191,359,0
CHN-USA,25,0.20707676785696094,0.10954657370271044,358,1
CHN-USA,26,0.17964385027698881,0.0859519965335,357,1
CHN-USA,27,0.22431480663044567,0.08980686792854607,356,1
CHN-USA,28,0.2330559506604004,0.07769941497510763,355,1
CHN-USA,29,0.2292854848060415,0.06753886978639943,354,1
CHN-USA,30,0.1999841320566702,0.07441728637786435,353,1
CHN-USA,31,0.19732236328582076,0.08357549043215744,352,1
CHN-USA,32,0.25457574829488294,0.07243910668262993,351,1
CHN-USA,33,0.28609807044540503,0.08024624234343253,350,1
CHN-USA,34,0.30533585628381843,0.09421454030318406,349,1
CHN-USA,35,0.2848623950071669,0.08904609347098788,348,1
CHN-USA,36,0.20195927417171333,0.07867449489812688,347,1
CHN-USA,37,0.2134942092775418,0.08021512262242306,346,1
CHN-USA,38,0.17770519860914646,0.09095978977914075,345,1
CHN-USA,39,0.18034801644898835,0.11117573358839374,344,0
CHN-USA,40,0.13568976108717834,0.11326800476119041,343,0
CHN-USA,41,0.07936799922345017,0.1044262456478112,342,0
CHN-USA,42,0.11139559867478965,0.1018606848654509,341,0
CHN-USA,43,0.11258150529238264,0.10053906192298086,340,0
CHN-USA,44,0.12553557914861813,0.10056370326335728,339,0
CHN-USA,45,0.10224667155489442,0.10536514482278826,338,0
CHN-USA,46,0.08604723328880937,0.09168707321899734,337,0
CHN-USA,47,0.09955501398781053,0.08587267143790032,336,0
CHN-USA,48,0.055519152160741214,0.09792619665620562,335,0
CHN-JPN,0,0.03068302072420437,0.04440853077415669,383,0
CHN-JPN,1,0.0013317888039665604,0.06001749252943921,382,0
CHN-JPN,2,-0.040809890501698476,0.0859019419232126,381,0
CHN-JPN,3,-0.07115086416308714,0.1130795033660235,380,0
CHN-JPN,4,-0.09923475093086154,0.1345577116582348,379,0
CHN-JPN,5,-0.17041946112742323,0.1669457178976298,378,0
CHN-JPN,6,-0.14021871493650906,0.16716362280807173,377,0
CHN-JPN,7,-0.14994167597124886,0.16384503097500955,376,0
CHN-JPN,8,-0.22242222306671522,0.19021105657450865,375,0
CHN-JPN,9,-0.2257656004737716,0.19160624289920467,374,0
CHN-JPN,10,-0.21979952333554453,0.1910678324438643,373,0
CHN-JPN,11,-0.25548003698626687,0.17804009099071946,372,0
CHN-JPN,12,-0.2463536165722644,0.16701983668288034,371,0
CHN-JPN,13,-0.27905621972581685,0.1798197703384102,370,0
CHN-JPN,14,-0.2835616140449133,0.190047156234175,369,0
CHN-JPN,15,-0.28944152181448146,0.20347341065165683,368,0
CHN-JPN,16,-0.2478637670248105,0.1817805179093692,367,0
CHN-JPN,17,-0.20840294384021263,0.17817664163883534,366,0
CHN-JPN,18,-0.2752623137899093,0.18770727238909932,365,0
CHN-JPN,19,-0.2846120219800383,0.187704650867977,364,0
CHN-JPN,20,-0.26660035114501035,0.16851816457429333,363,0
CHN-JPN,21,-0.2211242252299117,0.1497002011213803,362,0
CHN-JPN,22,-0.11399688212225101,0.12090791227121629,361,0
CHN-JPN,23,-0.10160959794961855,0.11489078124924995,360,0
CHN-JPN,24,-0.17347363090368617,0.1734146608528053,359,0
CHN-JPN,25,-0.16723184216493792,0.17427190477039026,358,0
CHN-JPN,26,-0.11587779847286583,0.17158025872120336,357,0
CHN-JPN,27,-0.04352968216539921,0.17718825751333547,356,0
CHN-JPN,28,0.05126456673087887,0.20696811222633998,355,0
CHN-JPN,29,0.114593761245942,0.27077366133348824,354,0
CHN-JPN,30,0.08768440680341882,0.2856203430370428,353,0
CHN-JPN,31,0.1422762223890004,0.304885473270078,352,0
CHN-JPN,32,0.11118317303407821,0.29828626647743484,351,0
CHN-JPN,33,0.07156757878829012,0.2891521947083428,350,0
CHN-JPN,34,0.03884248687018044,0.2903596976093538,349,0
CHN-JPN,35,0.11310694629560203,0.2965615753578796,348,0
CHN-JPN,36,0.16346107680919886,0.34434952785165873,347,0
CHN-JPN,37,0.1640260489505181,0.346642616405854,346,0
CHN-JPN,38,0.13806055762438518,0.3480082772433382,345,0
CHN-JPN,39,0.11977861516197663,0.3618117891146443,344,0
CHN-JPN,40,0.1315732648622543,0.3884979677178489,343,0
CHN-JPN,41,0.25364131812762025,0.38483975442714685,342,0
CHN-JPN,42,0.3480425852758344,0.37173523524561997,341,0
CHN-JPN,43,0.3524550929707857,0.31498032640831236,340,0
CHN-JPN,44,0.3131333964740861,0.2827569310634334,339,0
CHN-JPN,45,0.3003886831450018,0.21491476853116478,338,0
CHN-JPN,46,0.28300703831996543,0.17965928869327863,337,0
CHN-JPN,47,0.40258349359885415,0.16058264758415772,336,1
CHN-JPN,48,0.4153861346690064,0.1594492674872649,335,1
CHN-AUS,0,-0.1442280488954566,0.20369081009345,383,0
CHN-AUS,1,-0.5555963775168493,0.4657193992867067,382,0
CHN-AUS,2,-0.035900609704185626,0.5453611889391629,381,0
CHN-AUS,3,-0.19956169687065994,0.5966869088121485,380,0
CHN-AUS,4,-0.5351729025187524,0.5471237758082648,379,0
CHN-AUS,5,-0.660339942551218,0.5942720940765267,378,0
CHN-AUS,6,-0.6815593083756539,0.6757150713529437,377,0
CHN-AUS,7,-1.5245901026319189,0.7097358624744119,376,1
CHN-AUS,8,-1.5156672697048634,0.7332132969421762,375,1
CHN-AUS,9,-1.269152829059749,0.8302784198539895,374,0
CHN-AUS,10,-0.31896918681741226,1.1619379501474025,373,0
CHN-AUS,11,-0.3428418599833094,1.1452459371407149,372,0
CHN-AUS,12,0.35082382520340616,1.3490337616406731,371,0
CHN-AUS,13,-0.2287910700433713,1.5253028911877855,370,0
CHN-AUS,14,0.09005291112043778,1.4536086133542536,369,0
CHN-AUS,15,-1.0052815509006905,1.4139742921188174,368,0
CHN-AUS,16,-0.22173421645129565,1.406931451971044,367,0
CHN-AUS,17,-1.2191186464769999,1.5586314796938678,366,0
CHN-AUS,18,-0.8870476342053735,1.2290515934221053,365,0
CHN-AUS,19,-0.7676649421264301,1.1643501830525338,364,0
CHN-AUS,20,-0.7688542054238496,1.466837323711347,363,0
CHN-AUS,21,-0.8450511163246119,1.8347149648800591,362,0
CHN-AUS,22,-0.019975021845311858,1.7968047109822614,361,0
CHN-AUS,23,0.846210964184138,1.7597977530816946,360,0
