h,coef,se,n_obs,lo90,hi90,lo95,hi95
0,0.010280816218064205,0.03698704134948241,382,-0.050562866801834354,0.07112449923796277,-0.06221378482692132,0.08277541726304972
1,-0.032407446198343653,0.05283105666690798,381,-0.11931453441540728,0.05449964201871997,-0.1359563172654833,0.07114142486879599
2,-0.06050123727833316,0.05959973310415138,380,-0.15854279823466216,0.037540323677995854,-0.17731671416246986,0.056314239605803534
3,-0.08402935332411007,0.05202205153993887,379,-0.1696056281073095,0.0015469214590893704,-0.18599257434239025,0.017933867694170116
4,-0.10442040756242049,0.057618941844909406,378,-0.19920356689729646,-0.009637248227544512,-0.21735353357844292,0.008512718453601936
5,-0.08940861702159271,0.05614490040531303,377,-0.18176697818833265,0.0029497441451472317,-0.19945262181600626,0.020635387772820826
6,-0.14601489908436407,0.0513618060959497,376,-0.23050507011220134,-0.06152472805652681,-0.24668403903242547,-0.04534575913630266
7,-0.12195878040206423,0.05307059770147886,375,-0.20925991362099694,-0.03465764718313151,-0.2259771518969628,-0.017940408907165667
8,-0.09656032027591573,0.06275804002149706,374,-0.1997972961112784,0.006676655559446937,-0.21956607871804995,0.0264454381662185
9,-0.06666703028159363,0.06737458184039402,373,-0.1774982174090418,0.044164156845854535,-0.19872121068876591,0.06538715012557866
10,-0.10795054232119222,0.057321453702517074,372,-0.2022443336618328,-0.013656750980551635,-0.2203005915781257,0.004399506935741246
11,0.026880036559307232,0.05519641222333826,371,-0.0639180615480842,0.11767813466669867,-0.08130493139843575,0.13506500451705022
12,0.014501571549925263,0.05730860355275929,370,-0.07977108129436376,0.10877422439421429,-0.09782329141348295,0.12682643451333347
13,0.024228121243075086,0.07313908463864695,369,-0.09608567298749915,0.1445419154736493,-0.11912448464867292,0.16758072713482308
14,0.019119301472911774,0.05585700734196016,368,-0.0727654756046127,0.11100407855043624,-0.09036043291733015,0.1285990358631537
15,0.06940715968494732,0.06020454664384078,367,-0.029629319544170765,0.16844363891406539,-0.048593751736980606,0.18740807110687524
16,0.056017737729713954,0.060016164484805866,366,-0.0427088528477917,0.15474432830721963,-0.06161394466050554,0.17364942011993345
