h,coef,se,n_obs,lo90,hi90,lo95,hi95
0,-0.017534662690112057,0.028210146827447824,382,-0.06394035422126373,0.028871028841039613,-0.07282655047190979,0.03775722509168568
1,-0.04631915880854365,0.04462029479134405,381,-0.11971954374030461,0.02708122612321731,-0.13377493659957798,0.041136618982490686
2,-0.07606384846187986,0.04956187492116709,380,-0.1575931327071997,0.005465435783440012,-0.17320512330736737,0.021077426383607642
3,-0.08373754871927908,0.05133930462937875,379,-0.16819070483460713,0.0007156073960489784,-0.1843625857928614,0.016887488354303273
4,-0.0905158558590653,0.053297344530936756,378,-0.17818998761245625,-0.002841724105674334,-0.19497865113970134,0.013946939421570742
5,-0.10694815211004283,0.0594752121335011,377,-0.20478487606965212,-0.009111428150433518,-0.22351956789170496,0.009623263671619323
6,-0.14413704380299386,0.06046794245791179,376,-0.24360680914625876,-0.04466727845972897,-0.26265421102050096,-0.025619876585486756
7,-0.11102176244014217,0.0650281388844016,375,-0.21799305090498283,-0.004050473975301519,-0.23847691465356932,0.016433389773284984
8,-0.05276253075636106,0.07484689580401689,374,-0.17588567435396885,0.07036061284124673,-0.19946244653223416,0.09393738501951204
9,-0.03642056976042696,0.07763344371919018,373,-0.1641275846784948,0.0912864451576409,-0.1885821194500397,0.11574097992918578
10,-0.03248682713462969,0.07843873408050758,372,-0.16151854469706467,0.09654489042780529,-0.18622674593242455,0.12125309166316517
11,0.02373626064145995,0.08069934408478381,371,-0.10901416037800943,0.15648668166092933,-0.13443445376471633,0.18190697504763623
12,-0.011901713830052785,0.08129622232288088,370,-0.14563399955119183,0.12183057189108626,-0.1712423095828993,0.14743888192279372
13,-0.025239657167457352,0.08789237721101567,369,-0.16982261767957813,0.11934330334466342,-0.19750871650104806,0.14702940216613336
14,-0.07110344954418224,0.09683750905070032,368,-0.23040115193258426,0.08819425284421978,-0.26090496728355483,0.11869806819519038
15,-0.04279195817235504,0.09435671807896369,367,-0.1980087594122503,0.11242484306754022,-0.22773112560712386,0.14214720926241378
16,-0.07273956332174691,0.09295069638752815,366,-0.2256434588792307,0.08016433223573688,-0.2549229282413021,0.10944380159780825
17,-0.06480452967798556,0.08549741789998744,365,-0.2054477821234649,0.07583872276749379,-0.23237946876196094,0.10277040940598983
18,0.015660249715626406,0.07893464916252597,364,-0.11418724815672882,0.14550774758798163,-0.1390516626429245,0.17037216207417732
19,0.07380005468031925,0.07710197372817487,363,-0.05303269210252842,0.20063280146316692,-0.0773198138269035,0.224919923187542
20,0.06851009249844964,0.08229722517657015,362,-0.06686884291700826,0.20388902791390753,-0.09279246884762785,0.22981265384452712
21,0.05371918496982531,0.08662130868043748,361,-0.08877286780949434,0.19621123774914495,-0.11605858004383215,0.22349694998348277
22,0.027124179467605813,0.09190490754147117,360,-0.12405939343811426,0.17830775237332588,-0.15300943931367766,0.2072577982488893
23,0.02687986843447021,0.09792566217755949,359,-0.13420784584761516,0.1879675827165556,-0.1650544294335464,0.21881416630248682
24,0.0887838218294803,0.08879776526749229,358,-0.05728850203554453,0.23485614569450514,-0.08525979809480458,0.26282744175376516
25,0.14447464589405,0.10068057476210748,357,-0.021144899589616795,0.3100941913777168,-0.05285928063968065,0.3418085724277807
26,0.11255446533638036,0.08188666774768145,356,-0.02214910310855564,0.24725803378131636,-0.0479434034490753,0.27305233412183605
27,0.1593805586525079,0.08394340821743888,355,0.02129365213482093,0.29746746517019484,-0.005148521453672311,0.32390963875868806
28,0.1622918783253411,0.08478366661543116,354,0.02282274674295684,0.30176100990772536,-0.0038841082409039884,0.3284678648915862
29,0.1611144503213353,0.08116231560681247,353,0.027602441148128792,0.2946264594945418,0.002036311731982876,0.32019258891068775
30,0.1321978990705901,0.08573003073994521,352,-0.008828001496619775,0.27322379963779997,-0.03583296117970253,0.3002287593208827
31,0.12508099249425442,0.09629863929516724,351,-0.033330269146295693,0.2834922541348045,-0.06366434052427339,0.3138263255127822
32,0.17549541866522134,0.08169042185879152,350,0.04111467470750929,0.3098761626229334,0.015382191821989966,0.3356086455084527
33,0.19995980570249827,0.07801612098379558,349,0.07162328668415455,0.328296324720842,0.047048208574258926,0.3528714028307376
34,0.22293330633215902,0.08133819205582854,348,0.08913198040032108,0.35673463226399693,0.06351044990273508,0.38235616276158296
