h,diff,z,p,sig10
0,0.006690428468506156,0.16787246268198128,0.8666836142576959,False
1,0.012208038733667458,0.1909863187412836,0.8485363119266518,False
2,0.01644860888504457,0.23254470880797629,0.8161149661745821,False
3,0.022363568816986562,0.2991221590202838,0.7648468394207533,False
4,0.02374578259261806,0.3065977106682853,0.7591495963958277,False
5,0.020216351866225335,0.2257377260769015,0.8214054141559892,False
6,0.018990244949315643,0.20809859146240267,0.8351519869367241,False
7,0.016450252336704135,0.17101811024752286,0.8642095254579965,False
8,0.013116044096683196,0.11920131951936232,0.9051158612790822,False
9,0.014415719293608562,0.12701036382134445,0.8989321958403202,False
10,0.016456757526153304,0.14423675275473208,0.8853135198686415,False
11,0.017163839620258713,0.1475323392637155,0.8827118559582474,False
12,0.011035184687604432,0.09559401314048449,0.9238430202469579,False
13,0.005842679733480367,0.04732346148757246,0.9622554294647587,False
14,-0.002731157324546471,-0.020057871938204398,0.9839972067010436,False
15,-0.01075988892841289,-0.08044272141496822,0.9358851502004124,False
16,-0.009558974580689938,-0.07161460225337726,0.9429086189968654,False
17,-0.01506541078500439,-0.12276764544458979,0.9022910955993813,False
18,-0.017809952286807845,-0.15687172375021843,0.8753459450917589,False
19,-0.020101658264178354,-0.18027287685447524,0.8569383479491246,False
20,-0.02835472764325825,-0.23878756637179033,0.8112703119761093,False
21,-0.03994446225346465,-0.3187594891451989,0.7499088999496315,False
22,-0.04300988591774603,-0.3248697375384052,0.7452796615777026,False
23,-0.040331605117754424,-0.28726595793508103,0.7739086862617655,False
24,-0.03687347718085354,-0.28883803172312966,0.7727053267854278,False
25,-0.035552759263241,-0.246139124536391,0.805574537517654,False
26,-0.034860889088204505,-0.29573336527839467,0.7674337144738816,False
27,-0.03044448065462707,-0.2572278634436909,0.7970028755831884,False
28,-0.027989837998630945,-0.23452037679021273,0.8145810158348887,False
29,-0.026236118834869343,-0.2212482171703271,0.8248991675037862,False
30,-0.023596038721475227,-0.18426145599901336,0.8538083498104201,False
31,-0.024299860624661995,-0.16678470356081124,0.8675394548877722,False
32,-0.031918599993806335,-0.26024499365434506,0.7946747996610204,False
33,-0.035050887844505496,-0.3025957880569721,0.7621979247219599,False
34,-0.028071158197663648,-0.23298826805034828,0.8157705158471766,False
35,-0.028015147072297242,-0.2303632056728655,0.8178095499377831,False
36,-0.03175648550189519,-0.2822046737732223,0.7777865747619273,False
37,-0.0373624166389053,-0.3388599307524988,0.7347152510393307,False
38,-0.032589114677971806,-0.28243009257711466,0.7776137432646524,False
39,-0.030772721384831267,-0.23455925672192585,0.8145508357457256,False
40,-0.03038587422035441,-0.23036031444949767,0.8178117963965619,False
41,-0.032462327515947645,-0.2482512760991165,0.8039399951540649,False
42,-0.04597087864407774,-0.3556663315384767,0.722090461945794,False
43,-0.05444588919981645,-0.4539804359692256,0.6498429080961508,False
44,-0.0617114659068832,-0.5293955838751362,0.5965310610143442,False
45,-0.06982797459792431,-0.5876489704445623,0.5567679340117704,False
46,-0.07635445358463692,-0.6698435445146933,0.5029575317652069,False
47,-0.0722435212658289,-0.5920809064989405,0.5537964119149279,False
48,-0.06758504184224402,-0.4883597347011646,0.6252950571878533,False
