h,coef,se,n_obs,lo90,hi90,lo95,hi95
0,1.3212569177211406,0.931814956141108,382,-0.211578685130982,2.8540925205732632,-0.505100396315431,3.1476142317577125
1,-0.14732070429053423,1.524221975166348,381,-2.6546658534391767,2.360024444858108,-3.134795775616576,2.840154367035508
2,-3.9626390027646785,1.5500223958793988,380,-6.512425843986289,-1.4128521615430674,-7.0006828986883,-0.924595106841057
3,-0.5197957367458365,1.670506144432161,379,-3.267778344336741,2.228186870845068,-3.793987779832872,2.754396306341199
4,0.14455504837602245,1.6809697682716636,378,-2.620640220430864,2.9097503171829087,-3.150145697436438,3.4392557941884827
5,-0.020900052141116177,1.6750832307564514,377,-2.7764119667354787,2.7346118624532467,-3.3040631844237605,3.2622630801415284
6,1.7709452739658107,1.5988727098065183,376,-0.8592003336659118,4.401090881597533,-1.362845237254965,4.9047357851865865
7,-2.396497639475258,1.386587639690808,375,-4.677434306766637,-0.11556097218387906,-5.114209413269242,0.32121413431872536
8,-2.6367426846266833,1.3683691731232248,374,-4.887709974414388,-0.3857753948389786,-5.318746263948204,0.045260894694837184
9,-0.653788656460963,1.8847658156165417,373,-3.754228423150174,2.446651110228248,-4.347929655069384,3.0403523421474588
10,-0.26136357813645245,1.569928531516272,372,-2.84389601248072,2.3211688562078154,-3.3384234999083455,2.815696343635441
11,-1.7800952951477025,1.5326129370362478,371,-4.301243576572331,0.7410529862769253,-4.784016651738748,1.2238260614433432
12,1.1603935688176021,1.5014160649782151,370,-1.3094358580715617,3.6302229957067658,-1.7823819185396996,4.103169056174904
13,2.1315915564128933,1.3563618131022108,369,-0.09962362614024345,4.3628067389660306,-0.5268775972674398,4.790060710093226
14,-0.8389404685463969,1.6764162408555232,368,-3.5966451847537324,1.9187642476609388,-4.124716300623223,2.4468353635304285
15,-0.45928854320070844,1.5900824773281874,367,-3.074974218405577,2.15639713200416,-3.5758501987639555,2.657273112362539
16,-1.8060440309568924,1.4283512777057932,366,-4.155681882782922,0.5435938208691373,-4.605612535260247,0.9935244733464621
17,-1.0532273668310477,2.1133226625041317,365,-4.529643146650344,2.4231884129882486,-5.195339785339146,3.0888850516770505
18,1.4217529156543034,1.5938153861210707,364,-1.200073394514858,4.043579225823465,-1.7021252411429952,4.545631072451602
19,1.4948878790972269,1.6579679814197914,363,-1.2324694503383302,4.222245208532784,-1.7547293644855642,4.7445051226800175
20,3.643222835704402,1.3653519741466318,362,1.3972188382331927,5.889226833175611,0.9671329663770036,6.3193127050318
21,1.0186125623471796,1.686548933808722,361,-1.755760433768168,3.792985558462527,-2.287023347917916,4.324248472612275
22,2.185560672536587,1.7947625556149733,360,-0.7668237314500441,5.137945076523218,-1.3321739364687608,5.703295281541935
23,1.8972332997085684,1.6015288419483424,359,-0.737281645296455,4.531748244713592,-1.241763230510183,5.036229829927319
24,0.671161071925156,1.5842408536356904,358,-1.934915132305555,3.2772372761558666,-2.433951001200797,3.7762731450511096
25,-0.044194667817178165,2.060080573644718,357,-3.4330272114627394,3.3446378758283832,-4.0819525921608255,3.993563256526469
26,0.5619154402853567,1.582404168922659,356,-2.0411394175924173,3.1649702981631305,-2.539596730803055,3.663427611373768
27,2.442431169412071,1.5159870431519535,355,-0.0513675165728924,4.936229855397034,-0.5289034351657578,5.413765773989899
28,-1.4939980855606994,1.6864474283087099,354,-4.268204105128527,1.2802079340071284,-4.799435045045771,1.8114388739243719
29,0.3445838994645992,1.5407341663421783,353,-2.189923804168284,2.8790916030974825,-2.67525506656607,3.3644228654952686
30,-1.1419953209760216,1.7414018221124539,352,-4.0066013183510085,1.722610676398965,-4.555142892316431,2.2711522503643877
31,-3.6471116527939484,1.4974617669092285,351,-6.110436259359629,-1.1837870462282676,-6.582136715936036,-0.7120865896518604
32,-2.808137361820799,1.3796657748176693,350,-5.077687561395865,-0.538587162245733,-5.512282280463431,-0.10399244317816736
33,0.765178490242303,1.766730122656648,349,-2.1410925615278833,3.671449542012489,-2.6976125501647275,4.227969530649333
34,-0.09741997013411931,1.6909461000063586,348,-2.879026304644579,2.6841863643763406,-3.411674326146582,3.2168343858783435
35,-1.4403865186141582,1.5519837607546991,347,-3.9933998050556383,1.112626767827322,-4.4822746896933685,1.6015016524650518
36,0.44947062803508575,1.566896438530896,346,-2.1280740133482388,3.02701526941841,-2.621646391485471,3.520587647555642
37,-1.3582748101234077,1.5412922745416178,345,-3.893700601744369,1.1771509814975536,-4.3792076682249785,1.6626580479781632
38,-0.09170697439542794,1.8288803492438528,344,-3.1002151489015657,2.91680120011071,-3.676312458913379,3.4928985101225236
39,0.31744931232571916,1.7207644966423101,343,-2.513208284650881,3.148106909302319,-3.0552491010932084,3.690147725744647
40,1.7457743946760624,1.5362064072590886,342,-0.7812851452651386,4.272833934617264,-1.2651901635517513,4.756738952903876
41,-0.8235830027667433,1.8601277828141936,341,-3.883493205496092,2.236327199962605,-4.4694334570825625,2.822267451549076
42,2.5916789975759476,1.4696591251046274,340,0.17408973677883566,5.0092682583730594,-0.2888528876291221,5.472210882781017
