h,coef,se,n_obs,lo90,hi90,lo95,hi95
0,0.005793435574813609,0.02030525521193744,382,-0.02760870924882348,0.0391955803984507,-0.034004864640583776,0.04559173579021099
1,0.02416564787399563,0.05462023715369429,381,-0.06568464224383147,0.11401593799182275,-0.08289001694724518,0.13122131269523643
2,0.059718610945038074,0.07094673772566532,380,-0.05698877261368137,0.1764259945037575,-0.07933699499726593,0.1987742168873421
3,0.1197872539449081,0.07180611039071126,379,0.0016662023521880759,0.23790830553762815,-0.020952722420885972,0.2605272303107022
4,0.09513560840944424,0.08064274781084323,378,-0.037521711739392866,0.22779292855828134,-0.06292417729980848,0.25319539411869696
5,0.04090738231842686,0.08495387507602585,377,-0.09884174218163566,0.18065650681848938,-0.12560221283058381,0.20741697746743754
6,0.10918360880066061,0.09008729753501925,376,-0.039009995644446044,0.25737721324576723,-0.06738749436797711,0.28575471196929836
7,0.09180093988742133,0.08336538538421082,375,-0.04533511906960547,0.22893699884444813,-0.07159521546563186,0.2551970952404745
8,0.07641190561835702,0.09323381609427588,374,-0.0769577218567268,0.22978153309344085,-0.1063263739264237,0.25915018516313776
9,0.00887684136655724,0.08835331624677746,373,-0.1364643638593917,0.15421804659250615,-0.16429565847712657,0.18204934121024108
10,-0.027014216293008778,0.08235555028921668,372,-0.1624890965187702,0.10846066393275265,-0.18843109485987347,0.1344026622738559
11,0.10310442230479097,0.09486501009181755,371,-0.052948519296248914,0.2591573639058309,-0.08283099747517142,0.28903984208475336
12,0.15269083565194191,0.11141734039207545,370,-0.030590689293022194,0.33597236059690605,-0.06568715151652596,0.37106882282040976
13,0.16470454781145427,0.10516699770404672,369,-0.008295163411702583,0.3377042590346111,-0.0414227676884773,0.37083186331138585
14,0.13469983642714203,0.0817228867614163,368,0.00026568770461221636,0.26913398514967185,-0.02547702162523391,0.294876694479518
15,0.020945003645763256,0.08053514010288408,367,-0.11153530182348105,0.15342530911500757,-0.13690387095588952,0.17879387824741605
16,0.11592570797733576,0.07638316070257306,366,-0.00972459137839693,0.24157600733306844,-0.03378528699970745,0.26563670295437897
17,0.13136581382394213,0.08628344580906491,365,-0.010570454531969642,0.2733020821798539,-0.037749739961825096,0.30048136760970934
18,-0.02853661058223193,0.07658256257212441,364,-0.15451492601337657,0.09744170484891272,-0.17863843322359577,0.12156521205913191
19,-0.04608795496518179,0.08150705984550392,363,-0.18016706841103575,0.08799115848067218,-0.20584179226236948,0.11366588233200592
20,-0.08520280150100269,0.08697854562996622,362,-0.22828250906229713,0.057876906060291736,-0.2556807509357365,0.0852751479337311
21,-0.06695056666604424,0.09632154625929946,361,-0.22539951026259186,0.09149837693050339,-0.2557407973342712,0.12183966400218271
22,-0.05710816181460521,0.08437566320700192,360,-0.19590612779012337,0.08168980416091295,-0.22248446170032896,0.10826813807111854
23,0.008965116129866422,0.09803663291010946,359,-0.15230514500726364,0.17023537726699647,-0.1831866843739481,0.20111691663368095
24,0.05548406970311154,0.07893977905039368,358,-0.07437186683478605,0.18534000624100913,-0.09923789723566007,0.21020603664188314
25,-0.03743440926456604,0.08856188272640245,357,-0.18311870634949806,0.10824988782036599,-0.21101569940831483,0.13614688087918275
26,0.0261414730263802,0.08093538023869289,356,-0.1069972274662696,0.15928017351903,-0.13249187224145786,0.18477481829421827
27,0.02414686373892942,0.07878144649983307,355,-0.10544861575329599,0.15374234323115482,-0.1302647714007434,0.17855849887860223
28,0.054400271466089986,0.0815496349747404,354,-0.07974887806735796,0.18854942099953792,-0.10543701308440119,0.21423755601658118
29,0.02182632395039367,0.09280820004297574,353,-0.13084316512030145,0.17449581302108877,-0.1600777481338388,0.20373039603462612
30,0.048301622246269854,0.0885556404324292,352,-0.09737240626507618,0.1939756507576159,-0.12526743300129137,0.22187067749383108
31,0.14161565935924958,0.10473773286497837,351,-0.03067791120363983,0.313909229922139,-0.06367029705610802,0.3469016157746072
32,0.1392383027888556,0.09197124029665495,350,-0.012054387499141783,0.290530993076853,-0.041025328192588084,0.3195019337702993
33,0.15962345798105101,0.0760762334144917,349,0.03447805401421217,0.28476886194788986,0.010514040488647292,0.30873287547345474
34,0.11204809340031031,0.08531617996501938,348,-0.02829702264214655,0.25239320944276716,-0.05517161933112767,0.2792678061317483
35,0.07853456567543056,0.08333659237078851,347,-0.05855412877451653,0.21562326012537764,-0.08480515537131493,0.24187428672217604
36,0.08681526859174306,0.08214531055769601,346,-0.04831376727566687,0.22194430445915297,-0.07418954010134111,0.24782007728482724
37,0.10847357113221105,0.07223174686655835,345,-0.010347652463277443,0.22729479472769953,-0.03310065272624331,0.25004779499066543
38,0.10998710824857426,0.08206832145807945,344,-0.025015280549966448,0.24498949704711498,-0.05086680180926147,0.27084101830641
39,0.055400364898042585,0.10484383710739434,343,-0.11706774714362109,0.22786847693970627,-0.15009355583245032,0.2608942856285355
40,0.08480436000329934,0.10877394678146912,342,-0.09412878245221735,0.26373750245881605,-0.12839257568838014,0.2980012956949788
41,0.0758861319211289,0.11624157297914998,341,-0.11533125562957282,0.26710351947183064,-0.15194735111800506,0.3037196149602629
42,-0.0006230825576999735,0.09734175816049305,340,-0.16075027473171102,0.1595041096163111,-0.19141292855226635,0.19016676343686642
43,-0.002751237297173101,0.08113904400102241,339,-0.13622496467885498,0.13072249008450876,-0.16178376353917703,0.15628128894483082
