h,coef,se,lo90,hi90
0,-0.02170710676079428,0.02408075427008124,-0.06131994753507792,0.017905734013489362
1,-0.0787714207200023,0.05039655763316079,-0.16167375802655182,0.004130916586547198
2,-0.11318417476986636,0.07233058522358222,-0.23216798746265913,0.005799637922926398
3,-0.07025778775979703,0.05642509428566081,-0.16307706785970905,0.022561492340114994
4,-0.0751152042692194,0.05129689007171776,-0.1594985884371951,0.00926817989875632
5,-0.10675575495084019,0.05500708386164556,-0.19724240790324715,-0.016269101998433247
6,-0.14059983835786966,0.06765210388262696,-0.251887549244791,-0.0293121274709483
7,-0.14955726858268947,0.08549657588783273,-0.2901991359181743,-0.008915401247204635
8,-0.1188376395544672,0.08461805325515448,-0.2580343371591963,0.020359058050261905
9,-0.10467733000001496,0.1009109169111379,-0.2706757883188368,0.061321128318806886
10,-0.04798874906459838,0.09693043092889869,-0.20743930794263674,0.11146180981343998
11,-0.017829628549872238,0.08493417933213754,-0.1575463535512385,0.12188709645149401
12,-0.026067155200234414,0.08827374069602491,-0.1712774586451954,0.11914314824472655
13,-0.054851712035173014,0.09413106668419255,-0.20969731673066977,0.09999389266032373
14,-0.05753917623709032,0.09315446536524262,-0.21077827176291442,0.09569991928873378
15,-0.04525677255780998,0.09182982200437648,-0.1963168297550093,0.10580328463938933
16,-0.0021395214865129186,0.0954289409721912,-0.15912012938576744,0.1548410864127416
17,0.02143926998942121,0.10347623179039712,-0.14877913130578208,0.19165767128462446
18,0.01706090975090263,0.10032807582370643,-0.14797877497909445,0.1821005944808997
19,0.004934956628436599,0.10805205663933415,-0.17281067654326807,0.18268058980014126
20,-0.036645792301042236,0.11713802751033539,-0.22933784755554396,0.1560462629534595
21,-0.08506885279922251,0.12919754954222207,-0.2975988217961778,0.12746111619773282
22,-0.13996173123157363,0.14281368301357017,-0.3748902397888966,0.09496677732574929
23,-0.10456050996968094,0.1251318550112818,-0.3104024114632395,0.1012813915238776
24,-0.06661531354687814,0.11557044325455258,-0.25672869270061716,0.12349806560686086
25,-0.054171631236767936,0.11536225784962542,-0.24394254539940174,0.13559928292586587
26,-0.04725953534390448,0.10803918635411314,-0.2249839968964206,0.13046492620861164
27,-0.04364046237893243,0.11056963281838002,-0.22552750836516755,0.1382465836073027
28,-0.03221466414508209,0.11045933959369095,-0.2139202777767037,0.14949094948653951
29,-0.06405199945928683,0.11305156113219314,-0.25002181752174457,0.12191781860317089
30,-0.11654145342796252,0.12660832014272297,-0.32481214006274184,0.09172923320681678
31,-0.12091177590202734,0.12742463150096436,-0.3305252947211137,0.08870174291705904
32,-0.1146047306920521,0.11545153019761628,-0.30452249786713087,0.07531303648302667
33,-0.09956729078753333,0.10636277610685589,-0.2745340574833113,0.0753994759082446
34,-0.10385442192358052,0.11072088550111552,-0.28599027857291554,0.0782814347257545
35,-0.0792515737631248,0.1232809516052017,-0.28204873915368156,0.12354559162743198
36,-0.04178565053300287,0.1182047873787373,-0.23623252577102571,0.15266122470501997
37,-0.0003367649923041438,0.11601346567823013,-0.19117891603299272,0.19050538604838443
38,0.044334873144225406,0.11428107779348307,-0.14365749982605425,0.23232724611450506
39,0.06822126361873904,0.11079886747008008,-0.11404287336954269,0.25048540060702074
40,0.07982766333436098,0.111644820444348,-0.10382806629659147,0.2634833929653134
41,0.11423847185991198,0.11376424275780338,-0.07290370747667457,0.30138065119649854
42,0.07035549388527296,0.10708452399819775,-0.10579854809176234,0.24650953586230825
43,0.09192239736325614,0.10863925706568008,-0.0867891805097876,0.27063397523629984
44,0.10876832264647751,0.11258350747246768,-0.0764315471457318,0.2939681924386868
45,0.15358350762759648,0.12645877296803007,-0.054441173904812984,0.3616081891600059
46,0.14117415440929382,0.12820678954489095,-0.06972601439205181,0.3520743232106395
47,0.1290698708517379,0.1321468216949998,-0.08831165083653678,0.34645139254001256
48,0.1502681830583049,0.12297410898013983,-0.05202422621402514,0.3525605923306349
