h,coef,se,lo90,hi90
0,-0.0052865428283738365,0.0033541167755961015,-0.010804064924229424,0.00023097926748175037
1,-0.010202397009601427,0.005259438730193357,-0.0188541737207695,-0.0015506202984333552
2,-0.01190583483686928,0.005919472691156492,-0.02164336741382171,-0.0021683022599168506
3,-0.009301749979305232,0.006022797195037194,-0.019209251365141414,0.0006057514065309511
4,-0.005955533815832078,0.006340129126194409,-0.01638504622842188,0.004473978596757725
5,-0.0032299415704706964,0.005999546262290875,-0.013099195171939186,0.0066393120309977925
6,2.660556529638508e-05,0.005906798158477528,-0.00969007740539915,0.00974328853599192
7,0.0041564048904393445,0.0062018516412030555,-0.006045641059339682,0.01435845084021837
8,0.008193958608125324,0.006852846262578365,-0.0030789734938160875,0.019466890710066735
9,0.010352601821464876,0.006967082985844843,-0.0011082496902498906,0.021813453333179644
10,0.013205713416246809,0.007427812445378487,0.0009869619435991968,0.02542446488889442
11,0.014643989537611014,0.0077398013610327845,0.0019120162987120836,0.027375962776509943
12,0.015978008562838396,0.008875060703696437,0.001378533705257758,0.030577483420419035
13,0.01885972039429074,0.009746149516477242,0.002827304439685676,0.034892136348895805
14,0.02329290369602604,0.009051824528800432,0.008402652346149328,0.03818315504590275
15,0.026036347398285545,0.008608511266386617,0.01187534636507956,0.04019734843149153
16,0.02795557877015075,0.00888984197336095,0.013331788723971987,0.04257936881632951
17,0.026942894030330015,0.010527332047718952,0.009625432811832337,0.044260355248827696
18,0.027486323547127996,0.012082509508607108,0.007610595405469302,0.04736205168878669
19,0.02980279719300505,0.011728538287516747,0.010509351710039999,0.0490962426759701
20,0.031189122001776717,0.011294486515178127,0.0126096916843087,0.049768552319244735
21,0.031056132695707582,0.011428752217782934,0.012255835297454654,0.04985643009396051
22,0.028807605865679882,0.012004033489043718,0.009060970776202965,0.0485542409551568
23,0.03072816894232879,0.01305258828233366,0.00925666121788992,0.05219967666676766
24,0.03614533827137095,0.013037767264918915,0.014698211120579337,0.057592465422162564
25,0.03718726093609053,0.013018755962632175,0.015771407377560602,0.05860311449462046
26,0.03912468110268558,0.013025244953483964,0.017698153154204456,0.0605512090511667
27,0.040855025257062534,0.01326905813697551,0.019027424621737822,0.06268262589238724
28,0.04159059768540644,0.01355162375175249,0.01929817661377359,0.06388301875703929
29,0.04254670352235087,0.013350980966222906,0.02058433983291419,0.06450906721178755
30,0.04291171096992684,0.012946955926355936,0.021613968471071325,0.06420945346878235
31,0.04322246339183227,0.013072340583161165,0.021718463132532152,0.06472646365113238
32,0.04476349912975374,0.01350811895627582,0.022542643446680017,0.06698435481282747
33,0.0464488450483658,0.014098663341203282,0.023256543852086402,0.0696411462446452
34,0.04695258444499322,0.014534871773219785,0.023042720378046676,0.07086244851193976
35,0.04898261258224038,0.014303638004126967,0.02545312806545152,0.07251209709902924
36,0.050510912566016926,0.014514068777363194,0.02663526942725447,0.07438655570477938
37,0.04951410429822946,0.015083734430356136,0.024701361160293613,0.0743268474361653
38,0.05262233833455481,0.015151701260550078,0.027697789760949932,0.0775468869081597
39,0.0570759334058317,0.014889589606671045,0.03258255850285783,0.08156930830880557
40,0.06032339257101575,0.014071028070349599,0.03717655139529066,0.08347023374674084
41,0.061651461509187676,0.01335769971398656,0.039678045479679784,0.08362487753869557
42,0.058961418879278166,0.013868065720144802,0.03614845076963996,0.08177438698891637
43,0.06154404851725001,0.014322127397477435,0.03798414894839963,0.08510394808610039
44,0.06477515044143478,0.01389727699962854,0.04191412977704583,0.08763617110582372
45,0.06650108236146156,0.013917369580056863,0.04360700940226802,0.08939515532065509
46,0.06663060944650122,0.013582989341150828,0.044286591980308106,0.08897462691269434
47,0.06374402689697156,0.013133534670660247,0.04213936236373546,0.08534869143020767
48,0.06109086670488054,0.013229841369011574,0.0393277776528565,0.08285395575690459
