h,n,F,coef,se,lo90,hi90
0,382,194.32245000988473,-0.030346552704660468,0.036993657998642404,-0.09120112011242723,0.03050801470310629
1,381,194.6461537437452,-0.07385506500084382,0.06145847947443476,-0.174954263736289,0.027244133734601356
2,380,196.35690958667246,-0.11748918775551154,0.06763791132057533,-0.22875355187785795,-0.006224823633165122
3,379,238.47472967843143,-0.134538583252219,0.07180828565076036,-0.2526632131477198,-0.01641395335671822
4,378,247.3397970955386,-0.14273829747614997,0.07390723732577202,-0.2643157028770449,-0.021160892075254997
5,377,246.85422106407248,-0.16049256724617678,0.0884152526846926,-0.3059356579124961,-0.015049476579857446
6,376,248.41086886652184,-0.20769003469737513,0.09072355348754359,-0.35693028018438433,-0.05844978921036592
7,375,248.43664827565757,-0.15973657028241917,0.09480343007910659,-0.31568821276254955,-0.003784927802288812
8,374,248.98139578214145,-0.0838696506963501,0.10777665306427833,-0.26116224498708795,0.09342294359438774
9,373,249.11373148685146,-0.06363934250173386,0.11154299387319352,-0.2471275674231372,0.11984888241966948
10,372,249.28464597768092,-0.0630075449146652,0.11281329944815528,-0.24858542250688065,0.12257033267755024
11,371,248.93933259387867,0.01154625088475214,0.11227229800053551,-0.17314167932612878,0.19623418109563306
12,370,250.53350073377607,-0.02561313805395571,0.11078813689256357,-0.2078596232422228,0.15663334713431137
13,369,250.73758984074027,-0.033245753279160795,0.11880285597498945,-0.22867645135801845,0.16218494479969686
14,368,250.52327093582116,-0.08692607005868425,0.1297067083306945,-0.3002936052626767,0.1264414651453082
15,367,250.9757718063215,-0.04257599008692381,0.12929030094136953,-0.2552585351354767,0.17010655496162908
16,366,250.91167602111352,-0.08947099529408575,0.12940939798744033,-0.30234945498342514,0.1234074643952536
17,365,251.01739117663826,-0.07512489050502325,0.11745065040838278,-0.2683312104268129,0.11808142941676641
18,364,250.89333647468226,0.031420497702583816,0.1091837783543713,-0.148186817690357,0.21102781309552462
19,363,251.79898679414262,0.11291827126808585,0.10745748972908638,-0.06384929933626124,0.28968584187243296
20,362,264.673184419961,0.11993818256734556,0.11383533104425757,-0.06732093700045813,0.3071973021351493
21,361,263.53306595719823,0.11813975429285506,0.11898564629002785,-0.07759163385424075,0.31387114243995085
22,360,260.25942834078427,0.08725757249358423,0.12332413789186304,-0.11561063433853047,0.29012577932569894
23,359,260.75572549564356,0.0831451792878184,0.1290276418330488,-0.12910529152754688,0.2953956501031837
24,358,260.6838597953867,0.1617643766305008,0.1258074657972735,-0.0451889046060141,0.3687176578670157
25,357,261.00905191049145,0.23680548507262955,0.1460024197662098,-0.003368495442785585,0.4769794655880447
26,356,261.87162459718263,0.19381535385736726,0.11830684517892004,-0.000799406461956198,0.3884301141766907
27,355,261.7937309373714,0.24648482797032045,0.11518024877683888,0.05701331873242049,0.4359563372082204
28,354,261.13302336478637,0.24992773450701122,0.11511420202118214,0.06056487218216661,0.43929059683185584
29,353,262.28397512592187,0.2522141892490808,0.1154959925337404,0.06222328153107781,0.44220509696708377
30,352,262.5849485521119,0.21056953543319423,0.1253616459478538,0.004349627848974746,0.4167894430174137
31,351,262.8563914996827,0.20041519241554795,0.14228651034904372,-0.03364611710862897,0.43447650193972487
32,350,265.09122695094993,0.27467936321360753,0.12003084734330322,0.07722861933387373,0.47213010709334136
33,349,265.77979582714687,0.30485058142107135,0.11306236258074312,0.11886299497574893,0.4908381678663938
34,348,267.9017835240159,0.3282151675033518,0.11691137854526173,0.13589594979639621,0.5205343852103074
35,347,270.07597959038065,0.2918636153531651,0.12170711473727194,0.09165541161035273,0.4920718190959774
36,346,275.1445444637014,0.16936570104898152,0.11300324582726594,-0.016524638336870956,0.355256040434834
37,345,275.58455840229055,0.18635514635715822,0.1096188812925496,0.0060320866309141186,0.3666782060834023
38,344,275.56939458004604,0.14431975500403382,0.11376246248938851,-0.04281949579101027,0.33145900579907794
39,343,275.22176351733236,0.1500356405464629,0.12642787458175658,-0.05793821314052669,0.3580094942334525
40,342,283.7359010543825,0.0907134343107856,0.12654619427237127,-0.11745505526726513,0.29888192388883633
41,341,284.6458808774436,0.02292281712062305,0.1294623757271169,-0.19004279095048426,0.23588842519173037
42,340,284.65599292321014,0.07244830482811437,0.12866893512889158,-0.13921209345891228,0.284108703115141
43,339,285.16356208710425,0.07670091583225513,0.1187764483008715,-0.11868634162267849,0.27208817328718876
44,338,284.6909722070294,0.10767345403127138,0.11734645473515998,-0.0853614640080668,0.3007083720706095
45,337,285.31892069701576,0.07190351828869268,0.12164018458122827,-0.12819458534742784,0.2720016219248132
46,336,324.80629471869764,0.055681169964351795,0.11363594197336066,-0.1312499545818265,0.2426122945105301
47,335,328.74106703326726,0.06861272064745094,0.12101887408839593,-0.13046332722796036,0.2676887685228623
48,334,352.17684209738195,0.004197488943418648,0.1365206780129756,-0.22037902638792622,0.22877400427476352
