h,coef,se,n,lo90,hi90
0,-1.6696713456276768e-17,1.5955626666170421e-15,2674,-2.641397300041311e-15,2.6080038731287575e-15
1,0.0003001145385886682,0.0032170486501561114,2667,-0.0049919304909181355,0.005592159568095472
2,-0.00028503075444569204,0.005320084757608874,2660,-0.00903657018071229,0.008466508671820906
3,-0.0010132579849617103,0.006585817021115201,2653,-0.011846926984696214,0.009820411014772795
4,-0.0011964254522800744,0.007297213395685094,2646,-0.013200341488182055,0.010807490583621907
5,-0.0017253494240001559,0.007829435843153532,2639,-0.014604771385987717,0.011154072537987406
6,-0.0019016029328041417,0.008127885041487,2632,-0.015271973826050255,0.011468767960441972
7,-0.0012483731279940068,0.00839647748092205,2625,-0.015060578584110779,0.012563832328122766
8,-0.00152891717670184,0.00893298758618451,2618,-0.016223681755975362,0.01316584740257168
9,-0.001707908683373105,0.009346680015427157,2611,-0.01708319730875078,0.013667379942004568
10,-0.0012181763710363558,0.009669754777850493,2604,-0.017124922980600418,0.014688570238527706
11,-0.0008604053406498659,0.010042551067117704,2597,-0.01738040184605849,0.015659591164758756
12,-0.0007540364045624565,0.01036542788557303,2590,-0.01780516527633009,0.016297092467205176
13,-0.0010146154575017769,0.010588086880107981,2583,-0.018432018375279406,0.016402787460275854
14,-0.0011445333545746506,0.010595193462269656,2576,-0.018573626600008233,0.016284559890858932
15,-0.0009318224019877664,0.010383967648396721,2569,-0.018013449183600372,0.016149804379624842
16,-0.0011209781961269375,0.010133476200102026,2562,-0.017790546545294772,0.015548590153040895
17,-0.0010705867211352731,0.010006828596705196,2555,-0.01753181976271532,0.015390646320444774
18,-0.0007928916639726724,0.009989475540334677,2548,-0.017225578927823216,0.01563979559987787
19,-0.0006032704523202686,0.009851316634813569,2541,-0.01680868631658859,0.015602145411948052
20,-0.0006124081720632162,0.009701893404341378,2534,-0.016572022822204782,0.01534720647807835
21,-0.0006205190394787284,0.009731173004769906,2527,-0.016628298632325223,0.015387260553367765
22,-0.0006628917570503656,0.009919020918905645,2520,-0.016979681168650153,0.01565389765454942
23,-0.0006534120111042215,0.009878575003390592,2513,-0.016903667891681746,0.015596843869473305
24,-0.0006790272852580112,0.009707440006347878,2506,-0.016647766095700272,0.015289711525184251
25,-0.0006933702750514725,0.009839874700173978,2499,-0.01687996415683767,0.015493223606734722
26,-0.0005348453510362061,0.010038516094968116,2492,-0.017048204327258756,0.015978513625186343
27,-0.0006186908260398062,0.010010514570241633,2485,-0.017085987294087293,0.015848605642007678
28,-0.0005051890814400575,0.010024431288755582,2478,-0.016995378551442994,0.015985000388562876
29,-0.0003695650970805802,0.010146696801299156,2471,-0.017060881335217694,0.01632175114105653
30,-0.0002478601765601024,0.01029675730318706,2464,-0.01718602594030282,0.016690305587182614
31,-0.00015254974804543555,0.010229155499623511,2457,-0.01697951054492611,0.016674411048835238
32,-6.356960758201191e-05,0.010245603450785928,2450,-0.016917587284124864,0.01679044806896084
33,-0.00014976483025658065,0.010408569538336061,2443,-0.017271861720819404,0.01697233206030624
34,-0.0001669179374141766,0.010195944041289864,2436,-0.016939245885336005,0.01660541001050765
35,-0.00020403725749241366,0.0099917933748554,2429,-0.01664053735912955,0.016232462844144722
36,-7.584226199148711e-05,0.010210380959440586,2422,-0.01687191894027125,0.016720234416288275
37,-4.456721371120728e-05,0.010462842233234048,2415,-0.017255942687381218,0.017166808259958803
38,-5.287009589786951e-06,0.010551233567958998,2408,-0.01736206622888234,0.017351492209702765
39,7.61300093882708e-05,0.010403384626013945,2401,-0.017037437700404667,0.01718969771918121
40,0.00019529382151448234,0.010348394173172766,2394,-0.016827814593354716,0.017218402236383684
41,0.00020510833868917985,0.010324004453012504,2387,-0.01677787898651639,0.01718809566389475
42,0.00023469825941632716,0.010597573358600796,2380,-0.01719830991548198,0.017667706434314635
43,0.0002824918409703223,0.010806950084440175,2373,-0.017494941047933765,0.018059924729874412
44,0.0003261282826782048,0.010796623524743953,2366,-0.017434317415525598,0.01808657398088201
45,0.0003946511557235896,0.010799143011115262,2359,-0.017369939097561016,0.018159241409008195
46,0.0003486926544936861,0.011004006495719726,2352,-0.017752898030965265,0.018450283339952637
47,0.00029240812146876075,0.011355613185245635,2345,-0.01838757556826031,0.01897239181119783
48,0.00031380075262270844,0.011411405093975587,2338,-0.018457960626967133,0.019085562132212547
