h,coef,se,n,lo90,hi90
0,-0.0009324376550968994,0.003219584537414009,2674,-0.0062286542191429435,0.0043637789089491456
1,-0.0009505872256248674,0.0055799307573489365,2667,-0.010129573321463867,0.008228398870214133
2,-0.002036909304532236,0.007169273814530851,2660,-0.013830364729435485,0.009756546120371013
3,-0.002736758150770541,0.007951754772610365,2653,-0.015817394751714592,0.010343878450173509
4,-0.0029007493683413234,0.008384732111075764,2646,-0.016693633691060954,0.010892134954378309
5,-0.003387271542254218,0.008811047017305765,2639,-0.0178814438857222,0.011106900801213767
6,-0.003158526791378735,0.008989658224635138,2632,-0.017946514570903536,0.011629460988146066
7,-0.0017502185330431994,0.009227834123847173,2625,-0.0169300056667718,0.0134295686006854
8,-0.001631641427298114,0.009727756817357124,2618,-0.01763380139185058,0.014370518537254354
9,-0.001660185922021433,0.010101206945040601,2611,-0.018276671346613222,0.014956299502570356
10,-0.0009244198549510363,0.010372295186644478,2604,-0.017986845436981203,0.01613800572707913
11,-0.0004336867673997599,0.010715149370886199,2597,-0.018060107482507557,0.017192733947708035
12,-0.00027020989016576194,0.010999367094919076,2590,-0.018364168761307642,0.01782374898097612
13,-0.0005055757860086088,0.011212548749069838,2583,-0.018950218478228493,0.017939066906211273
14,-0.0005939475422694906,0.011152906158561127,2576,-0.018940478173102543,0.01775258308856356
15,-0.0002038375071335928,0.010936625227734623,2569,-0.01819458600675705,0.01778691099248986
16,-0.0002861643450264165,0.01092710516666786,2562,-0.018261252344195046,0.017688923654142215
17,-0.00015987054879972127,0.010960717403580835,2555,-0.018190250677690194,0.017870509580090753
18,3.844340994949014e-05,0.010985869469938916,2548,-0.01803331186810003,0.01811019868799901
19,8.944636317339672e-05,0.010871429403125282,2541,-0.017794055004967693,0.017972947731314488
20,-3.133060723511027e-05,0.010713119189447647,2534,-0.017654411673876488,0.01759175045940627
21,-2.422751329815521e-05,0.010617061779202366,2527,-0.01748929414008605,0.017440839113489738
22,1.9472298368100605e-05,0.010739528582665555,2520,-0.017647052220116737,0.01768599681685294
23,0.00012865376588351067,0.010441989683137358,2513,-0.01704841926287744,0.017305726794644465
24,9.260966571278959e-05,0.010260996179995286,2506,-0.016786729050379454,0.016971948381805036
25,6.281328301647408e-05,0.010344887792213682,2499,-0.016954527135175035,0.01708015370120798
26,0.0002819873829418007,0.010613665020167746,2492,-0.01717749157523414,0.017741466341117743
27,0.0001962522146567768,0.010724825281687141,2485,-0.01744608537371857,0.017838589803032122
28,0.0003775869604609396,0.010822491271811367,2478,-0.017425411181668758,0.018180585102590636
29,0.0005723056942755081,0.010867328377175313,2471,-0.017304449486177882,0.018449060874728897
30,0.000665691565000695,0.010988544062211834,2464,-0.017410463417337773,0.018741846547339163
31,0.000845888697426436,0.01109920195572922,2457,-0.01741229851974813,0.019104075914601
32,0.0009532405194272553,0.011162104123281068,2450,-0.0174084207633701,0.019314901802224612
33,0.0007616900734846227,0.01137769323146793,2443,-0.01795461529228012,0.019477995439249367
34,0.0006509501542067558,0.011332367983275178,2436,-0.01799079517828091,0.019292695486694423
35,0.0005915881323022611,0.011290519490711711,2429,-0.017981316429918504,0.019164492694523024
36,0.0008520905340094918,0.011455896668725133,2422,-0.01799285948604335,0.019697040554062337
37,0.0009378805537829009,0.01166223957866354,2415,-0.018246503553118625,0.020122264660684425
38,0.0010895867757841349,0.011623851965064868,2408,-0.018031649706747574,0.020210823258315844
39,0.0012368082277383512,0.011517641013844686,2401,-0.017709711240036157,0.02018332769551286
40,0.0013716379539835065,0.011496431883329154,2394,-0.017539992494092955,0.020283268402059965
41,0.0014267448355733394,0.011663952049599165,2387,-0.017760456286017287,0.020613945957163968
42,0.0014530557329965749,0.011908848763362938,2380,-0.01813700048273546,0.02104311194872861
43,0.0015203557795807113,0.012156297224403752,2373,-0.01847675315456346,0.02151746471372488
44,0.001536843558976618,0.012108462167625265,2366,-0.018381576706766944,0.02145526382472018
45,0.0016249600022170746,0.012018539602262976,2359,-0.01814553764350552,0.02139545764793967
46,0.0015772310201336084,0.012163164851831212,2352,-0.018431175161128736,0.021585637201395953
47,0.0014767678981203608,0.01226325059948114,2345,-0.018696279338026117,0.021649815134266837
48,0.0015416549242787759,0.012430266304510726,2338,-0.01890613314664137,0.02198944299519892
