h,n,F,coef,se,lo90,hi90
0,381,12.547141936728416,-0.460248405157472,0.3833202545689999,-1.090810223923477,0.1703134136085328
1,380,12.961630187094567,-0.30150031878292793,0.5383475068409039,-1.1870819675362148,0.584081329970359
2,379,13.313852608075027,-0.4928389964188682,0.7963615750829482,-1.802853787430318,0.8171757945925817
3,378,13.257958619483583,-0.4064918265212327,0.958128111218877,-1.9826125694762853,1.1696289164338198
4,377,14.034875012198018,0.22857516866497463,1.0136917736057622,-1.4389477989165043,1.8960981362464535
5,376,14.123270140206165,0.00533421787986299,0.9887539910583841,-1.621166097411179,1.631834533170905
6,375,14.015392844930672,-0.13188283199997386,0.9808778029709518,-1.7454268178871897,1.481661153887242
7,374,13.912832337232018,0.9472325623573852,0.9400771395632403,-0.5991943322241453,2.4936594569389157
8,373,13.86460620534331,1.2937990184800583,0.9863567456548231,-0.32875782812212573,2.9163558650822425
9,372,14.689836045795731,1.6861043143435381,1.1269233144905426,-0.16768453799340444,3.5398931666804807
10,371,15.55560991043695,1.349196722760098,0.9446872488671384,-0.20481380162634455,2.9032072471465407
11,370,16.279750974139056,1.3307274927647086,1.0276078900201273,-0.35968748631840075,3.021142471847818
12,369,15.920955266576785,1.7448548733227653,1.2688722787348568,-0.34244002519607397,3.8321497718416047
13,368,16.02551512115003,1.6977582808904117,1.3944346438690831,-0.59608670827423,3.9916032700550534
14,367,16.15420669946175,1.4570252546545817,1.505222596815942,-1.019065917107643,3.9331164264168064
15,366,16.49269723703949,0.5822985456761671,1.5374520398058809,-1.9468100598045068,3.111407151156841
16,365,16.76810499549032,0.698358182926313,1.4824016981722434,-1.7401926105670276,3.1369089764196536
17,364,16.69945632309693,1.0433470706484513,1.533183056891057,-1.4787390579373372,3.56543319923424
18,363,16.5667599982521,0.722616456070682,1.750827782910031,-2.157495246816319,3.602728158957683
19,362,16.538739597998443,0.6956780351756606,1.8017384097539653,-2.2681816488696125,3.6595377192209337
20,361,16.508388976019717,0.820079082463053,1.9033940501136566,-2.311004129973912,3.9511622949000182
21,360,16.463036055274806,1.1446947452059248,1.7422549651230725,-1.7213146724215296,4.010704162833379
22,359,16.70528514136129,0.729111979046138,1.955813809155223,-2.488201737014204,3.94642569510648
23,358,16.6970511778578,1.041164749462041,2.18857773421888,-2.5590456233280165,4.641375122252098
24,357,16.713926765079357,0.9173635787010426,2.2836238383741825,-2.8391976354244877,4.673924792826573
25,356,16.679433868594725,1.339000259511522,2.247995423428812,-2.3589522120288735,5.036952731051917
26,355,16.60125023186659,1.4626344192074612,2.116167718946524,-2.018461478459571,4.943730316874493
27,354,16.696763156783028,2.1850487397023244,2.028175264806134,-1.151299570903766,5.521397050308415
28,353,16.77975444393394,2.37819349351048,2.0401984047365613,-0.9779328822811633,5.734319869302123
29,352,16.749099974830017,2.7378054561122553,2.338244777495957,-1.108607202868594,6.584218115093105
30,351,16.610103800583456,2.231452194711892,2.242838543076567,-1.458017208649061,5.9209215980728445
31,350,16.72275038080984,2.768620830072905,2.3062679215311883,-1.0251899008458998,6.56243156099171
32,349,16.77005870952051,2.5623213810031302,1.7971995497725997,-0.3940718783727961,5.518714640379057
33,348,16.719222421771505,2.256713473427226,1.4303126985258323,-0.09615091564776845,4.609577862502221
34,347,16.69808934609239,1.9720444967970252,1.4780341462703377,-0.4593216738176804,4.40341066741173
35,346,16.71275151000721,2.150994743715273,1.4464886514593966,-0.22847908793543414,4.530468575365981
36,345,16.75170097684562,1.8538663832296152,1.4935647994711796,-0.6030477119004751,4.310780478359705
37,344,16.88463304080454,2.4887718782993034,1.527487114746146,-0.02394442545810671,5.001488182056713
38,343,17.077873013260575,2.449557367755915,1.585794803821243,-0.15907508453002972,5.05818982004186
39,342,17.094151913894713,2.9260653027013177,1.5688008746466884,0.3453878639075154,5.50674274149512
40,341,17.11769749665596,1.8999965265975334,1.5724512322884763,-0.6866857505170101,4.486678803712077
41,340,17.21048944630385,1.7940179653087398,1.6360849829370798,-0.8973418316227564,4.485377762240236
42,339,17.264251929000327,2.024120820395183,1.7415385315305283,-0.8407100639725362,4.888951704762902
43,338,17.308847900777504,2.055229280158528,1.807842249944128,-0.9186712209995624,5.029129781316619
44,337,17.351903273826405,2.7469755319762044,1.9510437883864855,-0.4624914999195644,5.956442563871973
45,336,17.33267483842361,3.8149007678002818,1.8592387115432976,0.7564530873115571,6.873348448289006
46,335,17.450987587480938,3.592050375082181,2.081302084937337,0.16830844536026124,7.0157923048041
47,334,17.610547951621715,3.59144282482157,2.2886984785602635,-0.17346617241006346,7.356351822053203
48,333,17.607781798171526,3.290549617697252,2.1227400423247147,-0.20135775192690364,6.782456987321408
