h,n,F,coef,se,lo90,hi90
0,382,117.64988245208359,0.033743956727642035,0.04880498776944543,-0.046540248153095695,0.11402816160837977
1,381,118.15476481039171,0.004305755224528664,0.0678552100516714,-0.10731606531047079,0.11592757575952813
2,380,118.12389192701333,-0.05405677300408554,0.09025492801072335,-0.20252612958172544,0.09441258357355437
3,379,118.26646930831558,-0.09965881013422684,0.11380398676991955,-0.28686636837074453,0.08754874810229082
4,378,119.02410278363008,-0.13314799622353093,0.12267360713147538,-0.33494607995480796,0.06865008750774607
5,377,118.95614921993109,-0.19854065122270736,0.13477451061982298,-0.42024472119231615,0.02316341874690145
6,376,119.22566546366915,-0.1573563341533209,0.13105178985168056,-0.37293652845933545,0.058223860152693624
7,375,119.24140649052133,-0.15601397926519148,0.14429024078993538,-0.3933714253646352,0.08134346683425223
8,374,119.0774640454183,-0.21436745900926188,0.16910336812259083,-0.4925424995709238,0.06380758155240004
9,373,118.71919424512005,-0.20597622379752517,0.15914469460391925,-0.46776924642097234,0.055816798825922
10,372,118.69466401780427,-0.20284873175923201,0.15970498084869542,-0.46556342525533595,0.05986596173687192
11,371,118.0885805103222,-0.23627825772398722,0.15158044002285387,-0.4856280815615818,0.01307156611360738
12,370,115.83169135786004,-0.2118006778436973,0.15363314159427371,-0.46452719576627755,0.040925840078882975
13,369,115.2407233069108,-0.22093554578530353,0.16407331814292886,-0.4908361541304215,0.04896506255981445
14,368,115.02495638428141,-0.2082591591270322,0.17947392529621906,-0.5034937662393125,0.08697544798524814
15,367,115.00840572745305,-0.19907586226291693,0.20418419546356,-0.5349588638004732,0.1368071392746393
16,366,114.99697148476648,-0.15084247587021585,0.19099974874123415,-0.465037062549546,0.16335211080911435
17,365,114.02428599307741,-0.11473291069337045,0.19652636890920466,-0.43801878754901213,0.20855296616227126
18,364,113.79799242313466,-0.19087696169029192,0.19655535772683214,-0.5142105251509308,0.13245660177034693
19,363,113.76372389066385,-0.21124671936378195,0.19394661158955662,-0.5302888954286026,0.10779545670103871
20,362,113.84338484978565,-0.19641805591075703,0.1731618005672534,-0.4812692178438889,0.08843310602237478
21,361,114.72265543048468,-0.15715183286001366,0.15527132680893668,-0.4125731654607145,0.09826949974068716
22,360,114.50544962273908,-0.0693781688851095,0.15212948868011827,-0.3196311777639041,0.1808748399936851
23,359,113.682761036194,-0.06570688126728572,0.1899090674862485,-0.3781072972821645,0.24669353474759306
24,358,113.79176638553699,-0.156139924155506,0.21598578175247612,-0.5114365351383292,0.19915668682731721
25,357,114.04861683490866,-0.16305862941527147,0.18688887093297593,-0.4704908221000169,0.14437356326947395
26,356,111.69498767301795,-0.13150149614059123,0.17667974491104194,-0.4221396765192552,0.15913668423807278
27,355,111.95061446826504,-0.06809609452405462,0.1704900162187374,-0.34855217120387766,0.2123599821557684
28,354,105.37291689606322,0.020668315005071405,0.19194743511368859,-0.29508521575694635,0.3364218457670891
29,353,103.37558942273641,0.07084317977738229,0.23296294376005527,-0.3123808627079086,0.4540672222626732
30,352,103.44181189945465,0.037962483329115636,0.2165924779130068,-0.31833214283778055,0.3942571094960118
31,351,103.53606244324796,0.07174655852959572,0.2130550610214334,-0.27872901685066226,0.4222221339098537
32,350,102.71010349425856,0.01246197055364252,0.19415163761749116,-0.30691747332713043,0.33184141443441545
33,349,102.73470850559433,-0.041714901638706475,0.18443752377817563,-0.34511462825380534,0.26168482497639245
34,348,102.69309234533144,-0.0850003775198919,0.18271014091444168,-0.3855585593241485,0.2155578042843647
35,347,102.70824036572213,-0.012185412542587577,0.196263103970202,-0.33503821857356986,0.31066739348839467
36,346,102.5056815029819,0.035105791975672575,0.2378562505104486,-0.35616774011401536,0.42637932406536055
37,345,102.41462173834917,0.03494628896844251,0.23544540799187602,-0.35236140717819353,0.4222539851150786
38,344,102.36857811318721,0.003059323708859567,0.24335101629813163,-0.39725309810156695,0.4033717455192861
39,343,102.44022833369546,-0.020506504651440317,0.2668512261486561,-0.4594767716659796,0.41846376236309896
40,342,102.07462887440423,-0.013709041636340836,0.2924928678676052,-0.4948598092785514,0.4674417260058697
41,341,102.44089511996891,0.1031658766687397,0.2899416805204826,-0.37378818778745415,0.5801199411249336
42,340,101.6551187282194,0.20126879250015967,0.26921714524384915,-0.24159341142597218,0.6441309964262916
43,339,101.62612879467197,0.20161633736921106,0.21766429389814304,-0.15644142609323428,0.5596741008316564
44,338,101.6048802302018,0.15650816146324145,0.20546621234738985,-0.18148375784821483,0.49450008077469776
45,337,101.49284427874836,0.14142435710204979,0.17517644382011116,-0.14674089298203305,0.4295896071861326
46,336,109.2281050455952,0.12542646884439312,0.16617463547094846,-0.1479308065053171,0.39878374419410334
47,335,111.05315069259176,0.2574861314310112,0.1693953746406072,-0.02116925985278767,0.5361415227148101
48,334,112.45121849997837,0.273676018183881,0.18923213227491187,-0.03761083940834903,0.584962875776111
