h,n,F,coef,se,lo90,hi90
0,380,45.04431973420285,0.0069941617408915135,0.018111858941720113,-0.022799846218238072,0.0367881697000211
1,379,42.87857998002297,-0.0013998113117281719,0.031189770632302466,-0.05270698400186573,0.049907361378409384
2,378,41.09271531410995,-0.03100925192417492,0.03862550365701402,-0.09454820543996298,0.03252970159161314
3,377,46.683354417257895,-0.018979380263090206,0.03925074699588539,-0.08354685907132167,0.04558809854514126
4,376,42.74565992148253,-0.026158668797691575,0.04280191122261139,-0.09656781275888732,0.044250475163504166
5,375,46.2743216216368,-0.07200225328871568,0.04201282159019262,-0.14111334480458254,-0.002891161772848816
6,374,42.13731216473294,-0.0576572690337116,0.05181912950846286,-0.142899737075133,0.02758519900770981
7,373,29.252803238719935,-0.001866218954830856,0.07527503545820889,-0.12569365228358448,0.12196121437392277
8,372,25.80672649265388,-0.028550162555347924,0.08228286667055976,-0.16390547822841872,0.10680515311772287
9,371,22.752321629686904,-0.09683131468904094,0.10635673735729793,-0.27178814764179604,0.07812551826371417
10,370,14.202135173125574,-0.10512917698258661,0.15799077048326893,-0.365023994427564,0.15476564046239077
11,369,14.221544272034974,-0.03357072449966836,0.22468481651714473,-0.40317724767037144,0.3360357986710347
12,368,19.935332918683375,0.024963656304862525,0.3250713592945892,-0.5097787297347367,0.5597060423444618
13,367,18.922185687099642,-0.05734810403691881,0.3371463550598179,-0.6119538581103192,0.4972576500364816
14,366,17.95233085323772,0.07449075217482459,0.42496752730114257,-0.6245808302355549,0.7735623345852041
15,365,14.721536288807537,0.21582168753684527,0.47107223321689073,-0.55909213610494,0.9907355111786306
16,364,13.618536518371577,0.18083298300052775,0.4860374526316245,-0.6186986265784946,0.9803645925795501
17,363,11.908820215358004,0.2786841693673523,0.5506376344931185,-0.6271147393738277,1.1844830781085323
18,362,7.915701117100977,0.49819882670908555,0.6771121196628614,-0.6156506101363215,1.6120482635544926
19,361,6.597111401768381,0.5344843820475944,0.8186993687576009,-0.812276079558659,1.8812448436538478
20,360,6.273166108221982,0.5235730024214718,0.8270965860002142,-0.8370008815488805,1.884146886391824
21,359,7.573050193651632,0.24075933317544695,0.8237159340438409,-1.1142533783266713,1.5957720446775652
22,358,7.62064519279942,0.0805398944485205,0.8415353654368838,-1.3037857816951532,1.4648655705921942
23,357,7.520319320615002,-0.03467104418268718,0.8496957677903426,-1.4324205821978009,1.3630784938324265
24,356,7.350703814598217,-0.19415490401115676,0.8701264361041707,-1.6255128914025176,1.2372030833802041
25,355,7.61471491330479,-0.257559486948594,0.8857219527612281,-1.7145720992408142,1.1994531253436262
26,354,6.657148585899535,0.11103203219317948,0.7886420482462011,-1.1862841371718214,1.4083482015581803
27,353,6.367333631521613,-0.049961082677327795,0.7152203332379353,-1.2264985308537315,1.126576365499076
28,352,6.123974801531018,0.0039002963130769785,0.688854179760957,-1.1292648293936973,1.1370654220198513
29,351,5.781930021358518,-0.04428391269175336,0.7369233713364037,-1.2565228585401376,1.1679550331566309
30,350,4.561475758862621,0.16762420090526575,0.7497083399957586,-1.0656460183877572,1.4008944201982887
31,349,4.197556874271692,0.20695193706342252,0.7277337560178935,-0.9901700915860123,1.4040739657128574
32,348,4.257741646144408,0.774090799390251,0.7580261185811178,-0.47286216567568773,2.0210437644561896
33,347,4.206734983880304,0.703004771592532,0.7679650343668859,-0.5602977099409954,1.9663072531260595
34,346,4.175630175396689,0.3620011844977853,0.7220171029440221,-0.8257169498451311,1.5497193188407017
35,345,3.9532056275624443,0.09604388860680046,0.7847169441573295,-1.1948154845320067,1.3869032617456076
36,344,3.9791513687612885,0.5780030208225071,0.8052839126759117,-0.7466890155293677,1.902695057174382
37,343,3.6950128268587696,0.7691874440097308,0.8959715543719514,-0.7046857629321293,2.243060650951591
38,342,3.542458598086715,0.7252334575823625,0.9310088279621764,-0.8062760644154179,2.256742979580143
39,341,3.256019148533687,0.4838776988799509,0.9154781275723944,-1.0220838209766379,1.9898392187365397
40,340,2.6144726762595645,0.37740720602232614,1.1284219545596113,-1.4788469092282344,2.2336613212728866
41,339,2.5874143453249285,0.3360669822432101,1.1747123175671113,-1.5963347801546879,2.2684687446411083
42,338,2.561263561148852,0.2675495687799412,1.2709596602805677,-1.8231790723815928,2.358278209941475
43,337,2.5359470249862825,0.35383562014249037,1.3090235715936689,-1.7995081551290948,2.5071793954140755
44,336,2.5512249375819014,0.6665161792407162,1.3800107661032206,-1.6036015309990819,2.936633889480514
45,335,2.5963194944816537,0.7568226982730266,1.3327404737494548,-1.4355353810448266,2.94918077759088
46,334,2.5986541180059484,0.8680245138675673,1.426986672271277,-1.4793685620186832,3.2154175897538178
47,333,2.558352149917993,1.2626192840834847,1.5194898767700316,-1.2369415632032172,3.7621801313701866
48,332,2.5609140220262927,1.474425387543306,1.527215895727922,-1.0378447609291257,3.9866955360157377
