h,n,F,coef,se,lo90,hi90
0,147,1.755296671055313,0.07509718029499375,0.1538192076247818,-0.17793541624777232,0.3281297768377598
1,146,1.6573295842866609,0.14951664954178628,0.3329334919353394,-0.39815894469184704,0.6971922437754197
2,145,1.6885862495681703,0.3187571339976088,0.4483385542330767,-0.4187597877158024,1.05627405571102
3,144,1.7185971631937242,0.2951261578139373,0.4289637440697707,-0.41051920118083557,1.0007715168087101
4,143,1.7558541229455489,0.21670715060289755,0.4123161566585719,-0.46155292710045326,0.8949672283062484
5,142,1.6287101209964419,0.4641717279982566,0.6692295592453573,-0.6367108969603561,1.5650543529568695
6,141,1.746967785967554,0.22198415468984423,0.43595469625734545,-0.49516132065348906,0.9391296300331775
7,140,1.7465404567410463,0.3229156383779013,0.43525681764575536,-0.39308182664936625,1.0389131034051688
8,139,1.743969900682499,0.09349608048618269,0.3311594057122391,-0.4512611419104507,0.6382533028828161
9,138,1.7258047568752353,-0.010388449733380644,0.31396519093209685,-0.5268611888166799,0.5060842893499187
10,137,1.836156718943937,0.02987084826128668,0.29114412782471166,-0.449061242010364,0.5088029385329373
11,136,1.8339586295185595,0.03974875018287984,0.3453135560991144,-0.5282920496001634,0.607789549965923
12,135,1.8264272296667619,0.18990071726523738,0.31485676938109497,-0.32803866836666384,0.7078401028971386
13,134,1.8322804486540119,0.3199178587964974,0.29227786066734945,-0.16087922200129245,0.8007149395942873
14,133,1.8531368049373993,0.20335339168044195,0.346814416914555,-0.367156324144001,0.773863107504885
15,132,1.903945312507369,0.09921976471414024,0.3654137353357589,-0.5018858299131832,0.7003253593414636
16,131,2.1607377952721696,-0.27078372993659877,0.4567391221500612,-1.0221195858734495,0.48055212600025193
17,130,2.2430177007541885,-0.22897764673655557,0.46847685351456597,-0.9996220707680166,0.5416667772949055
18,129,2.329040757691971,-0.3897499434123069,0.49248306827489036,-1.1998845907245015,0.42038470389988775
19,128,2.020956673051987,-0.6321444963197711,0.6386032886880771,-1.682646906211658,0.4183579135721158
20,127,1.9672756398864435,-0.5017543870581251,0.5935696957141184,-1.47817653650785,0.4746677623915997
21,126,1.969587881309203,-0.4740372737174419,0.5304256881471018,-1.3465875307194244,0.3985129832845405
22,125,2.1194569961326284,-0.5005240708206372,0.5016056615840714,-1.3256653841264345,0.3246172424851602
23,124,2.129970033265332,-0.35147023960973195,0.45844755875343546,-1.1056164737591332,0.40267599453966935
24,123,2.1350372908387074,-0.24821723514612448,0.4110175474037796,-0.9243411006253419,0.42790663033309295
25,122,1.803413682583104,-0.05607551534566905,0.346292964953788,-0.6257274426946502,0.5135764120033122
26,121,1.7968489524683697,-0.11211111523257462,0.31174652487151483,-0.6249341486462165,0.4007119181810673
27,120,1.7669022668232097,-0.05981509063584291,0.36636824533190515,-0.6624908542068269,0.5428606729351411
28,119,1.8350745226876874,0.4138002455140801,0.421966216552776,-0.2803341807152364,1.1079346717433967
29,118,1.857465545578202,0.30897097191383155,0.4062420205162204,-0.359297151835351,0.9772390956630141
30,117,1.9543073281743264,0.39272464413986596,0.40561917983799506,-0.2745189066936359,1.0599681949733677
31,116,1.9384826724747746,0.12786296809100567,0.27112552799252654,-0.3181385254567005,0.5738644616387119
32,115,2.0194072605649223,-0.16979358606477368,0.29512874670048594,-0.655280374387073,0.3156932022575257
33,114,2.0230127902891826,-0.339165457849601,0.3984740098110943,-0.9946552039888512,0.31632428828964915
34,113,2.0696075188375995,-0.6655248967165432,0.5977225573300398,-1.6487785035244586,0.31772871009137216
35,112,2.086488500690743,-0.4825463903285738,0.3506590161500977,-1.0593804718954845,0.09428769123833691
36,111,2.086679880490582,-0.314187610137931,0.3392440376808609,-0.8722440521229473,0.24386883184708524
37,110,1.904500120486479,-0.5778095563162365,0.585710561143275,-1.5413034293969239,0.3856843167644509
38,109,1.995212937107388,-0.47243779008835846,0.6112204154592632,-1.4778953735188465,0.5330197933421295
39,108,2.048192400084552,-0.38607645742413793,0.5652945177648193,-1.3159859391472657,0.5438330242989899
40,107,2.039610513171529,-0.22941219462150947,0.5392374568520619,-1.1164578111431513,0.6576334219001323
41,106,2.0391030827334693,-0.17193659864109023,0.5451400492533047,-1.0686919796627765,0.724818782380596
42,105,2.0222152291339586,-0.1682616699027039,0.5429211538666173,-1.0613669680132893,0.7248436282078816
43,104,1.992896129335547,-0.4337524912410581,0.5602067620523875,-1.3552926148172355,0.48778763233511935
44,103,1.9917000474976412,-0.4440695854798027,0.5246540068370885,-1.3071254267268133,0.41898625576720794
45,102,1.9625589512074997,-0.5824653461550657,0.6139310187805327,-1.592381872049042,0.42745117973891045
46,101,1.9332209881141198,-0.5011400950483249,0.4404344630593668,-1.2256547867809833,0.22337459668433346
47,100,2.0534995808758967,-0.5582946768388642,0.40724761695274936,-1.2282170067261369,0.11162765304840849
48,99,2.1120902000013664,-0.5056265428904566,0.36086107585575256,-1.0992430126731696,0.08798992689225638
