h,n,F,coef,se,lo90,hi90
0,383,197.05757616367086,-0.04178607810519747,0.04116876389246763,-0.10950869470830674,0.025936538497911783
1,382,197.27452738287585,-0.08311719089323068,0.06361762636586754,-0.1877681862650828,0.021533804478621424
2,381,198.92867675774582,-0.10351351397514912,0.07161830369366648,-0.22132562355123048,0.014298595600932246
3,380,237.04755238095592,-0.11277756846963703,0.07728940912801584,-0.2399186464852231,0.014363509545949019
4,379,246.25712057885522,-0.1137005598702763,0.0816841430271024,-0.24807097514985976,0.02066985540930716
5,378,246.12830739936362,-0.11867527027409007,0.09130691633552972,-0.2688751476460365,0.03152460709785633
6,377,247.78443231174046,-0.15586201547851045,0.09451388457364825,-0.3113373556021618,-0.00038667535485908955
7,376,247.82493668513325,-0.11373758237945839,0.10355912302855272,-0.2840923397614276,0.056617175002510844
8,375,248.27451454751045,-0.05457389003034424,0.11999784846777395,-0.25197035075983243,0.14282257069914392
9,374,248.25704758610047,-0.04838360138968886,0.12465698621967779,-0.25344434372105884,0.1566771409416811
10,373,248.38344793695458,-0.047558090228883985,0.1260551621076224,-0.25491883189592285,0.15980265143815486
11,372,247.8860383764892,0.023284835226033352,0.12137669703918216,-0.1763798314034213,0.22294950185548804
12,371,248.70095307170482,-0.012993127431969618,0.12131080295033532,-0.21254939828527122,0.18656314342133198
13,370,249.7938153947455,-0.03424683598579027,0.13159153835978657,-0.25071491658763917,0.18222124461605865
14,369,249.92662466845636,-0.09355102594484956,0.1367607666468999,-0.3185224870789999,0.1314204351893008
15,368,249.77560357058923,-0.05252464536213558,0.13354139733224063,-0.27220024397367143,0.16715095324940027
16,367,249.6683058461003,-0.10115878787663204,0.13340171782446808,-0.32060461369788207,0.11828703794461795
17,366,250.12446906969217,-0.08914141704138874,0.12265507785877369,-0.2909090201190715,0.112626186036294
18,365,250.0945599765262,0.00896078993722138,0.11571025696958888,-0.18138258277775232,0.19930416265219508
19,364,254.30692987070864,0.08344763275593739,0.11132225011538771,-0.09967746868387539,0.26657273419575017
20,363,257.1360219749515,0.08725542511626642,0.11960916148489724,-0.10950164552638954,0.2840124957589224
21,362,255.32639215339753,0.07814960089470158,0.12563573848968143,-0.12852118892082437,0.2848203907102275
22,361,256.3049960787657,0.08258720409363811,0.1270177734048077,-0.12635703315727054,0.2915314413445468
23,360,256.8868188734914,0.07557058250553288,0.13421325987882324,-0.14521022999513133,0.2963513950061971
24,359,256.83404786034674,0.16279713415882807,0.1291229338038247,-0.04961009194846355,0.3752043602661197
25,358,257.2639088383876,0.24874185296477608,0.14585613651754856,0.008808508393408687,0.48867519753614347
26,357,258.474694619823,0.21390312020664703,0.11700866119865999,0.02142387253485134,0.40638236787844273
27,356,258.3064171893996,0.2752888335108074,0.11564363193177267,0.08505505898304136,0.4655226080385735
28,355,257.9591724341436,0.2833911280621959,0.11943159109262935,0.08692616071482062,0.4798560954095712
29,354,259.6375497465667,0.2861757885329097,0.12268242421382113,0.08436320070117395,0.4879883763646454
30,353,259.8235177699803,0.2567205013872366,0.1288915332846612,0.04469392913396891,0.46874707364050433
31,352,261.93994727608145,0.2503580207541778,0.1404198056906594,0.019367440393043084,0.4813486011153125
32,351,263.9354495432575,0.3329016847720343,0.12117724775781123,0.13356511221043482,0.5322382573336337
33,350,265.4291892879434,0.3634839661298267,0.12003201967557928,0.1660312937634988,0.5609366384961546
34,349,267.7035159622481,0.38416203647872094,0.12987367727459165,0.17051983736201767,0.5978042355954242
35,348,270.1818097281532,0.35489182621529314,0.13567296051329203,0.13170980617092776,0.5780738462596585
36,347,274.66351009514176,0.24714803571532287,0.1259684898038422,0.03992986998800244,0.4543662014426433
37,346,274.75791920821746,0.27180588868816863,0.11934764170759285,0.0754790180791784,0.46813275929715886
38,345,274.6926160016525,0.2333918850234158,0.12320467068781538,0.030720201741959496,0.4360635683048721
39,344,274.3065849949415,0.23559830539967797,0.13567698382712468,0.012409667004057878,0.45878694379529805
40,343,281.71982945864755,0.18298806047181526,0.1369932565786084,-0.04236584659999554,0.40834196754362606
41,342,282.46028143448547,0.11356776284081556,0.13444767047498532,-0.1075986550905353,0.33473418077216643
42,341,282.769851998712,0.15544952165397305,0.1321102645200189,-0.06187186348145804,0.37277090678940417
43,340,282.7447494020325,0.1540925711719121,0.12858592078888462,-0.0574312685258031,0.3656164108696273
44,339,282.35520797499123,0.1813097546810779,0.1325995659669428,-0.03681653133454302,0.3994360406966988
45,338,283.91629694443935,0.14379622502384645,0.13755946622998272,-0.08248909692447512,0.370081546972168
46,337,325.3162056998346,0.1259759109601862,0.12782459139268557,-0.08429554188078156,0.33624736380115394
47,336,328.34177347608545,0.13628633735453058,0.12769848337018486,-0.07377766778942352,0.3463503424984847
48,335,356.14916931484277,0.07557081440879852,0.13758515945642272,-0.15075677289701683,0.3018984017146139
